matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedShotConversion,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
107340105,813,833,1,2,2,0,0,0,12,67,8,0,0,1,34,15,15,4,50,5,13,17,3,14,8,2,4,1,3,33,2,1,15,10,1,6,22.0,2,60,0,50,1.0,88.0,63.63636363636363,50.0,13.636363636363633
107340105,813,833,2,2,4,0,0,0,9,50,10,0,0,3,21,7,9,2,50,8,6,9,1,8,5,1,2,1,2,0,6,0,9,16,1,9,18.0,0,43,0,25,0.0,72.0,44.44444444444444,52.38095238095239,-7.936507936507944
107340105,813,833,3,0,0,0,0,0,13,57,8,0,0,2,32,14,14,2,100,5,11,16,4,12,8,2,2,3,1,0,4,1,14,12,2,6,22.0,1,47,0,25,0.0,88.0,54.54545454545454,70.0,-15.45454545454546
107340105,813,833,4,0,1,1,0,0,10,82,9,0,0,1,30,9,11,0,0,2,8,13,2,11,9,0,2,0,0,0,6,1,11,15,1,3,16.0,0,55,0,25,0.0,64.0,68.75,73.33333333333333,-4.583333333333329
107340105,813,833,5,1,1,0,0,0,4,80,6,0,0,1,12,5,6,2,0,4,3,6,2,4,4,0,0,1,2,0,2,1,6,8,1,4,10.0,0,47,0,0,0.0,85.71428571428571,40.0,62.5,-22.5
107340105,813,833,6,0,1,0,0,0,10,75,7,1,1,-1,38,14,18,2,100,3,12,15,2,13,9,2,2,2,1,0,4,1,18,11,0,4,19.0,0,55,0,25,0.0,85.5,68.42105263157895,62.5,5.921052631578945
107340105,833,813,1,1,1,0,0,0,12,50,12,0,0,0,27,10,13,2,0,7,9,10,1,9,6,0,3,3,1,0,6,0,13,18,1,8,18.0,1,40,0,50,0.0,72.0,50.0,63.63636363636363,-13.636363636363633
107340105,833,813,2,0,1,0,0,1,8,60,8,0,0,2,39,13,19,2,50,6,11,14,3,11,6,1,4,2,1,0,1,0,19,9,3,7,21.0,1,57,0,67,0.0,84.0,52.38095238095239,44.44444444444444,7.936507936507944
107340105,833,813,3,2,0,0,0,0,13,77,4,1,1,2,43,16,24,4,75,3,14,16,2,14,10,3,1,1,3,0,4,0,24,8,2,4,20.0,0,53,0,17,0.0,80.0,70.0,54.54545454545454,15.45454545454546
107340105,833,813,4,1,2,0,1,0,12,83,13,0,0,4,28,8,15,0,0,3,8,12,1,11,10,0,1,0,0,0,4,1,15,18,3,3,15.0,0,45,0,17,0.0,60.0,73.33333333333333,68.75,4.583333333333329
107340105,833,813,5,0,0,0,0,0,5,60,2,1,1,0,11,4,5,2,0,3,4,5,0,5,3,0,2,2,1,0,1,0,5,3,3,3,8.0,0,53,0,33,0.0,68.57142857142857,62.5,40.0,22.5
107340105,833,813,6,0,3,0,0,0,11,55,12,0,0,1,30,11,16,3,100,5,8,13,3,10,6,3,1,1,2,67,3,0,16,15,0,5,16.0,3,45,0,17,2.0,72.0,62.5,68.42105263157895,-5.921052631578945
