matchId,squadId,playerId,period,periodSeconds,distanceCode,positionCode,scoreName,scorePoints,matchSeconds,homeSquadScore,awaySquadScore,scoreDifferential,oppSquadId
113910301,8119,1010545,1,26,0,1,goal,1,26,1,0,1,801
113910301,801,1001865,1,47,0,0,goal,1,47,1,1,0,8119
113910301,8119,1010545,1,62,0,1,goal,1,62,2,1,1,801
113910301,8119,1010545,1,94,0,1,goal,1,94,3,1,2,801
113910301,8119,1010545,1,110,0,2,goal,1,110,4,1,3,801
113910301,801,1001865,1,182,0,1,goal,1,182,4,2,2,8119
113910301,801,1001712,1,213,0,1,miss,0,213,4,2,2,8119
113910301,801,1001865,1,262,3,3,goal,1,262,4,3,1,8119
113910301,801,1001712,1,286,0,1,goal,1,286,4,4,0,8119
113910301,8119,1010545,1,338,0,2,goal,1,338,5,4,1,801
113910301,801,1001712,1,362,0,1,goal,1,362,5,5,0,8119
113910301,8119,1014126,1,386,0,1,goal,1,386,6,5,1,801
113910301,801,1001865,1,432,0,2,goal,1,432,6,6,0,8119
113910301,801,1001865,1,467,3,3,goal,1,467,6,7,-1,8119
113910301,801,1001712,1,488,0,0,goal,1,488,6,8,-2,8119
113910301,8119,1010545,1,510,0,1,goal,1,510,7,8,-1,801
113910301,801,1001865,1,528,3,3,goal,1,528,7,9,-2,8119
113910301,8119,1014126,1,548,0,1,goal,1,548,8,9,-1,801
113910301,801,1001712,1,573,0,0,goal,1,573,8,10,-2,8119
113910301,8119,1014126,1,593,3,3,goal,1,593,9,10,-1,801
113910301,801,1001865,1,613,3,3,goal,1,613,9,11,-2,8119
113910301,8119,1010545,1,631,0,0,goal,1,631,10,11,-1,801
113910301,8119,1010545,1,670,3,3,goal,1,670,11,11,0,801
113910301,8119,1014126,1,694,1,0,2pt Goal,2,694,13,11,2,801
113910301,801,1001865,1,716,3,3,goal,1,716,13,12,1,8119
113910301,8119,1010545,1,741,3,1,goal,1,741,14,12,2,801
113910301,801,1001712,1,763,1,1,2pt Goal,2,763,14,14,0,8119
113910301,8119,1010545,1,779,3,3,miss,0,779,14,14,0,801
113910301,801,1001712,1,792,1,1,2pt Miss,0,792,14,14,0,8119
113910301,801,1015271,1,804,1,0,2pt Miss,0,804,14,14,0,8119
113910301,8119,1010545,1,842,0,1,goal,1,842,15,14,1,801
113910301,801,1001712,1,872,1,1,2pt Goal,2,872,15,16,-1,8119
113910301,8119,1010545,1,891,3,1,goal,1,891,16,16,0,801
113910301,8119,1010545,2,11,3,3,goal,1,911,17,16,1,801
113910301,801,1001712,2,45,0,1,goal,1,945,17,17,0,8119
113910301,8119,1010545,2,81,0,0,goal,1,981,18,17,1,801
113910301,801,1001712,2,120,0,1,goal,1,1020,18,18,0,8119
113910301,8119,1010545,2,135,0,1,goal,1,1035,19,18,1,801
113910301,8119,1014126,2,189,3,3,goal,1,1089,20,18,2,801
113910301,801,1001865,2,262,0,1,goal,1,1162,20,19,1,8119
113910301,801,1001865,2,276,3,3,goal,1,1176,20,20,0,8119
113910301,8119,1014126,2,303,0,1,goal,1,1203,21,20,1,801
113910301,801,1001712,2,322,0,2,goal,1,1222,21,21,0,8119
113910301,801,1001712,2,370,0,2,miss,0,1270,21,21,0,8119
113910301,8119,1014126,2,398,0,2,goal,1,1298,22,21,1,801
113910301,801,1001865,2,414,3,1,goal,1,1314,22,22,0,8119
113910301,8119,1014126,2,449,0,1,miss,0,1349,22,22,0,801
113910301,801,1001865,2,479,3,1,goal,1,1379,22,23,-1,8119
113910301,8119,1014126,2,520,0,1,goal,1,1420,23,23,0,801
113910301,8119,1010545,2,534,0,1,goal,1,1434,24,23,1,801
113910301,8119,1010545,2,588,3,1,goal,1,1488,25,23,2,801
113910301,801,1001865,2,639,3,3,goal,1,1539,25,24,1,8119
