matchId,squadId,playerId,period,periodSeconds,positionCode,scoreName,scorePoints,matchSeconds,homeSquadScore,awaySquadScore,scoreDifferential
117080104,810,1007298,1,18,1,goal,1,18,0,1,-1
117080104,804,1013077,1,48,0,goal,1,48,1,1,0
117080104,810,80826,1,61,3,goal,1,61,1,2,-1
117080104,804,1013077,1,84,0,miss,0,84,1,2,-1
117080104,804,1013077,1,126,1,goal,1,126,2,2,0
117080104,810,80826,1,148,2,goal,1,148,2,3,-1
117080104,804,1013077,1,171,0,goal,1,171,3,3,0
117080104,810,80826,1,187,2,goal,1,187,3,4,-1
117080104,804,1013077,1,208,2,goal,1,208,4,4,0
117080104,810,80826,1,233,2,goal,1,233,4,5,-1
117080104,804,1013077,1,258,1,goal,1,258,5,5,0
117080104,810,80826,1,278,2,goal,1,278,5,6,-1
117080104,804,1019167,1,306,1,goal,1,306,6,6,0
117080104,804,1013077,1,342,1,goal,1,342,7,6,1
117080104,804,1019167,1,359,2,goal,1,359,8,6,2
117080104,810,80826,1,375,1,goal,1,375,8,7,1
117080104,804,1013077,1,403,0,goal,1,403,9,7,2
117080104,810,80826,1,418,1,goal,1,418,9,8,1
117080104,804,1013077,1,454,2,2pt Goal,2,454,11,8,3
117080104,810,80826,1,469,1,goal,1,469,11,9,2
117080104,804,1013077,1,490,1,2pt Goal,2,490,13,9,4
117080104,810,1007298,1,509,0,2pt Goal,2,509,13,11,2
117080104,804,1019167,1,529,3,goal,1,529,14,11,3
117080104,810,1007298,1,548,1,2pt Goal,2,548,14,13,1
117080104,804,1013077,1,567,0,2pt Miss,0,567,14,13,1
117080104,804,1013077,1,578,1,2pt Goal,2,578,16,13,3
117080104,810,80826,1,591,3,goal,1,591,16,14,2
117080104,810,1007298,2,16,1,goal,1,616,16,15,1
117080104,804,1013077,2,39,3,goal,1,639,17,15,2
117080104,804,1019167,2,88,0,goal,1,688,18,15,3
117080104,804,1019167,2,109,0,goal,1,709,19,15,4
117080104,804,1013077,2,157,1,goal,1,757,20,15,5
117080104,804,1013077,2,181,1,goal,1,781,21,15,6
117080104,810,80826,2,205,3,goal,1,805,21,16,5
117080104,810,80826,2,235,1,goal,1,835,21,17,4
117080104,810,80826,2,306,1,goal,1,906,21,18,3
117080104,804,1013077,2,324,1,goal,1,924,22,18,4
117080104,804,1019167,2,368,0,goal,1,968,23,18,5
117080104,810,80826,2,416,2,goal,1,1016,23,19,4
117080104,804,1013077,2,445,1,2pt Goal,2,1045,25,19,6
117080104,804,1013077,2,471,2,2pt Miss,0,1071,25,19,6
117080104,804,1013077,2,494,1,goal,1,1094,26,19,7
117080104,804,1019167,2,526,1,goal,1,1126,27,19,8
117080104,810,1007298,2,568,1,2pt Goal,2,1168,27,21,6
117080104,804,1019167,2,600,1,goal,1,1200,28,21,7
117080104,804,1019167,3,31,3,goal,1,1231,29,21,8
117080104,810,80826,3,48,0,goal,1,1248,29,22,7
117080104,804,1013077,3,93,1,goal,1,1293,30,22,8
117080104,804,1013077,3,133,2,goal,1,1333,31,22,9
117080104,804,1019167,3,176,3,goal,1,1376,32,22,10
117080104,810,80826,3,193,1,goal,1,1393,32,23,9
117080104,804,1013077,3,205,0,goal,1,1405,33,23,10
117080104,810,80826,3,226,2,goal,1,1426,33,24,9
117080104,804,1013077,3,244,2,miss,0,1444,33,24,9
117080104,810,80826,3,276,3,goal,1,1476,33,25,8
117080104,810,80826,3,297,3,miss,0,1497,33,25,8
117080104,810,80826,3,370,2,goal,1,1570,33,26,7
117080104,804,1013077,3,386,2,goal,1,1586,34,26,8
117080104,810,80826,3,423,3,goal,1,1623,34,27,7
117080104,804,1013077,3,445,2,2pt Goal,2,1645,36,27,9
117080104,810,994215,3,475,1,2pt Goal,2,1675,36,29,7
117080104,804,1013077,3,547,1,2pt Miss,0,1747,36,29,7
117080104,804,1013077,3,560,3,goal,1,1760,37,29,8
117080104,810,1007298,3,583,2,2pt Goal,2,1783,37,31,6
117080104,804,1019167,3,596,1,2pt Miss,0,1796,37,31,6
117080104,804,1013077,3,600,0,goal,1,1800,38,31,7
117080104,810,80826,4,13,1,goal,1,1813,38,32,6
117080104,804,1013077,4,43,1,goal,1,1843,39,32,7
117080104,810,80826,4,59,1,goal,1,1859,39,33,6
117080104,810,994215,4,88,1,goal,1,1888,39,34,5
117080104,810,80826,4,101,1,goal,1,1901,39,35,4
117080104,804,1013077,4,126,0,goal,1,1926,40,35,5
117080104,810,80826,4,140,1,goal,1,1940,40,36,4
117080104,804,1013077,4,197,1,goal,1,1997,41,36,5
117080104,810,80826,4,219,1,goal,1,2019,41,37,4
117080104,804,1013077,4,244,1,goal,1,2044,42,37,5
117080104,810,994215,4,266,2,miss,0,2066,42,37,5
117080104,810,80826,4,269,1,goal,1,2069,42,38,4
117080104,804,1013077,4,306,0,goal,1,2106,43,38,5
117080104,810,80826,4,324,1,goal,1,2124,43,39,4
117080104,804,1013077,4,361,1,miss,0,2161,43,39,4
117080104,810,80826,4,380,1,goal,1,2180,43,40,3
117080104,810,80826,4,398,1,goal,1,2198,43,41,2
117080104,804,1013077,4,424,2,goal,1,2224,44,41,3
117080104,810,80826,4,442,1,goal,1,2242,44,42,2
117080104,804,1013077,4,509,1,goal,1,2309,45,42,3
117080104,810,80826,4,531,1,goal,1,2331,45,43,2
117080104,804,1013077,4,600,1,2pt Miss,0,2400,45,43,2
