matchId,squadId,oppSquadId,playerId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,minutesPlayed,feedsPer60,offsidesPer60,breaksPer60,deflectionsPer60,tossUpWinPer60,pickupsPer60,penaltiesPer60,badPassesPer60,badHandsPer60,goalAssistsPer60,goalMissesPer60,contactPenaltiesPer60,blockedPer60,centrePassReceivesPer60,obstructionPenaltiesPer60,blocksPer60,gainPer60,goalsPer60,reboundsPer60,defensiveReboundsPer60,missedGoalTurnoverPer60,turnoversPer60,offensiveReboundsPer60,interceptsPer60,goalAttemptsPer60,plusMinus,plusMinusPer60
80350104,804,805,80010,0,1,0,0,0,0,21,1,7,0,4,0,0,0,0,2,0,2,0,0,23,4,1,0,1,60.0,0.0,0.0,0.0,7.0,0.0,4.0,23.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,14.0,14.0
80350104,804,805,80041,1,2,0,0,0,30,2,0,1,26,0,16,0,0,0,0,0,1,0,0,3,2,0,0,4,60.0,26.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,16.0,0.0,2.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,14.0
80350104,804,805,80042,0,1,0,0,0,5,4,2,5,0,9,0,0,0,0,4,0,3,0,0,7,2,2,0,3,60.0,0.0,0.0,0.0,5.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,9.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,14.0,14.0
80350104,804,805,80044,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,30.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,21.878453038674035,0.0,0.0,0.0,0.0,13.922651933701658,0.0,3.977900552486188,5.966850828729282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.878453038674035
80350104,804,805,80050,1,1,0,0,0,8,2,0,0,2,0,2,14,4,10,0,0,0,0,0,2,0,0,0,7,30.166666666666668,3.977900552486188,0.0,0.0,0.0,0.0,0.0,3.977900552486188,1.988950276243094,1.988950276243094,3.977900552486188,7.955801104972376,3.977900552486188,0.0,15.911602209944752,0.0,0.0,0.0,19.88950276243094,0.0,0.0,0.0,13.922651933701658,0.0,0.0,27.845303867403317,11.0,21.878453038674035
80350104,804,805,80180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80350104,804,805,80293,2,1,0,0,0,6,4,0,1,2,1,2,13,1,12,1,0,0,0,0,4,0,0,0,3,30.133333333333333,3.982300884955752,0.0,0.0,1.991150442477876,0.0,0.0,7.964601769911504,1.991150442477876,3.982300884955752,3.982300884955752,1.991150442477876,7.964601769911504,0.0,11.946902654867257,0.0,0.0,1.991150442477876,23.893805309734514,0.0,0.0,0.0,5.9734513274336285,0.0,1.991150442477876,25.884955752212388,3.0,5.9734513274336285
80350104,804,805,80443,1,0,0,0,0,0,7,0,1,21,3,19,0,0,0,3,0,0,0,1,7,4,0,0,1,60.0,21.0,1.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,14.0
80350104,804,805,80452,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,30.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13.938053097345133,0.0,0.0,0.0,0.0,13.938053097345133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.9734513274336285
80350104,804,805,80570,1,0,0,0,0,0,3,0,2,3,0,1,45,7,38,0,0,1,1,1,4,3,1,0,3,60.0,3.0,1.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,3.0,1.0,0.0,45.0,14.0,14.0
80350104,804,805,991900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80350104,804,805,991901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80350104,805,804,80049,0,0,0,0,0,3,7,1,4,0,1,0,0,0,0,0,0,1,0,0,8,2,1,0,1,60.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-14.0,-14.0
80350104,805,804,80054,2,1,0,0,0,0,1,0,1,1,0,0,28,0,28,0,0,0,2,0,1,3,2,0,4,60.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,4.0,2.0,0.0,28.0,-14.0,-14.0
