matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60,oppSquadId
80351001,806,80179,80072,80075,80069,80574,80470,80038,0.0,1364.0,0,23,0,16,1364.0,7,18.47507331378299,805
80351001,806,80072,80179,80075,80069,80574,80470,80038,1364.0,2243.0,23,39,16,24,879.0,8,32.76450511945392,805
80351001,806,80072,80179,80075,80574,991902,80470,80038,2243.0,2593.0,39,46,24,29,350.0,2,20.571428571428573,805
80351001,806,80072,80157,80075,80574,991902,80162,80038,2593.0,3125.0,46,58,29,36,532.0,5,33.83458646616541,805
80351001,806,80471,80072,80157,80574,991902,80162,80038,3125.0,3615.0,58,63,36,44,490.0,-3,-22.040816326530614,805
80351001,805,80054,80100,80055,80699,80223,80049,80304,0.0,485.0,0,5,0,7,485.0,-2,-14.845360824742267,806
80351001,805,80054,80100,80055,80699,80223,80304,80049,485.0,906.0,5,10,7,15,421.0,-3,-25.653206650831354,806
80351001,805,80054,80100,80055,80699,80223,80304,80580,906.0,1610.0,10,19,15,28,704.0,-4,-20.454545454545457,806
80351001,805,80054,80100,80055,80699,80223,80580,991906,1610.0,1809.0,19,22,28,32,199.0,-1,-18.09045226130653,806
80351001,805,80054,80100,80581,80055,80304,80580,991906,1809.0,2243.0,22,24,32,39,434.0,-5,-41.474654377880185,806
80351001,805,80198,80100,80581,80055,80304,80580,991906,2243.0,2593.0,24,29,39,46,350.0,-2,-20.571428571428573,806
80351001,805,80198,80100,80055,80699,80304,80580,991906,2593.0,3615.0,29,44,46,63,1022.0,-2,-7.045009784735812,806
