playerId,gain,penalties,ratio
S.Sterling,370.0,635.0,1.7162162162162162
J.Watson,125.0,297.0,2.376
L.de Bruin,433.0,1109.0,2.561200923787529
G.Mentor,867.0,2348.0,2.7081891580161477
K.Mostert,325.0,881.0,2.710769230769231
C.Kopua,338.0,938.0,2.775147928994083
E.Mannix,290.0,824.0,2.8413793103448275
L.Geitz,586.0,1738.0,2.9658703071672354
A.Agbeze,174.0,525.0,3.0172413793103448
J.Ward,142.0,437.0,3.0774647887323945
R.Bulley,331.0,1024.0,3.093655589123867
S.Layton,573.0,1824.0,3.183246073298429
P.Maweni,190.0,607.0,3.194736842105263
C.Bruce,505.0,1615.0,3.198019801980198
S.Klau,363.0,1182.0,3.256198347107438
S.Poolman,314.0,1051.0,3.3471337579617835
A.Harrison,208.0,706.0,3.394230769230769
K.Grant,365.0,1243.0,3.4054794520547946
C.Kight,117.0,404.0,3.452991452991453
T.Selby-Rickit,292.0,1014.0,3.4726027397260273
T.Hinchliffe,189.0,693.0,3.6666666666666665
K.Dehaney,117.0,441.0,3.769230769230769
A.Brazill,256.0,1006.0,3.9296875
B.Chatfield,268.0,1065.0,3.9738805970149254
D.McCloud,131.0,523.0,3.9923664122137406
L.Langman,181.0,727.0,4.016574585635359
S.Fuhrmann,134.0,544.0,4.059701492537314
E.Beckford-Chambers,199.0,817.0,4.105527638190955
A.Parmenter,117.0,492.0,4.205128205128205
S.Mkoloma,220.0,941.0,4.277272727272727
M.Gerrard,131.0,566.0,4.320610687022901
R.Rasmussen,132.0,571.0,4.325757575757576
K.Shimmin,289.0,1264.0,4.373702422145329
J.Weston,285.0,1308.0,4.589473684210526
S.Francis,161.0,741.0,4.60248447204969
R.Hallinan,195.0,925.0,4.743589743589744
A.Letton,278.0,1337.0,4.809352517985611
G.Simpson,239.0,1150.0,4.811715481171548
A.Steel,112.0,578.0,5.160714285714286
P.Karaka,110.0,572.0,5.2
J.Henry,115.0,620.0,5.391304347826087
K.Jenner,157.0,863.0,5.496815286624204
K.Cullen,146.0,807.0,5.527397260273973
M.Turner,189.0,1058.0,5.597883597883598
J.Corletto,149.0,862.0,5.785234899328859
J.Moulds,103.0,608.0,5.902912621359223
J.Price,173.0,1055.0,6.098265895953757
K.Manu'a,133.0,894.0,6.7218045112781954
K.Moloney,124.0,1037.0,8.362903225806452
