Alice Teague-Neeld
Alissa Castrisos
Amber Bellringer
Ameliaranne Wells
Amy Wild
Anna Thompson
Bailey Mes
Bianca Giteau
Charlee Hodges
Donna Wilkins
Ellen Halpenny
Erin Bell
Gabrielle Sinclair
Georgie Horjus
Gretel Bueta
Helen Housby
Jamilah Gupwell
Jodi Brown
Julianna Naoupu
Kaylia Stanton
Kiera Austin
Leah Shoard
Maria Folau
Megan Dehn
Nat Medhurst
Pamela Cookey
Paula Griffin
Sasha Glasgow
Sharelle McMahon
Sophia Fenwick
Sophie Dwyer
Sophie Garbin
Steph Wood
Susan Pettitt
Te Paea Selby-Rickit
Tegan Philip
Tippah Dwan
