attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,squadId,oppSquadId,fantasyScore,matchId,playerId,netPoints
0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.466666666666665,1.0,806.0,8119.0,41.19555555555556,120450101.0,1009742.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,806.0,801.0,0.0,120450202.0,1009742.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,14.05,3.0,806.0,807.0,51.873333333333335,120450301.0,1009742.0,25.5
0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,4.0,806.0,810.0,48.0,120450404.0,1009742.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.716666666666667,5.0,806.0,8117.0,3.4955555555555557,120450504.0,1009742.0,-13.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,50.28333333333333,6.0,806.0,804.0,56.40888888888889,120450601.0,1009742.0,23.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,42.56666666666667,7.0,806.0,8118.0,52.35111111111111,120450702.0,1009742.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.116666666666667,8.0,806.0,8117.0,60.08222222222222,120450804.0,1009742.0,30.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,9.0,806.0,810.0,25.08888888888889,120450902.0,1009742.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,55.7,10.0,806.0,8119.0,56.85333333333334,120451003.0,1009742.0,8.5
0.0,0.0,0.0,0.0,0.0,1.6020358901759522,3.396007509925469,2.176743753829553,3.4477623421178136,0.06005380260710667,0.002557217483194396,0.6877112445139484,0.012215368581781167,0.5112789197986295,0.0,0.7060879791778728,2.736342243416696,0.5070961755990442,0.6655982905982907,0.14249787520138016,0.0,0.0,0.0014694563011685676,33.56887683894166,11.0,806.0,804.0,51.35128677846174,,,
0.0,0.0,0.0,0.0,0.0,1.9575006021079877,3.983232949016211,2.5929897542640643,3.5189868137260976,0.03851684889033943,0.006098117708749543,0.5035794592723487,0.0032107825841507305,0.3682706732705862,0.0,0.67007004868016,2.5156926185963875,0.35466499620988795,0.6582845856419403,0.15078632986420545,0.0,0.0,0.0,31.055260629919307,12.0,806.0,8118.0,50.918473575978915,,,
0.0,0.0,0.0,0.0,0.0,2.0433655901072085,4.431406272014614,2.8247042111166434,3.4669642639788374,0.007333488539439988,0.0,0.37761546849728117,0.0,0.2597510356608145,0.0,0.6621649376061061,2.215112130943203,0.24176338996362023,0.5640493372529136,0.08516167291360972,0.0,0.0,0.0,30.225797421274628,13.0,806.0,807.0,50.66386262652349,,,
0.0,0.0,0.0,0.0,0.0,1.4760149253028167,3.762316688936177,2.189856004327836,2.903151831761199,0.0017047000283751013,0.0,0.3358210762940139,0.0,0.24614600586061916,0.0,0.5634824101796406,2.3709037860471525,0.282475864597336,0.704844302006316,0.1590489403358887,0.0,0.0,0.0,30.859812099509284,14.0,806.0,801.0,44.92767663030345,,,
