surname,firstName,playerId,team,pastSeasonScale,preseasonScale
BRUCE,Courtney,80343,Fever,1,0
FOWLER,Jhaniele,80826,Fever,1,0
GLASGOW,Sasha,1007298,Fever,1,0
TEAGUE-NEELD,Alice,994215,Fever,1,0
ARYANG,Sunday,1014130,Fever,1,0
SIMMONS,Verity,80473,Fever,1,0
ANSTISS,Jess,998408,Fever,1,0
COSH,Emma,1000231,Fever,1,0
JENNER,Kim,1007219,Fever,0,0.8
ELLIS,Rudi,1005495,Fever,1,0
WALLAM,Donnell,1021253,Firebirds,1,0
DUNKLEY,Lara,1004472,Firebirds,1,0
SIMPSON,Gabi,991905,Firebirds,1,0
BAKEWELL-DORAN,Ruby,1016035,Firebirds,1,0
RAVAILLION,Kim,80833,Firebirds,1,0
STOWER,Mia,1021092,Firebirds,0.25,0.75
GARDNER,Macy,1015274,Firebirds,0.5,0.5
UNIE,Ashlee,1001703,Firebirds,0,0.75
KAMO,Remi,1029513,Firebirds,0,0.5
MOORE,Emily,1029501,Firebirds,0,0.25
DWYER,Sophie,1019169,GIANTS,1,0
PARMENTER,Amy,1001356,GIANTS,1,0
HARTEN,Jo,80150,GIANTS,0.8,0
HAY,Maddie,995217,GIANTS,1,0
PRICE,Jamie-Lee,80701,GIANTS,1,0
BRANDLEY,April,80470,GIANTS,1,0
MCDONELL,Matilda,1013638,GIANTS,1,0
LETHERBARROW,Matisse,1013629,GIANTS,0.9,0.3
MOORE,Lauren,1001803,GIANTS,1,0
SLIGAR,Amy,1022764,GIANTS,1,0
WOOD,Steph,80475,Lightning,1.1,0
PRETORIUS,Karla,80559,Lightning,0.7,0.5
KOENEN,Cara,1001357,Lightning,1,0
CASSIDY,Mahalia,1000831,Lightning,1,0
BATCHELDOR,Reilley,1022298,Lightning,0.1,0
SCHERIAN,Laura,80296,Lightning,1,0
DEHANEY,Kadie-Ann,1001920,Lightning,0.4,0.8
MILLER,Annie,1022293,Lightning,1,0
BELL,Charlie,1025019,Lightning,0,0.9
ERVIN,Ashleigh,1025020,Lightning,0,0.9
BROWNE,Kelsey,80575,Magpies,1,0
NELSON,Shimona,1010545,Magpies,1,0
BRAZILL,Ash,80299,Magpies,1,0
WARD,Jodi-Ann,1011747,Magpies,1,0
JOVIC,Molly,1004473,Magpies,1,0
ALLEN,Nyah,1015270,Magpies,1,0
MENTOR,Geva,80010,Magpies,1,0
GARBIN,Sophie,1001711,Magpies,1,0
HINCHLIFFE,Maddie,1015543,Magpies,0,0.8
NEWTON,Jacqui,1001716,Magpies,1,0
SINGLETON,Kelly,1013431,Magpies,0,0.4
PROUD,Maddy,80439,Swifts,1,0
HOUSBY,Helen,999128,Swifts,1,0
KLAU,Sarah,998404,Swifts,1,0
WALLACE,Sam,1001944,Swifts,0.5,0
HADLEY,Paige,80574,Swifts,1,0
TURNER,Maddy,1003784,Swifts,1,0
AIKEN-GEORGE,Romelda,80078,Swifts,0.2,0
FAWNS,Sophie,1025018,Swifts,0.3,0
SMITH,Allie,1014127,Swifts,1,0
FRASER,Tayla,1009742,Swifts,1,0
O'SHANNASSY,Teigan,1007299,Swifts,1,0
STERLING,Shamera,80830,Thunderbirds,1,0
WILSON,Latanya,1019205,Thunderbirds,1,0
CARDWELL,Eleanor,1006558,Thunderbirds,0,1.4
HORJUS,Georgie,1015271,Thunderbirds,1,0
AUSTIN,Lucy,1022294,Thunderbirds,0.2,0.9
PETTY,Hannah,999806,Thunderbirds,1,0
WILLIAMS,Tayla,1020223,Thunderbirds,1,0
DWAN,Tippah,1007306,Thunderbirds,0.9,0
GARRETT,Matilda,1007301,Thunderbirds,1,0
NANKIVELL,Maisie,1016033,Thunderbirds,1,0
WATSON,Liz,994224,Vixens,1,0
WESTON,Jo,80577,Vixens,1,0
KUMWENDA,Mwai,80540,Vixens,1,0
AUSTIN,Kiera,1001708,Vixens,1,0
MOLONEY,Kate,991901,Vixens,1,0
MANNIX,Emily,994213,Vixens,1,0
EDDY,Kate,1001701,Vixens,1,0
SAMASON,Rahni,1013077,Vixens,1,0
MUNDY,Hannah,1022297,Vixens,1,0
LEWIS,Olivia,1004510,Vixens,1,0
