roundNo,homeTeam,awayTeam
1,Magpies,Swifts
1,Fever,Vixens
1,Lightning,GIANTS
1,Firebirds,Thunderbirds
2,Firebirds,Lightning
2,Thunderbirds,Swifts
2,GIANTS,Fever
2,Magpies,Vixens
3,Swifts,Firebirds
3,Lightning,Thunderbirds
3,Fever,Magpies
3,Vixens,GIANTS
4,Vixens,Lightning
4,Magpies,Firebirds
4,Thunderbirds,GIANTS
4,Swifts,Fever
5,GIANTS,Magpies
5,Thunderbirds,Vixens
5,Firebirds,Fever
5,Lightning,Swifts
6,Swifts,Vixens
6,Firebirds,GIANTS
6,Fever,Thunderbirds
6,Magpies,Lightning
7,Vixens,Firebirds
7,GIANTS,Swifts
7,Lightning,Fever
7,Thunderbirds,Magpies
8,Firebirds,Magpies
8,GIANTS,Thunderbirds
8,Vixens,Fever
8,Swifts,Lightning
9,Thunderbirds,Firebirds
9,Fever,Swifts
9,Lightning,Vixens
9,Magpies,GIANTS
10,GIANTS,Lightning
10,Vixens,Thunderbirds
10,Swifts,Magpies
10,Fever,Firebirds
11,Lightning,Magpies
11,Thunderbirds,Fever
11,Vixens,Swifts
11,GIANTS,Firebirds
12,Magpies,Thunderbirds
12,Fever,Lightning
12,Swifts,GIANTS
12,Firebirds,Vixens
13,Thunderbirds,Lightning
13,Fever,GIANTS
13,Firebirds,Swifts
13,Vixens,Magpies
14,Swifts,Thunderbirds
14,Magpies,Fever
14,Lightning,Firebirds
14,GIANTS,Vixens
