price,surname,firstName,team,position,points2023,played2023,avg2023
160000,STERLING,Shamera,Thunderbirds,GK,1714,10,171.4
145000,FOWLER,Jhaniele,Fever,GS,1448,10,144.8
145000,TEAGUE-NEELD,Alice,Fever,WA/GA,1488,10,148.8
140000,HOUSBY,Helen,Swifts,GA/GS,1412,10,141.2
125000,WOOD,Steph,Lightning,WA/GA,1343,10,134.3
120000,GLASGOW,Sasha,Fever,GA/GS,1220,9,135.56
120000,WATSON,Liz,Vixens,C/WA,1148,10,114.8
115000,AUSTIN,Kiera,Vixens,WA/GA,1123,10,112.3
115000,KUMWENDA,Mwai,Vixens,GA/GS,1091,10,109.1
115000,PROUD,Maddy,Swifts,C/WA,1196,10,119.6
110000,HAY,Maddie,GIANTS,WA,996,9,110.67
110000,NELSON,Shimona,Magpies,GS,1149,10,114.9
110000,PARMENTER,Amy,GIANTS,WD/C,1119,10,111.9
105000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,1032,10,103.2
105000,BROWNE,Kelsey,Magpies,WA,1021,10,102.1
105000,BRUCE,Courtney,Fever,GK/GD,1135,10,113.5
105000,WALLAM,Donnell,Firebirds,GS,1083,10,108.3
100000,MENTOR,Geva,Magpies,GK,1040,10,104
100000,PRICE,Jamie-Lee,GIANTS,WD/C,1105,10,110.5
100000,WILSON,Latanya,Thunderbirds,GD/WD,1061,10,106.1
95000,AIKEN-GEORGE,Romelda,Swifts,GS,969,10,96.9
95000,DWYER,Sophie,GIANTS,GA/GS,1025,10,102.5
95000,HORJUS,Georgie,Thunderbirds,WA/GA,892,10,89.2
95000,KLAU,Sarah,Swifts,GK/GD,948,10,94.8
95000,WARD,Jodi-Ann,Magpies,GD/WD,1152,10,115.2
95000,WESTON,Jo,Vixens,GD/WD,897,9,99.67
90000,HADLEY,Paige,Swifts,C/WA,957,10,95.7
90000,KOENEN,Cara,Lightning,GA/GS,1062,10,106.2
90000,PRETORIUS,Karla,Lightning,GD,1006,10,100.6
85000,GARRETT,Matilda,Thunderbirds,GD,887,10,88.7
85000,JOVIC,Molly,Magpies,C,747,10,74.7
85000,SCHERIAN,Laura,Lightning,C/WA,818,10,81.8
80000,DEHANEY,Kadie-Ann,Lightning,GK,996,10,99.6
80000,DUNKLEY,Lara,Firebirds,WA,841,10,84.1
80000,KAMO,Remi,Firebirds,GK/GD,839,10,83.9
80000,MANNIX,Emily,Vixens,GK,661,8,82.63
80000,TURNER,Maddy,Swifts,GD/WD,736,10,73.6
75000,ALLEN,Nyah,Magpies,GA,,,
75000,ANSTISS,Jess,Fever,WD/C,716,9,79.56
75000,ARYANG,Sunday,Fever,GD/WD,839,10,83.9
75000,BRANDLEY,April,GIANTS,GD,804,10,80.4
75000,BUTLER,Nat,Fever,GA,,,
75000,CARDWELL,Eleanor,Thunderbirds,GA/GS,892,10,89.2
75000,HARTEN,Jo,GIANTS,GA/GS,557,7,79.57
75000,RAVAILLION,Kim,Firebirds,C,770,10,77
70000,BRAZILL,Ash,Magpies,WD/C,674,9,74.89
70000,CASSIDY,Mahalia,Lightning,WD/C,717,10,71.7
70000,MOORE,Emily,Firebirds,GA/GS,600,9,66.67
70000,MOORE,Lauren,GIANTS,GD/WD,492,8,61.5
65000,DWAN,Tippah,Thunderbirds,GA,645,9,71.67
65000,EDDY,Kate,Vixens,GD/WD,565,9,62.78
65000,MOLONEY,Kate,Vixens,WD/C,700,10,70
65000,SIMMONS,Verity,Fever,C/WA,750,10,75
60000,GARDNER,Macy,Firebirds,C/WA,400,6,66.67
60000,LETHERBARROW,Matisse,GIANTS,GA/GS,333,4,83.25
55000,LEWIS,Olivia,Vixens,GK,405,8,50.63
55000,PETTY,Hannah,Thunderbirds,WD/C,385,7,55
55000,SIMPSON,Gabi,Firebirds,WD,528,9,58.67
55000,STOWER,Mia,Firebirds,GA,553,9,61.44
50000,BORGER,Kim,Vixens,GA/GS,16,1,16
50000,GARBIN,Sophie,Magpies,GA/GS,622,10,62.2
50000,MCDONELL,Matilda,GIANTS,GK,358,8,44.75
50000,MILLER,Annie,Lightning,C/WA,608,10,60.8
50000,MUNDY,Hannah,Vixens,C/WA,402,7,57.43
50000,WILLIAMS,Tayla,Thunderbirds,C/WA,745,10,74.5
45000,O'SHANNASSY,Teigan,Swifts,GK/GD,330,6,55
40000,HINCHLIFFE,Maddie,Magpies,WD/C,181,5,36.2
40000,JENNER,Kim,Fever,GK/GD,403,9,44.78
35000,AUSTIN,Lucy,Thunderbirds,GS,292,8,36.5
35000,COSH,Emma,Fever,WA/GA,103,3,34.33
35000,ELLIS,Rudi,Fever,GK,171,5,34.2
35000,FAWNS,Sophie,Swifts,GA/GS,172,6,28.67
35000,FRASER,Tayla,Swifts,WD/C,338,9,37.56
35000,NANKIVELL,Maisie,Thunderbirds,C/WA,225,6,37.5
35000,NEWTON,Jacqui,Magpies,GK/GD,166,5,33.2
35000,SMITH,Allie,Swifts,GD/WD,284,7,40.57
30000,BELL,Charlie,Lightning,GS,88,5,17.6
30000,BLACK,Ava,Lightning,WD/C,125,4,31.25
