price,surname,firstName,team,position,points2019,played2019,avg2019
135000,HOUSBY,Helen,Swifts,GA,1279.5,11,116.3
135000,STERLING,Shamera,Thunderbirds,GK,1900,14,135.7
125000,WATSON,Liz,Vixens,WA,1787.5,14,127.7
120000,PROUD,Maddy,Swifts,C/WA,849,7,121.3
115000,FOWLER,Jhaniele,Fever,GS,1668,14,119.1
115000,PRETORIUS,Karla,Lightning,GD,1656,14,118.3
110000,WOOD,Stephanie,Lightning,GA,1399.5,14,100
105000,HARTEN,Jo,GIANTS,GA/GS,1218,14,87
100000,BRUCE,Courtney,Fever,GK,938,9,104.2
100000,HADLEY,Paige,Swifts,C/WA,1444.5,14,103.2
100000,LANGMAN,Laura,Lightning,WD/C,1409,14,100.6
100000,MENTOR,Geva,Magpies,GK,1436.5,14,102.6
100000,MOLONEY,Kate,Vixens,C,1412.5,14,100.9
100000,PRICE,Jamie-Lee,GIANTS,WD/C,1405,14,100.4
95000,WALLACE,Sam,Swifts,GS,1337,14,95.5
90000,BROWNE,Kelsey,Magpies,WA,1219,13,93.8
90000,BROWNE,Madi,Magpies,C/WA ,,,
90000,SCHERIAN,Laura,Lightning,C/WA,1282,14,91.6
85000,MAWENI,Phumza,Lightning,GK,1233.5,14,88.1
85000,PITMAN,Chelsea,Thunderbirds,WA,1197.5,14,85.5
85000,THWAITES,Caitlin,Vixens,GS,1113,14,79.5
80000,BASSETT,Caitlin,GIANTS,GS,1285.5,14,91.8
80000,COLYER,Ingrid,Fever,C/WA,1125.5,14,80.4
80000,MANNIX,Emily,Vixens,GK,1186.5,14,84.8
80000,PARMENTER,Amy,GIANTS,WD/C,1139.5,14,81.4
80000,SIMPSON,Gabi,Firebirds,WD,1040.5,13,80
80000,WESTON,Jo,Vixens,GD,1153,14,82.4
75000,HAYTHORNTHWAITE,Natalie,Swifts,WA/GA,307,4,76.8
75000,KLAU,Sarah,Swifts,GK,1116.5,14,79.8
75000,POOLMAN,Sam,GIANTS,GK,1078,14,77
75000,STANTON,Kaylia,Fever,GA,754.5,10,75.5
70000,CHARLES,Verity,Fever,WA,1046.5,14,74.8
70000,EDDY,Kate,Vixens,GD/WD,579.5,8,72.4
70000,MANU'A,Kristiana,GIANTS,GD/WD,1038.5,14,74.2
70000,PHILIP,Tegan,Vixens,GA,872,14,62.3
70000,PROSCOVIA,Peace,Lightning,GS,1171,14,83.6
70000,TEAGUE-NEELD,Alice,Fever,GA,656.5,9,72.9
65000,ANSTISS,Jess,Fever,WD/C,920,14,65.7
65000,CASSIDY,Mahalia,Firebirds,C,339,5,67.8
65000,GLASGOW,Sasha,Thunderbirds,GA/GS,898,13,69.1
65000,GUSCOTH,Layla,Thunderbirds,GD/WD,619.5,9,68.8
65000,JENNER,Kimberley,Firebirds,GK/GD,832,12,69.3
65000,NELSON,Shimona,Magpies,GS,1085.5,14,77.5
65000,POTGIETER,Lenize,Thunderbirds,GS,299,5,59.8
65000,TURNER,Maddy,Swifts,GD,914.5,14,65.3
60000,AIKEN,Romelda,Firebirds,GS,717.5,10,71.8
60000,AUSTIN,Kiera,GIANTS,WA/GA,536,10,53.6
60000,FRANCIS,Stacey,Fever,GD,845.5,14,60.4
60000,HINCHLIFFE,Tara,Firebirds,GK/GD,827,13,63.6
60000,KOENEN,Cara,Lightning,GA/GS,764.5,12,63.7
60000,WARD,Jodi-Ann,Magpies,GD/WD ,,,
55000,GARBIN,Sophie,Swifts,GA/GS,486,7,69.4
55000,GARDNER,Macy,Firebirds,C/WA,170,3,56.7
55000,MCAULIFFE,Madeline,Lightning,WD/C,834.5,14,59.6
55000,VAN DER MERWE,Shadine,Thunderbirds,WD,501,9,55.7
50000,PETTY,Hannah,Thunderbirds,WD/C,708,14,50.6
45000,ALTMANN,Kelly,Magpies,C/WA,654,14,46.7
45000,DEHANEY,Kadie-Ann,Vixens,GK,375,8,46.9
45000,EAGLAND,Shannon,Fever,WD,564.5,12,47
45000,MI MI,Jemma,Firebirds,C/WA,698.5,14,49.9
45000,NANKIVELL,Maisie,Thunderbirds,WD,341,7,48.7
