price,surname,firstName,team,position,,,,,,,,Out,,,,
140000,FOWLER,Jhaniele,Fever,GS,,,,,,,,100000,PRETORIUS,Karla,Lightning,GD 
105000,WOOD,Steph,Lightning,WA/GA,,,,,,,,100000,CARDWELL,Eleanor,Thunderbirds,GA/GS 
130000,WATSON,Liz,Vixens,C/WA,,,,,,,,,,,,
65000,WILLIAMS,Tayla,Thunderbirds,C/WA,,,,,,,,,,,,
85000,WARD,Jodi-Ann,Magpies,GD/WD,,,,,,,,,,,,
100000,WESTON,Jo,Vixens,GD/WD,,,,,,,,,,,,
55000,DEHANEY,Kadie-Ann,Lightning,GK,,,,,,,,,,,,
35000,STOWER,Mia,Firebirds,GA,,,,,,,,,,,,
30000,MILLER,Annie,Lightning,C/WA,,,,,,,,,,,,
25000,KAMO,Remi,Firebirds,GK/GD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
770000,,,,,,,,,,,,,,,,
