price,surname,firstName,team,position,,,Budget surplus,40000,,Traded,,,,,,Signed,,,,
135000,FOWLER,Jhaniele,Fever,GS,,,,,,85000,WILLIAMS,Tayla,Thunderbirds,C/WA,,135000,TEAGUE-NEELD,Alice,Fever,WA/GA
115000,WOOD,Steph,Lightning,WA/GA,,,,,,100000,WESTON,Jo,Vixens,GD/WD,,40000,JENNER,Kim,Fever,GK/GD
135000,TEAGUE-NEELD,Alice,Fever,WA/GA,,,,,,,,,,,,,,,,
115000,WATSON,Liz,Vixens,C/WA,,,,,,185000,,,,,,175000,,,,
105000,WARD,Jodi-Ann,Magpies,GD/WD,,,,,,,,,,,,,,,,
55000,KAMO,Remi,Firebirds,GK/GD,,,,,,,,,,,,,,,,
90000,DEHANEY,Kadie-Ann,Lightning,GK,,,,,,,,,,,,,,,,
50000,STOWER,Mia,Firebirds,GA,,,,,,,,,,,,,,,,
40000,MILLER,Annie,Lightning,C/WA,,,,,,,,,,,,,,,,
40000,JENNER,Kim,Fever,GK/GD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
880000,,,,,,,,,,,,,,,,,,,,
