price,surname,firstName,team,position,,,Budget surplus,5000,,TRADED,,,,,,SIGNED
130000,FOWLER,Jhaniele,Fever,GS,,,,,,,,,,,,
125000,WOOD,Steph,Lightning,WA/GA,,,,,,,,,,,,
140000,TEAGUE-NEELD,Alice,Fever,WA/GA,,,,,,,,,,,,
105000,WATSON,Liz,Vixens,C/WA,,,,,,,,,,,,
105000,WARD,Jodi-Ann,Magpies,GD/WD,,,,,,,,,,,,
80000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,,,,,,,,,,,,
95000,DEHANEY,Kadie-Ann,Lightning,GK,,,,,,,,,,,,
65000,STOWER,Mia,Firebirds,GA,,,,,,,,,,,,
50000,MILLER,Annie,Lightning,C/WA,,,,,,,,,,,,
70000,KAMO,Remi,Firebirds,GK/GD,,,,,,,,,,,,
