squadName,oppSquadName,roundNo,attempt1,attempt2,goal1,goal2,goalAttempts,badPasses,badHands,offsides,breaks,contactPenalties,obstructionPenalties,penalties,centrePassReceives,secondPhaseReceive,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,interceptPassThrown,intercepts,netPoints,pickups,points
Vixens,Mavericks,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,18.0,4.0,5.0,0.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,50.5,1.0,0.0
Vixens,Thunderbirds,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,22.0,3.0,4.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,30.0,1.0,0.0
Vixens,GIANTS,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,1.0,1.0,5.0,2.0,7.0,11.0,0.0,0.0,1.0,0.0,1.0,6.0,123.0,3.0,0.0
Vixens,Firebirds,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,1.0,0.0
Vixens,Swifts,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,1.0,2.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,57.0,1.0,0.0
Vixens,Lightning,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,19.0,2.0,0.0,3.0,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,113.0,1.0,0.0
Vixens,Fever,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,9.0,3.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,39.5,2.0,0.0
Vixens,GIANTS,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,1.0,0.0
Vixens,Mavericks,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,18.0,2.0,6.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,49.5,1.0,0.0
Vixens,Lightning,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,27.5,0.0,0.0
Vixens,Swifts,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,53.5,2.0,0.0
Vixens,Thunderbirds,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,15.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,28.5,1.0,0.0
Vixens,Fever,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,6.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1.0,0.0
Vixens,Firebirds,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,56.5,5.0,0.0
