playerName,squadName,oppSquadName,roundNo,matchResult,attempt1,attempt2,goal1,goal2,goalAttempts,badPasses,badHands,offsides,breaks,contactPenalties,obstructionPenalties,penalties,centrePassReceives,secondPhaseReceive,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,interceptPassThrown,intercepts,netPoints,pickups,points
Maddy Proud,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,12.0,0.0,8.0,0.0,0.0,0.0,1.0,33.0,23.0,6.0,23.0,3.0,1.0,62.0,3.0,0.0
Paige Hadley,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,5.0,34.0,9.0,0.0,0.0,0.0,0.0,19.0,12.0,5.0,9.0,2.0,0.0,30.5,0.0,0.0
Elle Temu,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
Sarah Klau,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,49.0,0.0,0.0
Helen Housby,Swifts,Lightning,1,loss,10.0,8.0,9.0,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,19.0,1.0,2.0,3.0,1.0,17.0,13.0,1.0,12.0,0.0,0.0,109.5,0.0,25.0
Sam Wallace-Joseph,Swifts,Lightning,1,loss,24.0,2.0,23.0,1.0,26.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,29.0,1.0,25.0
Maddy Turner,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,19.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1.0,0.0
Allie Smith,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
Sophie Fawns,Swifts,Lightning,1,loss,5.0,6.0,5.0,4.0,11.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,5.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,21.0,0.0,13.0
Lili Gorman-Brown,Swifts,Lightning,1,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maddy Proud,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,12.0,8.0,0.0,2.0,2.0,0.0,28.0,19.0,5.0,17.0,3.0,0.0,25.0,0.0,0.0
Paige Hadley,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,11.0,0.0,15.0,1.0,0.0,1.0,1.0,18.0,11.0,1.0,11.0,0.0,0.0,88.0,4.0,0.0
Elle Temu,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
Sarah Klau,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0
Helen Housby,Swifts,Mavericks,2,win,10.0,9.0,9.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,4.0,1.0,0.0,1.0,1.0,18.0,14.0,1.0,13.0,0.0,0.0,89.5,1.0,23.0
Sam Wallace-Joseph,Swifts,Mavericks,2,win,37.0,1.0,37.0,1.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,78.0,2.0,39.0
Maddy Turner,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,6.0,21.0,4.0,3.0,0.0,6.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,19.0,0.0,0.0
Allie Smith,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,7.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,0.0,0.0
Sophie Fawns,Swifts,Mavericks,2,win,5.0,4.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,7.0,2.0,5.0
Lili Gorman-Brown,Swifts,Mavericks,2,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,1.0,0.0,-2.5,0.0,0.0
Maddy Proud,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,11.0,11.0,1.0,0.0,1.0,2.0,31.0,22.0,4.0,20.0,3.0,1.0,75.0,1.0,0.0
Paige Hadley,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,16.0,16.0,0.0,1.0,1.0,1.0,40.0,31.0,3.0,26.0,1.0,1.0,112.5,0.0,0.0
Elle Temu,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,11.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0
Sarah Klau,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,17.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,31.0,0.0,0.0
Helen Housby,Swifts,Firebirds,3,win,13.0,8.0,12.0,7.0,21.0,1.0,0.0,0.0,0.0,7.0,1.0,8.0,16.0,11.0,0.0,0.0,0.0,0.0,22.0,17.0,5.0,15.0,1.0,0.0,66.5,1.0,26.0
Sam Wallace-Joseph,Swifts,Firebirds,3,win,40.0,6.0,39.0,2.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,64.0,1.0,43.0
Maddy Turner,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,6.0,22.0,6.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0
Allie Smith,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Sophie Fawns,Swifts,Firebirds,3,win,9.0,1.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,8.0
Lili Gorman-Brown,Swifts,Firebirds,3,win,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Maddy Proud,Swifts,Fever,4,loss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,25.0,18.0,0.0,1.0,1.0,0.0,35.0,23.0,4.0,18.0,1.0,0.0,100.5,5.0,0.0
Paige Hadley,Swifts,Fever,4,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,22.0,15.0,2.0,11.0,0.0,1.0,72.5,1.0,0.0
Elle Temu,Swifts,Fever,4,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,12.0,0.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,1.0,0.0
