squadName,oppSquadName,roundNo,matchResult,attempt1,attempt2,goal1,goal2,goalAttempts,contactPenalties,obstructionPenalties,penalties,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,netPoints,pickups,points
Vixens,Fever,1,loss,61.0,9.0,55.0,3.0,70.0,53.0,14.0,67.0,4.0,3.0,7.0,5.0,77.0,55.0,17.0,44.0,46.0,2.0,10.0,4.0,1.0,323.5,13.0,61.0
Vixens,Magpies,2,win,58.0,8.0,52.0,5.0,66.0,52.0,15.0,67.0,4.0,15.0,19.0,11.0,86.0,59.0,21.0,50.0,42.0,8.0,7.0,6.0,6.0,386.5,8.0,62.0
Vixens,GIANTS,3,win,57.0,8.0,52.0,5.0,65.0,59.0,12.0,71.0,3.0,11.0,14.0,11.0,77.0,46.0,14.0,39.0,42.0,9.0,6.0,4.0,4.0,380.5,8.0,62.0
Vixens,Lightning,4,win,59.0,6.0,54.0,3.0,65.0,45.0,9.0,54.0,5.0,8.0,13.0,13.0,73.0,52.0,17.0,45.0,43.0,8.0,6.0,5.0,7.0,396.5,8.0,60.0
Vixens,Thunderbirds,5,loss,41.0,16.0,36.0,7.0,57.0,59.0,15.0,74.0,2.0,13.0,15.0,9.0,78.0,52.0,20.0,39.0,31.0,2.0,10.0,6.0,4.0,254.0,9.0,50.0
Vixens,Swifts,6,loss,68.0,4.0,62.0,2.0,72.0,41.0,13.0,54.0,5.0,7.0,12.0,9.0,87.0,65.0,14.0,58.0,52.0,5.0,7.0,2.0,4.0,447.0,8.0,66.0
Vixens,Firebirds,7,win,73.0,7.0,64.0,4.0,80.0,32.0,10.0,42.0,4.0,4.0,8.0,14.0,99.0,73.0,20.0,62.0,45.0,9.0,14.0,7.0,5.0,433.0,11.0,72.0
Vixens,Fever,8,win,79.0,6.0,68.0,3.0,85.0,38.0,7.0,45.0,1.0,12.0,13.0,7.0,93.0,68.0,9.0,57.0,60.0,7.0,4.0,4.0,6.0,497.0,5.0,74.0
Vixens,Lightning,9,win,57.0,5.0,54.0,4.0,62.0,57.0,7.0,64.0,2.0,5.0,7.0,11.0,90.0,57.0,17.0,52.0,45.0,8.0,5.0,2.0,7.0,368.0,5.0,62.0
Vixens,Thunderbirds,10,win,52.0,9.0,44.0,8.0,61.0,40.0,13.0,53.0,5.0,19.0,24.0,26.0,89.0,57.0,24.0,49.0,30.0,16.0,6.0,8.0,11.0,509.0,17.0,60.0
Vixens,Swifts,11,loss,54.0,16.0,46.0,8.0,70.0,40.0,10.0,50.0,0.0,7.0,7.0,8.0,82.0,63.0,14.0,49.0,42.0,5.0,7.0,4.0,6.0,349.0,12.0,62.0
Vixens,Firebirds,12,loss,66.0,12.0,57.0,7.0,78.0,49.0,7.0,57.0,5.0,11.0,16.0,10.0,100.0,72.0,14.0,59.0,51.0,7.0,6.0,2.0,2.0,491.0,15.0,71.0
Vixens,Magpies,13,win,53.0,10.0,50.0,7.0,63.0,46.0,12.0,58.0,8.0,11.0,19.0,13.0,94.0,58.0,24.0,54.0,39.0,8.0,10.0,7.0,4.0,407.0,15.0,64.0
Vixens,GIANTS,14,loss,55.0,6.0,51.0,3.0,61.0,55.0,17.0,72.0,1.0,8.0,9.0,16.0,88.0,57.0,23.0,50.0,34.0,12.0,8.0,10.0,9.0,328.0,8.0,57.0
