squadName,oppSquadName,roundNo,attempt1,attempt2,goal1,goal2,goalAttempts,badPasses,badHands,offsides,breaks,contactPenalties,obstructionPenalties,penalties,centrePassReceives,secondPhaseReceive,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,interceptPassThrown,intercepts,netPoints,pickups,points
Vixens,Thunderbirds,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Vixens,GIANTS,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,5.0,0.0
Vixens,Firebirds,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,4.0,6.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,82.0,1.0,0.0
Vixens,Swifts,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,17.0,7.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,73.0,4.0,0.0
Vixens,Lightning,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,15.0,7.0,5.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,29.0,3.0,0.0
Vixens,Fever,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,14.0,15.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,24.0,1.0,0.0
Vixens,GIANTS,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0
Vixens,Mavericks,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,11.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,27.0,3.0,0.0
Vixens,Lightning,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,12.0,7.0,6.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,34.5,1.0,0.0
Vixens,Swifts,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,11.0,5.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,1.0,0.0
Vixens,Thunderbirds,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,14.0,7.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0
Vixens,Fever,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,13.0,9.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,40.5,3.0,0.0
Vixens,Firebirds,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,13.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,11.5,3.0,0.0
