Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-12-20 00:25:26 +0000,1,Scherian ,C,Centre Pass,1,0,0,50, 100
2018-12-20 00:25:26 +0000,1,McAuliffe,WD,Assist - Centre Pass Rec,1,0,0,74, 87
2018-12-20 00:25:29 +0000,1,Scherian ,C,Assist - 2nd Phase,1,0,0,57, 82
2018-12-20 00:25:31 +0000,1,McAuliffe,WD,Possession,1,0,0,48, 117
2018-12-20 00:25:34 +0000,1,Wood,GA,Possession,1,0,0,44, 126
2018-12-20 00:25:37 +0000,1,Scherian ,C,Possession,1,0,0,79, 115
2018-12-20 00:25:39 +0000,1,Browne,WA,Possession,1,0,0,90, 147
2018-12-20 00:25:41 +0000,1,Wood,GA,Possession,1,0,0,65, 142
2018-12-20 00:25:43 +0000,1,Browne,WA,Possession,1,0,0,75, 142
2018-12-20 00:25:45 +0000,1,Pretorius ,GD,Possession,1,0,0,64, 131
2018-12-20 00:25:48 +0000,1,Browne,WA,Possession,1,0,0,58, 146
2018-12-20 00:25:50 +0000,1,Scherian ,C,Possession,1,0,0,22, 172
2018-12-20 00:25:53 +0000,1,Pretorius ,GD,Possession,1,0,0,29, 131
2018-12-20 00:25:55 +0000,1,Scherian ,C,Possession,1,0,0,18, 149
2018-12-20 00:25:58 +0000,1,McAuliffe,WD,Possession,1,0,0,49, 130
2018-12-20 00:26:03 +0000,0,Medhurst,GA,Penaly - Contact,1,0,0,25, 129
2018-12-20 00:26:03 +0000,1,Pretorius ,GD,Possession,1,0,0,25, 129
2018-12-20 00:26:08 +0000,1,Browne,WA,Possession,1,0,0,34, 149
2018-12-20 00:26:13 +0000,1,Wood,GA,Possession,1,0,0,74, 156
2018-12-20 00:26:46 +0000,0,Anstiss,WD,Penaly - Contact,1,0,0,74, 156
2018-12-20 00:26:46 +0000,1,Browne,WA,Possession,1,0,0,74, 156
2018-12-20 00:26:52 +0000,1,Browne,WA,Assist - Circle Entry,1,0,0,74, 156
2018-12-20 00:26:52 +0000,1,Wood,GA,Possession,1,0,0,67, 179
2018-12-20 00:26:54 +0000,1,Browne,WA,Possession,1,0,0,86, 190
2018-12-20 00:26:57 +0000,1,Browne,WA,Assist - Circle Entry,1,0,0,86, 190
2018-12-20 00:26:57 +0000,1,Bassett,GS,Goal - Score,1,0,0,49, 191
2018-12-20 00:27:02 +0000,0,Charles,C,Centre Pass,1,0,1,50, 100
2018-12-20 00:27:02 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,0,1,85, 73
2018-12-20 00:27:04 +0000,0,Medhurst,GA,Assist - 2nd Phase,1,0,1,91, 47
2018-12-20 00:27:07 +0000,0,Medhurst,GA,Assist - Circle Entry,1,0,1,91, 47
2018-12-20 00:27:07 +0000,0,Fowler,GS,Possession,1,0,1,62, 16
2018-12-20 00:27:08 +0000,0,Charles,C,Possession,1,0,1,81, 18
2018-12-20 00:27:11 +0000,0,Charles,C,Assist - Circle Entry,1,0,1,81, 18
2018-12-20 00:27:11 +0000,0,Fowler,GS,Goal - Score,1,0,1,55, 6
2018-12-20 00:27:18 +0000,1,Scherian ,C,Centre Pass,1,1,1,50, 100
2018-12-20 00:27:18 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,1,1,86, 113
2018-12-20 00:27:20 +0000,1,McAuliffe,WD,Assist - 2nd Phase,1,1,1,64, 107
2018-12-20 00:27:23 +0000,0,Medhurst,GA,Penaly - Contact,1,1,1,64, 107
2018-12-20 00:27:23 +0000,1,McAuliffe,WD,Possession,1,1,1,64, 107
2018-12-20 00:27:28 +0000,1,Scherian ,C,Possession,1,1,1,39, 127
2018-12-20 00:27:30 +0000,1,Wood,GA,Possession,1,1,1,63, 151
2018-12-20 00:27:33 +0000,1,Scherian ,C,Possession,1,1,1,58, 158
2018-12-20 00:27:35 +0000,0,Charles,C,Penaly - Contact,1,1,1,58, 158
2018-12-20 00:27:35 +0000,1,Scherian ,C,Possession,1,1,1,58, 158
2018-12-20 00:27:40 +0000,1,Scherian ,C,Assist - Circle Entry,1,1,1,58, 158
2018-12-20 00:27:40 +0000,1,Wood,GA,Possession,1,1,1,57, 175
2018-12-20 00:27:45 +0000,1,Bassett,GS,Goal - Score,1,1,1,42, 189
2018-12-20 00:27:56 +0000,0,Charles,C,Centre Pass,1,1,2,50, 100
2018-12-20 00:27:56 +0000,0,Francis,GD,Assist - Centre Pass Rec,1,1,2,35, 118
2018-12-20 00:27:58 +0000,0,Charles,C,Assist - 2nd Phase,1,1,2,60, 128
2018-12-20 00:28:00 +0000,0,Anstiss,WD,Possession,1,1,2,48, 110
2018-12-20 00:28:04 +0000,0,Colyer ,WA,Possession,1,1,2,37, 91
2018-12-20 00:28:06 +0000,0,Medhurst,GA,Possession,1,1,2,16, 53
2018-12-20 00:28:13 +0000,0,Charles,C,Possession,1,1,2,15, 12
2018-12-20 00:28:17 +0000,0,Charles,C,Assist - Circle Entry,1,1,2,15, 12
2018-12-20 00:28:17 +0000,0,Fowler,GS,Goal - Score,1,1,2,49, 8
2018-12-20 00:28:26 +0000,1,Scherian ,C,Centre Pass,1,2,2,50, 100
2018-12-20 00:28:26 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,2,2,55, 118
2018-12-20 00:28:28 +0000,1,Wood,GA,Assist - Circle Entry,1,2,2,55, 118
2018-12-20 00:28:29 +0000,1,Bassett,GS,Goal - Score,1,2,2,58, 194
2018-12-20 00:28:38 +0000,0,Charles,C,Centre Pass,1,2,3,50, 100
