Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-12-19 12:46:29 +0000,0,Guthrie,C,Centre Pass,1,0,0,50, 100
2018-12-19 12:46:29 +0000,0,Green,WA,Assist - Centre Pass Rec,1,0,0,76, 70
2018-12-19 12:46:30 +0000,0,Guthrie,C,Assist - 2nd Phase,1,0,0,48, 70
2018-12-19 12:46:32 +0000,0,Pettitt ,GS,Possession,1,0,0,16, 39
2018-12-19 12:46:37 +0000,0,Green,WA,Possession,1,0,0,27, 39
2018-12-19 12:46:41 +0000,0,Guthrie,C,Possession,1,0,0,80, 19
2018-12-19 12:46:53 +0000,0,Guthrie,C,Assist - Circle Entry,1,0,0,80, 19
2018-12-19 12:46:53 +0000,0,Pettitt ,GS,Goal - Score,1,0,0,37, 13
2018-12-19 12:47:02 +0000,1,Scherian ,C,Centre Pass,1,1,0,50, 100
2018-12-19 12:47:02 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,1,0,67, 102
2018-12-19 12:47:05 +0000,1,Scherian ,C,Assist - 2nd Phase,1,1,0,34, 109
2018-12-19 12:47:07 +0000,1,Wood,GA,Possession,1,1,0,50, 116
2018-12-19 12:47:10 +0000,1,McAuliffe,WD,Possession,1,1,0,51, 89
2018-12-19 12:47:12 +0000,1,Browne,WA,Possession,1,1,0,80, 120
2018-12-19 12:47:14 +0000,1,Pretorius ,GD,Possession,1,1,0,85, 97
2018-12-19 12:47:16 +0000,1,Browne,WA,Possession,1,1,0,88, 124
2018-12-19 12:47:18 +0000,1,McAuliffe,WD,Possession,1,1,0,54, 129
2018-12-19 12:47:24 +0000,1,McAuliffe,WD,Assist - Circle Entry,1,1,0,54, 129
2018-12-19 12:47:25 +0000,1,Bassett,GS,Goal - Score,1,1,0,54, 194
2018-12-19 12:48:01 +0000,0,Guthrie,C,Centre Pass,1,1,1,50, 100
2018-12-19 12:48:01 +0000,0,Green,WA,Assist - Centre Pass Rec,1,1,1,58, 78
2018-12-19 12:48:04 +0000,0,Harten ,GA,Assist - 2nd Phase,1,1,1,9, 57
2018-12-19 12:48:05 +0000,0,Pettitt ,GS,Possession,1,1,1,11, 8
2018-12-19 12:48:08 +0000,0,Guthrie,C,Possession,1,1,1,23, 23
2018-12-19 12:48:11 +0000,0,Guthrie,C,Assist - Circle Entry,1,1,1,23, 23
2018-12-19 12:48:11 +0000,0,Pettitt ,GS,Possession,1,1,1,53, 24
2018-12-19 12:48:14 +0000,0,Guthrie,C,Possession,1,1,1,16, 13
2018-12-19 12:48:20 +0000,0,Green,WA,Possession,1,1,1,77, 20
2018-12-19 12:48:27 +0000,1,Mentor,GK,Deflect,1,1,1,60, 19
2018-12-19 12:48:27 +0000,0,Price,WD,Possession,1,1,1,66, 69
2018-12-19 12:48:33 +0000,0,Guthrie,C,Possession,1,1,1,42, 56
2018-12-19 12:48:52 +0000,0,Green,WA,Possession,1,1,1,50, 34
2018-12-19 12:48:55 +0000,0,Green,WA,Assist - Circle Entry,1,1,1,50, 34
2018-12-19 12:48:55 +0000,0,Harten ,GA,Goal - Score,1,1,1,53, 16
2018-12-19 12:49:04 +0000,1,Scherian ,C,Centre Pass,1,2,1,50, 100
2018-12-19 12:49:04 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,2,1,64, 119
2018-12-19 12:49:06 +0000,1,Browne,WA,Assist - 2nd Phase,1,2,1,85, 146
2018-12-19 12:49:08 +0000,1,McAuliffe,WD,Possession,1,2,1,77, 130
2018-12-19 12:49:10 +0000,1,Wood,GA,Possession,1,2,1,60, 159
2018-12-19 12:49:12 +0000,1,Scherian ,C,Possession,1,2,1,30, 167
2018-12-19 12:49:16 +0000,1,Scherian ,C,Assist - Circle Entry,1,2,1,30, 167
2018-12-19 12:49:16 +0000,1,Wood,GA,Possession,1,2,1,32, 188
2018-12-19 12:49:18 +0000,1,Scherian ,C,Possession,1,2,1,34, 168
2018-12-19 12:49:20 +0000,1,Scherian ,C,Assist - Circle Entry,1,2,1,34, 168
2018-12-19 12:49:20 +0000,1,Wood,GA,Goal - Score,1,2,1,41, 190
2018-12-19 12:49:32 +0000,0,Guthrie,C,Centre Pass,1,2,2,50, 100
2018-12-19 12:49:32 +0000,0,Green,WA,Assist - Centre Pass Rec,1,2,2,21, 83
2018-12-19 12:49:38 +0000,0,Harten ,GA,Assist - 2nd Phase,1,2,2,23, 53
2018-12-19 12:49:41 +0000,0,Harten ,GA,Assist - Circle Entry,1,2,2,23, 53
2018-12-19 12:49:41 +0000,0,Pettitt ,GS,Goal - Score,1,2,2,43, 4
2018-12-19 12:49:53 +0000,1,Scherian ,C,Centre Pass,1,3,2,50, 100
2018-12-19 12:49:53 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,3,2,80, 115
2018-12-19 12:49:59 +0000,0,Price,WD,Penaly - Contact,1,3,2,61, 137
2018-12-19 12:49:59 +0000,1,Scherian ,C,Assist - 2nd Phase,1,3,2,61, 137
2018-12-19 12:50:05 +0000,1,Scherian ,C,Assist - Circle Entry,1,3,2,61, 137
2018-12-19 12:50:05 +0000,1,Bassett,GS,Possession,1,3,2,56, 168
2018-12-19 12:50:09 +0000,0,Poolman ,GK,Penaly - Contact,1,3,2,56, 168
2018-12-19 12:50:09 +0000,1,Wood,GA,Possession,1,3,2,56, 168
2018-12-19 12:50:21 +0000,1,Bassett,GS,Goal - Score,1,3,2,45, 191
2018-12-19 12:51:50 +0000,0,Guthrie,C,Centre Pass,1,3,3,50, 100
2018-12-19 12:51:50 +0000,0,,UNKNOWN,Assist - Centre Pass Rec,1,3,3,52, 73
2018-12-19 12:51:51 +0000,0,Green,WA,Assist - 2nd Phase,1,3,3,27, 24
2018-12-19 12:51:56 +0000,0,Green,WA,Assist - Circle Entry,1,3,3,27, 24
2018-12-19 12:51:56 +0000,0,Pettitt ,GS,Possession,1,3,3,22, 5
2018-12-19 12:51:58 +0000,0,Guthrie,C,Possession,1,3,3,79, 18
2018-12-19 12:52:00 +0000,0,Green,WA,Possession,1,3,3,55, 35
2018-12-19 12:52:08 +0000,0,Green,WA,Assist - Circle Entry,1,3,3,55, 35
2018-12-19 12:52:08 +0000,1,Pretorius ,GD,Gain - Inter,1,3,3,61, 11
2018-12-19 12:52:12 +0000,1,Pretorius ,GD,Loss - Replay,1,3,3,61, 12
2018-12-19 12:52:19 +0000,0,Pettitt ,GS,Possession,1,3,3,61, 12
2018-12-19 12:52:24 +0000,0,Green,WA,Possession,1,3,3,26, 25
2018-12-19 12:52:26 +0000,1,McAuliffe,WD,Penaly - Contact,1,3,3,26, 25
2018-12-19 12:52:26 +0000,0,Green,WA,Possession,1,3,3,26, 25
2018-12-19 12:52:31 +0000,0,Green,WA,Assist - Circle Entry,1,3,3,26, 25
2018-12-19 12:52:31 +0000,0,Harten ,GA,Goal - Score,1,3,3,35, 15
2018-12-19 12:52:42 +0000,1,Scherian ,C,Centre Pass,1,4,3,50, 100
2018-12-19 12:52:42 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,4,3,81, 124
2018-12-19 12:52:46 +0000,0,Price,WD,Deflect,1,4,3,90, 169
2018-12-19 12:52:46 +0000,1,Browne,WA,Throw In,1,4,3,102, 174
2018-12-19 12:52:56 +0000,0,Bulley ,GD,Deflect,1,4,3,81, 166
2018-12-19 12:52:56 +0000,1,Browne,WA,Possession,1,4,3,91, 163
2018-12-19 12:53:02 +0000,1,Browne,WA,Assist - Circle Entry,1,4,3,91, 163
2018-12-19 12:53:02 +0000,1,Wood,GA,Assist - 2nd Phase,1,4,3,72, 193
2018-12-19 12:53:04 +0000,1,Bassett,GS,Goal - Score,1,4,3,46, 194
2018-12-19 12:53:32 +0000,0,Guthrie,C,Centre Pass,1,4,4,50, 100
2018-12-19 12:53:32 +0000,1,Pretorius ,GD,Gain - Tip (Deflect),1,4,4,65, 86
2018-12-19 12:53:36 +0000,1,Wood,GA,Possession,1,4,4,50, 113
2018-12-19 12:53:40 +0000,1,Wood,GA,Assist - Circle Entry,1,4,4,50, 113
2018-12-19 12:53:40 +0000,1,Bassett,GS,Goal - Score,1,4,4,48, 194
2018-12-19 12:53:49 +0000,1,Scherian ,C,Centre Pass,1,4,5,50, 100
2018-12-19 12:53:49 +0000,1,McAuliffe,WD,Assist - Centre Pass Rec,1,4,5,42, 83
2018-12-19 12:53:51 +0000,1,Scherian ,C,Assist - 2nd Phase,1,4,5,18, 108
2018-12-19 12:53:56 +0000,1,Browne,WA,Possession,1,4,5,16, 159
2018-12-19 12:53:58 +0000,1,Browne,WA,Assist - Circle Entry,1,4,5,16, 159
2018-12-19 12:53:58 +0000,1,Bassett,GS,Possession,1,4,5,31, 193
2018-12-19 12:54:00 +0000,1,Scherian ,C,Possession,1,4,5,73, 173
2018-12-19 12:54:06 +0000,0,Guthrie,C,Deflect,1,4,5,76, 170
2018-12-19 12:54:06 +0000,1,Scherian ,C,Throw In,1,4,5,106, 166
2018-12-19 12:54:39 +0000,1,Scherian ,C,Assist - Circle Entry,1,4,5,106, 166
2018-12-19 12:54:39 +0000,1,Bassett,GS,Goal - Miss,1,4,5,50, 194
2018-12-19 12:54:44 +0000,0,Poolman ,GK,Gain - Def Reb,1,4,5,50, 197
2018-12-19 12:54:46 +0000,0,Bulley ,GD,Possession,1,4,5,28, 170
2018-12-19 12:54:52 +0000,0,Green,WA,Possession,1,4,5,4, 106
2018-12-19 12:54:54 +0000,1,McAuliffe,WD,Penaly - Contact,1,4,5,4, 106
2018-12-19 12:54:54 +0000,0,Bulley ,GD,Possession,1,4,5,4, 106
2018-12-19 12:55:00 +0000,0,Poolman ,GK,Possession,1,4,5,15, 137
2018-12-19 12:55:01 +0000,0,Bulley ,GD,Possession,1,4,5,38, 117
2018-12-19 12:55:03 +0000,0,Price,WD,Possession,1,4,5,15, 88
2018-12-19 12:55:06 +0000,0,Green,WA,Possession,1,4,5,5, 75
2018-12-19 12:55:08 +0000,0,Pettitt ,GS,Possession,1,4,5,29, 49
2018-12-19 12:55:13 +0000,1,Scherian ,C,Penaly - Contact,1,4,5,29, 49
2018-12-19 12:55:13 +0000,0,Green,WA,Possession,1,4,5,29, 49
2018-12-19 12:55:19 +0000,0,Green,WA,Assist - Circle Entry,1,4,5,29, 49
2018-12-19 12:55:19 +0000,0,Pettitt ,GS,Possession,1,4,5,47, 25
2018-12-19 12:55:21 +0000,0,Green,WA,Possession,1,4,5,33, 30
2018-12-19 12:55:24 +0000,0,Green,WA,Assist - Circle Entry,1,4,5,33, 30
2018-12-19 12:55:24 +0000,0,Pettitt ,GS,Goal - Miss,1,4,5,40, 17
2018-12-19 12:55:29 +0000,0,Harten ,GA,Assist - Attack Rebound,1,4,5,50, 2
