Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-12-18 13:02:22 +0000,1,Scherian ,C,Centre Pass,1,0,0,50, 100
2018-12-18 13:02:22 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,0,0,21, 98
2018-12-18 13:02:24 +0000,1,Wood,GA,Assist - 2nd Phase,1,0,0,52, 122
2018-12-18 13:02:27 +0000,1,Scherian ,C,Possession,1,0,0,78, 128
2018-12-18 13:02:29 +0000,1,Browne,WA,Possession,1,0,0,53, 133
2018-12-18 13:02:31 +0000,1,Wood,GA,Loss - Held Ball,1,0,0,79, 160
2018-12-18 13:02:38 +0000,0,Geitz,GK,Possession,1,0,0,79, 161
2018-12-18 13:02:52 +0000,0,Simpson,WD,Possession,1,0,0,85, 109
2018-12-18 13:02:55 +0000,0,Cassidy,C,Possession,1,0,0,79, 36
2018-12-18 13:02:57 +0000,0,Tippett,GA,Possession,1,0,0,69, 59
2018-12-18 13:02:59 +0000,0,Nevins,WA,Possession,1,0,0,22, 28
2018-12-18 13:03:02 +0000,0,Nevins,WA,Assist - Circle Entry,1,0,0,22, 28
2018-12-18 13:03:02 +0000,0,Aiken,GS,Possession,1,0,0,42, 5
2018-12-18 13:03:04 +0000,1,Mentor,GK,Penaly - Contact,1,0,0,42, 5
2018-12-18 13:03:04 +0000,0,Aiken,GS,Goal - Score,1,0,0,42, 5
2018-12-18 13:03:15 +0000,0,Cassidy,C,Centre Pass,1,1,0,50, 100
2018-12-18 13:03:15 +0000,0,Jenner,GD,Assist - Centre Pass Rec,1,1,0,78, 88
2018-12-18 13:03:17 +0000,0,Jenner,GD,Assist - 2nd Phase,1,1,0,71, 93
2018-12-18 13:03:19 +0000,0,Cassidy,C,Possession,1,1,0,77, 61
2018-12-18 13:03:22 +0000,0,Jenner,GD,Possession,1,1,0,93, 79
2018-12-18 13:03:24 +0000,0,Nevins,WA,Possession,1,1,0,88, 50
2018-12-18 13:03:27 +0000,1,McAuliffe,WD,Deflect,1,1,0,95, 32
2018-12-18 13:03:27 +0000,0,Cassidy,C,Throw In,1,1,0,101, 27
2018-12-18 13:03:40 +0000,0,Tippett,GA,Possession,1,1,0,79, 44
2018-12-18 13:03:42 +0000,0,Nevins,WA,Possession,1,1,0,53, 34
2018-12-18 13:03:45 +0000,0,Nevins,WA,Assist - Circle Entry,1,1,0,53, 34
2018-12-18 13:03:45 +0000,0,Tippett,GA,Possession,1,1,0,55, 19
2018-12-18 13:03:48 +0000,1,Mentor,GK,Penaly - Contact,1,1,0,54, 7
2018-12-18 13:03:48 +0000,0,Aiken,GS,Goal - Score,1,1,0,54, 7
2018-12-18 13:04:10 +0000,1,Scherian ,C,Centre Pass,1,2,0,50, 100
2018-12-18 13:04:10 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,2,0,85, 114
2018-12-18 13:04:11 +0000,1,Scherian ,C,Assist - 2nd Phase,1,2,0,67, 117
2018-12-18 13:04:13 +0000,1,McAuliffe,WD,Possession,1,2,0,80, 96
2018-12-18 13:04:15 +0000,1,Browne,WA,Possession,1,2,0,85, 123
2018-12-18 13:04:17 +0000,1,Pretorius ,GD,Possession,1,2,0,19, 118
2018-12-18 13:04:19 +0000,1,Browne,WA,Possession,1,2,0,16, 141
2018-12-18 13:04:22 +0000,0,Simpson,WD,Penaly - Contact,1,2,0,16, 141
2018-12-18 13:04:22 +0000,1,Browne,WA,Possession,1,2,0,16, 141
2018-12-18 13:04:31 +0000,1,Browne,WA,Assist - Circle Entry,1,2,0,16, 141
2018-12-18 13:04:32 +0000,1,Bassett,GS,Possession,1,2,0,48, 183
2018-12-18 13:04:34 +0000,0,Jenner,GD,Penaly - Contact,1,2,0,48, 183
2018-12-18 13:04:34 +0000,1,Wood,GA,Goal - Score,1,2,0,48, 183
2018-12-18 13:04:44 +0000,0,Cassidy,C,Centre Pass,1,2,1,50, 100
2018-12-18 13:04:44 +0000,0,Tippett,GA,Assist - Centre Pass Rec,1,2,1,78, 74
2018-12-18 13:04:48 +0000,0,Simpson,WD,Assist - 2nd Phase,1,2,1,60, 72
2018-12-18 13:04:50 +0000,1,McAuliffe,WD,Penaly - Contact,1,2,1,62, 45
2018-12-18 13:04:50 +0000,0,Nevins,WA,Possession,1,2,1,62, 45
2018-12-18 13:04:56 +0000,0,Nevins,WA,Assist - Circle Entry,1,2,1,62, 45
2018-12-18 13:04:56 +0000,0,Aiken,GS,Goal - Score,1,2,1,55, 3
2018-12-18 13:05:18 +0000,1,Scherian ,C,Centre Pass,1,3,1,50, 100
2018-12-18 13:05:18 +0000,0,Simpson,WD,Penaly - Contact on CP,1,3,1,49, 134
2018-12-18 13:05:18 +0000,1,Scherian ,C,Possession,1,3,1,49, 134
2018-12-18 13:05:25 +0000,1,Browne,WA,Assist - 2nd Phase,1,3,1,26, 167
2018-12-18 13:05:27 +0000,1,Browne,WA,Assist - Circle Entry,1,3,1,26, 167
2018-12-18 13:05:27 +0000,1,Wood,GA,Possession,1,3,1,35, 175
2018-12-18 13:05:29 +0000,1,Browne,WA,Possession,1,3,1,17, 184
2018-12-18 13:05:31 +0000,1,Browne,WA,Assist - Circle Entry,1,3,1,17, 184
2018-12-18 13:05:31 +0000,1,Wood,GA,Possession,1,3,1,38, 193
2018-12-18 13:05:33 +0000,0,Geitz,GK,Penaly - Obstruction,1,3,1,38, 193
2018-12-18 13:05:33 +0000,1,Wood,GA,Goal - Score,1,3,1,38, 193
2018-12-18 13:05:38 +0000,0,Cassidy,C,Centre Pass,1,3,2,50, 100
2018-12-18 13:05:39 +0000,0,Nevins,WA,Assist - Centre Pass Rec,1,3,2,51, 79
2018-12-18 13:05:41 +0000,0,Nevins,WA,Assist - Circle Entry,1,3,2,51, 79
2018-12-18 13:05:41 +0000,0,Tippett,GA,Assist - 2nd Phase,1,3,2,67, 9
2018-12-18 13:05:43 +0000,0,Nevins,WA,Possession,1,3,2,76, 20
2018-12-18 13:05:45 +0000,0,Nevins,WA,Assist - Circle Entry,1,3,2,76, 20
2018-12-18 13:05:45 +0000,0,Tippett,GA,Possession,1,3,2,60, 4
2018-12-18 13:05:50 +0000,0,Aiken,GS,Possession,1,3,2,37, 14
2018-12-18 13:05:52 +0000,0,Nevins,WA,Possession,1,3,2,66, 31
2018-12-18 13:05:59 +0000,0,Nevins,WA,Assist - Circle Entry,1,3,2,66, 31
2018-12-18 13:05:59 +0000,0,Aiken,GS,Goal - Score,1,3,2,52, 3
2018-12-18 13:06:08 +0000,1,Scherian ,C,Centre Pass,1,4,2,50, 100
2018-12-18 13:06:08 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,4,2,79, 121
2018-12-18 13:06:11 +0000,1,Scherian ,C,Assist - 2nd Phase,1,4,2,63, 126
2018-12-18 13:06:12 +0000,1,Wood,GA,Possession,1,4,2,77, 176
2018-12-18 13:06:20 +0000,1,Wood,GA,Assist - Circle Entry,1,4,2,77, 176
2018-12-18 13:06:20 +0000,1,Bassett,GS,Possession,1,4,2,55, 189
2018-12-18 13:06:22 +0000,0,Geitz,GK,Penaly - Contact,1,4,2,55, 189
2018-12-18 13:06:22 +0000,1,Bassett,GS,Goal - Score,1,4,2,55, 189
2018-12-18 13:06:38 +0000,0,Cassidy,C,Centre Pass,1,4,3,50, 100
2018-12-18 13:06:38 +0000,1,Pretorius ,GD,Penaly - Contact on CP,1,4,3,51, 70
2018-12-18 13:06:38 +0000,0,Simpson,WD,Possession,1,4,3,51, 70
2018-12-18 13:06:48 +0000,0,Nevins,WA,Assist - 2nd Phase,1,4,3,79, 18
2018-12-18 13:06:51 +0000,0,Nevins,WA,Assist - Circle Entry,1,4,3,79, 18
2018-12-18 13:06:51 +0000,0,Aiken,GS,Goal - Score,1,4,3,50, 5
2018-12-18 13:07:03 +0000,1,Scherian ,C,Centre Pass,1,5,3,50, 100
2018-12-18 13:07:03 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,5,3,67, 121
2018-12-18 13:07:05 +0000,1,Wood,GA,Assist - 2nd Phase,1,5,3,83, 172
2018-12-18 13:07:09 +0000,1,Wood,GA,Assist - Circle Entry,1,5,3,83, 172
2018-12-18 13:07:13 +0000,0,Geitz,GK,Deflect,1,5,3,64, 198
2018-12-18 13:07:13 +0000,1,Wood,GA,Throw In,1,5,3,65, 202
2018-12-18 13:07:24 +0000,1,Browne,WA,Possession,1,5,3,63, 167
2018-12-18 13:07:31 +0000,1,Browne,WA,Assist - Circle Entry,1,5,3,63, 167
2018-12-18 13:07:31 +0000,1,Wood,GA,Possession,1,5,3,37, 183
2018-12-18 13:07:33 +0000,1,Browne,WA,Possession,1,5,3,52, 164
2018-12-18 13:07:36 +0000,1,Browne,WA,Assist - Circle Entry,1,5,3,52, 164
2018-12-18 13:07:37 +0000,1,Wood,GA,Goal - Score,1,5,3,50, 180
2018-12-18 13:07:43 +0000,0,Cassidy,C,Centre Pass,1,5,4,50, 100
2018-12-18 13:07:43 +0000,0,Nevins,WA,Assist - Centre Pass Rec,1,5,4,23, 78
2018-12-18 13:07:46 +0000,0,Simpson,WD,Assist - 2nd Phase,1,5,4,15, 98
2018-12-18 13:07:48 +0000,0,Cassidy,C,Possession,1,5,4,6, 67
2018-12-18 13:07:50 +0000,0,Simpson,WD,Possession,1,5,4,19, 69
2018-12-18 13:07:52 +0000,1,Scherian ,C,Penaly - Contact,1,5,4,15, 47
2018-12-18 13:07:53 +0000,0,Cassidy,C,Possession,1,5,4,15, 47
2018-12-18 13:07:59 +0000,0,Cassidy,C,Assist - Circle Entry,1,5,4,15, 47
2018-12-18 13:07:59 +0000,0,Aiken,GS,Possession,1,5,4,51, 8
2018-12-18 13:08:02 +0000,1,Mentor,GK,Penaly - Obstruction,1,5,4,51, 8
2018-12-18 13:08:02 +0000,0,Aiken,GS,Goal - Score,1,5,4,51, 8
2018-12-18 13:08:16 +0000,1,Scherian ,C,Centre Pass,1,6,4,50, 100
2018-12-18 13:08:16 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,6,4,76, 124
2018-12-18 13:08:18 +0000,1,Wood,GA,Assist - 2nd Phase,1,6,4,85, 151
