Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-09-23 11:17:51 +0000,0,Guthrie,C,Centre Pass,1,0,0,50, 100
2018-09-23 11:17:51 +0000,0,Green,WA,Assist - Centre Pass Rec,1,0,0,87, 79
2018-09-23 11:18:00 +0000,0,Harten ,GS,Assist - 2nd Phase,1,0,0,94, 27
2018-09-23 11:18:06 +0000,0,Green,WA,Possession,1,0,0,89, 62
2018-09-23 11:18:09 +0000,0,Pettitt ,GA,Possession,1,0,0,48, 48
2018-09-23 11:18:20 +0000,1,Scherian ,C,Deflect,1,0,0,84, 6
2018-09-23 11:18:20 +0000,0,Green,WA,Throw In,1,0,0,84, -4
2018-09-23 11:18:44 +0000,1,Mentor,GK,Deflect,1,0,0,38, 10
2018-09-23 11:18:44 +0000,0,Pettitt ,GA,Throw In,1,0,0,19, -4
2018-09-23 11:19:08 +0000,0,Guthrie,C,Possession,1,0,0,84, 9
2018-09-23 11:19:15 +0000,0,Guthrie,C,Assist - Circle Entry,1,0,0,84, 9
2018-09-23 11:19:16 +0000,0,Pettitt ,GA,Possession,1,0,0,66, 5
2018-09-23 11:19:19 +0000,1,Pretorius ,GD,Penaly - Contact,1,0,0,66, 5
2018-09-23 11:19:19 +0000,0,Pettitt ,GA,Goal - Score,1,0,0,66, 5
2018-09-23 11:19:36 +0000,1,Scherian ,C,Centre Pass,1,1,0,50, 100
2018-09-23 11:19:36 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,1,0,92, 127
2018-09-23 11:19:52 +0000,1,Scherian ,C,Assist - 2nd Phase,1,1,0,74, 129
2018-09-23 11:19:55 +0000,1,Browne,WA,Possession,1,1,0,92, 178
2018-09-23 11:20:02 +0000,0,Guthrie,C,Penaly - Obstruction,1,1,0,92, 178
2018-09-23 11:20:02 +0000,1,Browne,WA,Possession,1,1,0,92, 178
2018-09-23 11:20:25 +0000,0,Poolman ,GK,Deflect,1,1,0,57, 187
2018-09-23 11:20:25 +0000,1,Wood,GA,Throw In,1,1,0,64, 203
2018-09-23 11:20:45 +0000,1,Scherian ,C,Possession,1,1,0,67, 167
2018-09-23 11:20:46 +0000,0,Price,WD,Penaly - Contact,1,1,0,67, 167
2018-09-23 11:20:46 +0000,1,Scherian ,C,Possession,1,1,0,67, 167
2018-09-23 11:21:09 +0000,1,Scherian ,C,Assist - Circle Entry,1,1,0,67, 167
2018-09-23 11:21:09 +0000,1,Wood,GA,Possession,1,1,0,63, 181
2018-09-23 11:21:13 +0000,1,Browne,WA,Possession,1,1,0,23, 174
2018-09-23 11:21:16 +0000,1,Browne,WA,Assist - Circle Entry,1,1,0,23, 174
2018-09-23 11:21:17 +0000,1,Wood,GA,Possession,1,1,0,36, 193
2018-09-23 11:21:19 +0000,1,Bassett,GS,Goal - Miss,1,1,0,49, 187
2018-09-23 11:21:52 +0000,1,Wood,GA,Loss - Drop,1,1,0,50, 197
2018-09-23 11:22:32 +0000,0,Price,WD,Possession,1,1,0,63, 166
2018-09-23 11:22:40 +0000,0,Poolman ,GK,Possession,1,1,0,87, 176
2018-09-23 11:22:42 +0000,0,Price,WD,Possession,1,1,0,89, 147
2018-09-23 11:22:47 +0000,0,Poolman ,GK,Possession,1,1,0,76, 152
2018-09-23 11:22:49 +0000,0,Bulley ,GD,Possession,1,1,0,20, 138
2018-09-23 11:22:52 +0000,0,Green,WA,Possession,1,1,0,15, 115
2018-09-23 11:22:54 +0000,0,Bulley ,GD,Possession,1,1,0,38, 122
2018-09-23 11:23:05 +0000,1,Pretorius ,GD,Penaly - Contact,1,1,0,35, 78
2018-09-23 11:23:05 +0000,0,Bulley ,GD,Possession,1,1,0,35, 78
2018-09-23 11:23:49 +0000,0,Pettitt ,GA,Possession,1,1,0,14, 31
2018-09-23 11:23:55 +0000,1,McAuliffe,WD,Penaly - Contact,1,1,0,30, 32
2018-09-23 11:23:55 +0000,0,Green,WA,Possession,1,1,0,30, 32
2018-09-23 11:24:10 +0000,1,Mentor,GK,Deflect,1,1,0,67, 15
2018-09-23 11:24:10 +0000,0,Pettitt ,GA,Throw In,1,1,0,77, -4
2018-09-23 11:24:23 +0000,0,Green,WA,Possession,1,1,0,38, 34
2018-09-23 11:24:28 +0000,0,Green,WA,Assist - Circle Entry,1,1,0,38, 34
2018-09-23 11:24:28 +0000,0,Harten ,GS,Goal - Score,1,1,0,58, 12
2018-09-23 11:24:57 +0000,0,Guthrie,C,Centre Pass,1,2,0,50, 100
2018-09-23 11:24:57 +0000,0,Pettitt ,GA,Assist - Centre Pass Rec,1,2,0,71, 75
2018-09-23 11:24:59 +0000,0,Green,WA,Assist - 2nd Phase,1,2,0,89, 72
2018-09-23 11:25:01 +0000,0,Harten ,GS,Possession,1,2,0,86, 14
2018-09-23 11:25:09 +0000,0,Harten ,GS,Assist - Circle Entry,1,2,0,86, 14
2018-09-23 11:25:09 +0000,0,Pettitt ,GA,Possession,1,2,0,32, 21
2018-09-23 11:25:12 +0000,0,Guthrie,C,Possession,1,2,0,19, 19
2018-09-23 11:25:18 +0000,0,Guthrie,C,Assist - Circle Entry,1,2,0,19, 19
2018-09-23 11:25:18 +0000,0,Harten ,GS,Goal - Score,1,2,0,47, 13
2018-09-23 11:25:26 +0000,1,Scherian ,C,Centre Pass,1,3,0,50, 100
2018-09-23 11:25:26 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,3,0,26, 125
2018-09-23 11:25:32 +0000,1,Browne,WA,Assist - 2nd Phase,1,3,0,10, 147
2018-09-23 11:25:34 +0000,0,Price,WD,Penaly - Contact,1,3,0,10, 147
2018-09-23 11:25:34 +0000,1,Browne,WA,Possession,1,3,0,10, 147
2018-09-23 11:25:38 +0000,1,Pretorius ,GD,Possession,1,3,0,51, 130
2018-09-23 11:25:43 +0000,1,Browne,WA,Possession,1,3,0,50, 150
2018-09-23 11:25:45 +0000,1,Wood,GA,Possession,1,3,0,74, 175
2018-09-23 11:25:48 +0000,1,Wood,GA,Assist - Circle Entry,1,3,0,74, 175
2018-09-23 11:25:48 +0000,1,Bassett,GS,Possession,1,3,0,55, 187
2018-09-23 11:25:51 +0000,0,Poolman ,GK,Penaly - Contact,1,3,0,55, 187
2018-09-23 11:25:51 +0000,1,Bassett,GS,Goal - Score,1,3,0,55, 187
2018-09-23 11:26:09 +0000,0,Guthrie,C,Centre Pass,1,3,1,50, 100
2018-09-23 11:26:09 +0000,0,Green,WA,Assist - Centre Pass Rec,1,3,1,24, 95
2018-09-23 11:26:11 +0000,0,Harten ,GS,Assist - 2nd Phase,1,3,1,52, 45
2018-09-23 11:26:28 +0000,0,Harten ,GS,Assist - Circle Entry,1,3,1,52, 45
2018-09-23 11:26:28 +0000,0,Pettitt ,GA,Possession,1,3,1,50, 23
