Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-09-17 07:36:40 +0000,0,Ravaillion,C,Centre Pass,1,0,0,50, 100
2018-09-17 07:36:40 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,0,0,77, 76
2018-09-17 07:36:52 +0000,0,Brandley,GD,Assist - 2nd Phase,1,0,0,18, 78
2018-09-17 07:36:56 +0000,0,Bell,GA,Possession,1,0,0,8, 41
2018-09-17 07:37:08 +0000,0,Brandley,GD,Possession,1,0,0,14, 67
2018-09-17 07:37:43 +0000,1,Mannix,GK,Deflect,1,0,0,67, 43
2018-09-17 07:37:43 +0000,0,Ravaillion,C,Throw In,1,0,0,104, 26
2018-09-17 07:38:16 +0000,0,Bell,GA,Possession,1,0,0,78, 35
2018-09-17 07:38:26 +0000,0,Robinson,WA,Possession,1,0,0,18, 19
2018-09-17 07:38:35 +0000,0,Robinson,WA,Assist - Circle Entry,1,0,0,18, 19
2018-09-17 07:38:35 +0000,0,Thwaites,GS,Possession,1,0,0,39, 7
2018-09-17 07:38:48 +0000,1,Mannix,GK,Penaly - Obstruction,1,0,0,39, 7
2018-09-17 07:38:48 +0000,0,Thwaites,GS,Goal - Score,1,0,0,39, 7
2018-09-17 07:43:19 +0000,1,Moloney,C,Centre Pass,1,1,0,50, 100
2018-09-17 07:43:19 +0000,1,Phillip,GA,Assist - Centre Pass Rec,1,1,0,92, 129
2018-09-17 07:43:24 +0000,1,Moloney,C,Assist - 2nd Phase,1,1,0,84, 173
2018-09-17 07:43:32 +0000,1,Phillip,GA,Possession,1,1,0,57, 160
2018-09-17 07:43:35 +0000,1,Moloney,C,Possession,1,1,0,67, 168
2018-09-17 07:43:45 +0000,1,Moloney,C,Assist - Circle Entry,1,1,0,67, 168
2018-09-17 07:43:45 +0000,1,Kumwenda,GS,Possession,1,1,0,57, 186
2018-09-17 07:43:48 +0000,1,Moloney,C,Possession,1,1,0,63, 168
2018-09-17 07:44:00 +0000,0,Brazill,WD,Penaly - Contact,1,1,0,63, 168
2018-09-17 07:44:00 +0000,1,Moloney,C,Possession,1,1,0,63, 168
2018-09-17 07:44:20 +0000,1,Moloney,C,Assist - Circle Entry,1,1,0,63, 168
2018-09-17 07:44:20 +0000,1,Phillip,GA,Possession,1,1,0,51, 181
2018-09-17 07:44:23 +0000,0,Brandley,GD,Penaly - Contact,1,1,0,51, 181
2018-09-17 07:44:23 +0000,1,Phillip,GA,Possession,1,1,0,51, 181
2018-09-17 07:44:34 +0000,1,Kumwenda,GS,Possession,1,1,0,40, 195
2018-09-17 07:44:39 +0000,0,Layton,GK,Penaly - Obstruction,1,1,0,40, 195
2018-09-17 07:44:39 +0000,1,Kumwenda,GS,Goal - Score,1,1,0,40, 195
2018-09-17 07:45:20 +0000,0,Ravaillion,C,Centre Pass,1,1,1,50, 100
2018-09-17 07:45:32 +0000,0,Ravaillion,C,Centre Pass,1,1,1,50, 100
2018-09-17 07:45:32 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,1,1,62, 79
2018-09-17 07:45:38 +0000,0,Bell,GA,Assist - 2nd Phase,1,1,1,78, 39
2018-09-17 07:45:45 +0000,0,Bell,GA,Assist - Circle Entry,1,1,1,78, 39
2018-09-17 07:45:45 +0000,0,Thwaites,GS,Goal - Score,1,1,1,50, 14
2018-09-17 07:46:21 +0000,1,Moloney,C,Centre Pass,1,2,1,50, 100
