Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-20 01:02:57 +0000,0,Bryce,C,Centre Pass,1,0,0,50, 100
2018-11-20 01:02:57 +0000,0,Hodges,GA,Loss - Drop,1,0,0,74, 74
2018-11-20 01:03:08 +0000,0,Bryce,C,Gain - Pick-up,1,0,0,70, 60
2018-11-20 01:03:29 +0000,1,Brazill,WD,Loss - Out of Court,1,0,0,97, 23
2018-11-20 01:03:35 +0000,0,Msomi,WA,Throw In,1,0,0,98, 23
2018-11-20 01:03:45 +0000,0,Bryce,C,Possession,1,0,0,15, 47
2018-11-20 01:03:48 +0000,0,Bryce,C,Assist - Circle Entry,1,0,0,15, 47
2018-11-20 01:03:48 +0000,0,Hodges,GA,Assist - 2nd Phase,1,0,0,52, 18
2018-11-20 01:03:51 +0000,0,Hodges,GA,Goal - Score,1,0,0,52, 18
2018-11-20 01:03:56 +0000,1,Ravaillion,C,Centre Pass,1,1,0,50, 100
2018-11-20 01:03:56 +0000,1,Teague-Neeld,GA,Assist - Centre Pass Rec,1,1,0,72, 125
2018-11-20 01:04:37 +0000,0,de Bruin,GD,Gain - Tip (Deflect),1,1,0,72, 145
2018-11-20 01:04:41 +0000,0,Fowler,WD,Possession,1,1,0,74, 162
2018-11-20 01:04:46 +0000,1,Thwaites,GS,Penaly - Obstruction,1,1,0,74, 162
2018-11-20 01:04:46 +0000,0,de Bruin,GD,Possession,1,1,0,74, 162
2018-11-20 01:05:45 +0000,0,Fowler,WD,Possession,1,1,0,89, 120
2018-11-20 01:05:48 +0000,0,Bryce,C,Possession,1,1,0,84, 58
2018-11-20 01:05:53 +0000,0,Bryce,C,Assist - Circle Entry,1,1,0,84, 58
2018-11-20 01:05:53 +0000,0,Nelson,GS,Possession,1,1,0,47, 17
2018-11-20 01:05:54 +0000,1,Layton,GK,Penaly - Contact,1,1,0,47, 17
2018-11-20 01:05:54 +0000,0,Hodges,GA,Goal - Score,1,1,0,47, 17
2018-11-20 01:06:08 +0000,0,Bryce,C,Centre Pass,1,2,0,50, 100
2018-11-20 01:06:08 +0000,0,Hodges,GA,Assist - Centre Pass Rec,1,2,0,65, 87
2018-11-20 01:06:10 +0000,0,Bryce,C,Assist - 2nd Phase,1,2,0,34, 79
2018-11-20 01:06:13 +0000,0,Msomi,WA,Possession,1,2,0,25, 40
2018-11-20 01:06:24 +0000,1,Ravaillion,C,Penaly - Obstruction,1,2,0,32, 29
2018-11-20 01:06:25 +0000,0,Msomi,WA,Possession,1,2,0,32, 29
2018-11-20 01:06:42 +0000,0,Msomi,WA,Assist - Circle Entry,1,2,0,32, 29
