Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-19 14:30:30 +0000,1,Scherian ,C,Centre Pass,1,0,0,50, 100
2018-11-19 14:30:30 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,0,0,91, 112
2018-11-19 14:30:33 +0000,1,Scherian ,C,Assist - 2nd Phase,1,0,0,64, 119
2018-11-19 14:30:35 +0000,1,Russell,WD,Possession,1,0,0,93, 94
2018-11-19 14:30:40 +0000,0,Anstiss,WD,Deflect,1,0,0,96, 120
2018-11-19 14:30:40 +0000,1,Russell,WD,Throw In,1,0,0,104, 119
2018-11-19 14:30:45 +0000,1,Pretorius ,GD,Possession,1,0,0,59, 99
2018-11-19 14:30:47 +0000,1,Scherian ,C,Possession,1,0,0,75, 122
2018-11-19 14:30:49 +0000,1,Russell,WD,Possession,1,0,0,95, 118
2018-11-19 14:30:51 +0000,1,Browne,WA,Possession,1,0,0,89, 138
2018-11-19 14:30:53 +0000,1,Wood,GA,Possession,1,0,0,67, 139
2018-11-19 14:30:56 +0000,1,Browne,WA,Possession,1,0,0,49, 160
2018-11-19 14:30:58 +0000,1,Browne,WA,Assist - Circle Entry,1,0,0,49, 160
2018-11-19 14:30:58 +0000,1,Wood,GA,Goal - Score,1,0,0,44, 185
2018-11-19 14:31:06 +0000,0,Charles,C,Centre Pass,1,0,1,50, 100
2018-11-19 14:31:06 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,0,1,94, 74
2018-11-19 14:31:09 +0000,0,Medhurst,GA,Assist - 2nd Phase,1,0,1,74, 69
2018-11-19 14:31:13 +0000,0,Charles,C,Possession,1,0,1,50, 55
2018-11-19 14:31:16 +0000,0,Charles,C,Assist - Circle Entry,1,0,1,50, 55
2018-11-19 14:31:16 +0000,0,Fowler,GS,Loss - Drop,1,0,1,70, 3
2018-11-19 14:31:21 +0000,1,Mentor,GK,Throw In,1,0,1,70, -2
2018-11-19 14:31:27 +0000,1,Pretorius ,GD,Possession,1,0,1,52, 17
2018-11-19 14:31:29 +0000,1,Russell,WD,Possession,1,0,1,53, 44
2018-11-19 14:31:31 +0000,1,Scherian ,C,Possession,1,0,1,91, 84
2018-11-19 14:31:33 +0000,1,Browne,WA,Possession,1,0,1,86, 121
2018-11-19 14:31:36 +0000,1,Wood,GA,Possession,1,0,1,96, 146
2018-11-19 14:31:38 +0000,1,Scherian ,C,Possession,1,0,1,84, 136
2018-11-19 14:31:43 +0000,1,Pretorius ,GD,Possession,1,0,1,96, 131
2018-11-19 14:31:45 +0000,1,Scherian ,C,Possession,1,0,1,92, 155
2018-11-19 14:31:48 +0000,1,Wood,GA,Possession,1,0,1,77, 147
2018-11-19 14:31:51 +0000,1,Browne,WA,Possession,1,0,1,15, 191
2018-11-19 14:31:53 +0000,1,Browne,WA,Assist - Circle Entry,1,0,1,15, 191
2018-11-19 14:31:53 +0000,1,Wood,GA,Possession,1,0,1,35, 193
2018-11-19 14:31:55 +0000,1,Browne,WA,Possession,1,0,1,15, 190
2018-11-19 14:31:57 +0000,1,Browne,WA,Assist - Circle Entry,1,0,1,15, 190
2018-11-19 14:31:57 +0000,1,Wood,GA,Goal - Score,1,0,1,41, 191
2018-11-19 14:32:13 +0000,1,Scherian ,C,Centre Pass,1,0,2,50, 100
2018-11-19 14:32:13 +0000,0,Medhurst,GA,Penaly - Contact on CP,1,0,2,43, 102
2018-11-19 14:32:13 +0000,1,Russell,WD,Possession,1,0,2,43, 102
2018-11-19 14:32:20 +0000,1,Browne,WA,Assist - 2nd Phase,1,0,2,51, 121
2018-11-19 14:32:22 +0000,1,Wood,GA,Loss - Bad Pass,1,0,2,92, 163
2018-11-19 14:32:25 +0000,0,Bruce,GK,Loss - Bad Pass,1,0,2,48, 205
2018-11-19 14:32:32 +0000,1,Wood,GA,Gain - Inter,1,0,2,29, 157
2018-11-19 14:32:51 +0000,1,Browne,WA,Possession,1,0,2,49, 153
2018-11-19 14:32:54 +0000,1,Scherian ,C,Possession,1,0,2,20, 178
2018-11-19 14:32:57 +0000,1,Scherian ,C,Assist - Circle Entry,1,0,2,20, 178
2018-11-19 14:32:57 +0000,1,Wood,GA,Possession,1,0,2,43, 190
2018-11-19 14:33:02 +0000,1,Bassett,GS,Possession,1,0,2,49, 185
2018-11-19 14:33:02 +0000,0,Bruce,GK,Penaly - Contact,1,0,2,49, 185
2018-11-19 14:33:02 +0000,1,Bassett,GS,Goal - Score,1,0,2,49, 185
2018-11-19 14:33:10 +0000,0,Charles,C,Centre Pass,1,0,3,50, 100
2018-11-19 14:33:10 +0000,0,Medhurst,GA,Assist - Centre Pass Rec,1,0,3,40, 72
2018-11-19 14:33:12 +0000,0,Colyer ,WA,Assist - 2nd Phase,1,0,3,25, 24
2018-11-19 14:33:14 +0000,0,Colyer ,WA,Assist - Circle Entry,1,0,3,25, 24
2018-11-19 14:33:14 +0000,0,Fowler,GS,Goal - Miss,1,0,3,50, 11
2018-11-19 14:33:21 +0000,1,Mentor,GK,Deflect,1,0,3,50, 2
2018-11-19 14:33:24 +0000,0,Medhurst,GA,Throw In,1,0,3,71, -4
2018-11-19 14:33:37 +0000,0,Medhurst,GA,Assist - Circle Entry,1,0,3,71, -4
2018-11-19 14:33:37 +0000,0,Fowler,GS,Possession,1,0,3,49, 8
2018-11-19 14:33:39 +0000,1,Mentor,GK,Penaly - Contact,1,0,3,49, 8
2018-11-19 14:33:39 +0000,0,Fowler,GS,Goal - Score,1,0,3,49, 8
2018-11-19 14:33:46 +0000,1,Scherian ,C,Centre Pass,1,1,3,50, 100
2018-11-19 14:33:46 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,1,3,43, 116
2018-11-19 14:33:48 +0000,1,Browne,WA,Assist - 2nd Phase,1,1,3,93, 161
2018-11-19 14:33:50 +0000,1,Browne,WA,Assist - Circle Entry,1,1,3,93, 161
2018-11-19 14:33:50 +0000,1,Bassett,GS,Possession,1,1,3,60, 193
2018-11-19 14:33:52 +0000,1,Browne,WA,Possession,1,1,3,80, 179
2018-11-19 14:34:00 +0000,0,Bruce,GK,Penaly - Contact,1,1,3,59, 193
2018-11-19 14:34:00 +0000,1,Bassett,GS,Goal - Score,1,1,3,59, 193
2018-11-19 14:34:12 +0000,0,Charles,C,Centre Pass,1,1,4,50, 100
2018-11-19 14:34:12 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,1,4,90, 71
2018-11-19 14:34:14 +0000,0,Charles,C,Assist - 2nd Phase,1,1,4,61, 53
2018-11-19 14:34:17 +0000,1,Mentor,GK,Penaly - Contact,1,1,4,49, 20
2018-11-19 14:34:17 +0000,0,Medhurst,GA,Possession,1,1,4,49, 20
2018-11-19 14:34:26 +0000,1,Pretorius ,GD,Penaly - Contact,1,1,4,44, 8
2018-11-19 14:34:26 +0000,0,Medhurst,GA,Possession,1,1,4,44, 8
2018-11-19 14:34:33 +0000,0,Fowler,GS,Goal - Score,1,1,4,50, 7
2018-11-19 14:34:39 +0000,1,Scherian ,C,Centre Pass,1,2,4,50, 100
2018-11-19 14:34:39 +0000,1,Russell,WD,Assist - Centre Pass Rec,1,2,4,43, 80
2018-11-19 14:34:41 +0000,1,Scherian ,C,Assist - 2nd Phase,1,2,4,28, 110
2018-11-19 14:34:43 +0000,1,Pretorius ,GD,Possession,1,2,4,37, 100
2018-11-19 14:34:44 +0000,1,Scherian ,C,Possession,1,2,4,23, 119
2018-11-19 14:34:48 +0000,1,Browne,WA,Possession,1,2,4,27, 148
2018-11-19 14:34:50 +0000,0,Anstiss,WD,Penaly - Contact,1,2,4,27, 148
2018-11-19 14:34:50 +0000,1,Browne,WA,Possession,1,2,4,27, 148
2018-11-19 14:34:52 +0000,1,Browne,WA,Assist - Circle Entry,1,2,4,27, 148
2018-11-19 14:34:52 +0000,1,Bassett,GS,Possession,1,2,4,43, 173
2018-11-19 14:34:56 +0000,1,Scherian ,C,Possession,1,2,4,75, 170
2018-11-19 14:34:58 +0000,1,Scherian ,C,Assist - Circle Entry,1,2,4,75, 170
2018-11-19 14:34:58 +0000,1,Bassett,GS,Goal - Score,1,2,4,46, 195
2018-11-19 14:35:05 +0000,0,Charles,C,Centre Pass,1,2,5,50, 100
2018-11-19 14:35:05 +0000,0,Medhurst,GA,Assist - Centre Pass Rec,1,2,5,40, 84
2018-11-19 14:35:07 +0000,0,Anstiss,WD,Assist - 2nd Phase,1,2,5,43, 72
2018-11-19 14:35:10 +0000,0,Charles,C,Possession,1,2,5,79, 34
2018-11-19 14:35:13 +0000,0,Charles,C,Assist - Circle Entry,1,2,5,79, 34
2018-11-19 14:35:13 +0000,0,Medhurst,GA,Possession,1,2,5,66, 18
2018-11-19 14:35:14 +0000,1,Pretorius ,GD,Penaly - Contact,1,2,5,66, 18
2018-11-19 14:35:14 +0000,0,Medhurst,GA,Possession,1,2,5,66, 18
2018-11-19 14:35:18 +0000,0,Fowler,GS,Goal - Score,1,2,5,52, 9
2018-11-19 14:35:28 +0000,1,Scherian ,C,Centre Pass,1,3,5,50, 100
2018-11-19 14:35:28 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,3,5,71, 111
2018-11-19 14:35:31 +0000,0,Anstiss,WD,Penaly - Contact,1,3,5,71, 111
2018-11-19 14:35:31 +0000,1,Russell,WD,Possession,1,3,5,71, 111
2018-11-19 14:35:36 +0000,1,Browne,WA,Possession,1,3,5,93, 153
2018-11-19 14:35:38 +0000,1,Browne,WA,Assist - Circle Entry,1,3,5,93, 153
2018-11-19 14:35:38 +0000,1,Bassett,GS,Assist - 2nd Phase,1,3,5,64, 185
2018-11-19 14:35:48 +0000,0,Francis,GD,Deflect,1,3,5,72, 185
2018-11-19 14:35:48 +0000,1,Browne,WA,Deflect,1,3,5,80, 179
2018-11-19 14:35:54 +0000,0,Bruce,GK,Throw In,1,3,5,104, 182
2018-11-19 14:36:04 +0000,0,Francis,GD,Possession,1,3,5,97, 149
2018-11-19 14:36:06 +0000,1,Bassett,GS,Penaly - Contact,1,3,5,97, 149
2018-11-19 14:36:06 +0000,0,Bruce,GK,Possession,1,3,5,97, 149
2018-11-19 14:36:13 +0000,0,Francis,GD,Possession,1,3,5,92, 121
2018-11-19 14:36:16 +0000,0,Medhurst,GA,Possession,1,3,5,73, 125
2018-11-19 14:36:19 +0000,0,Charles,C,Possession,1,3,5,79, 43
2018-11-19 14:36:21 +0000,1,Mentor,GK,Penaly - Contact,1,3,5,79, 43
2018-11-19 14:36:21 +0000,0,Charles,C,Possession,1,3,5,79, 43
2018-11-19 14:36:25 +0000,0,Medhurst,GA,Possession,1,3,5,66, 54
2018-11-19 14:36:27 +0000,0,Medhurst,GA,Assist - Circle Entry,1,3,5,66, 54
2018-11-19 14:36:27 +0000,0,Fowler,GS,Goal - Score,1,3,5,54, 10
2018-11-19 14:37:22 +0000,0,Charles,C,Centre Pass,1,4,5,50, 100
2018-11-19 14:37:22 +0000,0,Francis,GD,Loss - Step,1,4,5,70, 79
2018-11-19 14:37:38 +0000,1,Wood,GA,Possession,1,4,5,94, 122
2018-11-19 14:37:42 +0000,1,Scherian ,C,Possession,1,4,5,70, 144
2018-11-19 14:37:46 +0000,0,Anstiss,WD,Deflect,1,4,5,89, 154
2018-11-19 14:37:46 +0000,1,Wood,GA,Possession,1,4,5,93, 151
2018-11-19 14:37:54 +0000,0,Anstiss,WD,Penaly - Obstruction,1,4,5,93, 151
2018-11-19 14:37:54 +0000,1,Browne,WA,Possession,1,4,5,93, 151
2018-11-19 14:38:01 +0000,1,Wood,GA,Possession,1,4,5,80, 163
2018-11-19 14:38:03 +0000,1,Scherian ,C,Possession,1,4,5,18, 185
2018-11-19 14:38:06 +0000,1,Scherian ,C,Assist - Circle Entry,1,4,5,18, 185
2018-11-19 14:38:06 +0000,1,Wood,GA,Goal - Score,1,4,5,39, 193
2018-11-19 14:38:16 +0000,1,Scherian ,C,Centre Pass,1,4,6,50, 100
2018-11-19 14:38:16 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,4,6,87, 120
