Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-21 07:40:31 +0000,1,Bryce,C,Centre Pass,1,0,0,50, 100
2018-11-21 07:40:31 +0000,1,Hodges,GA,Assist - Centre Pass Rec,1,0,0,44, 118
2018-11-21 07:40:33 +0000,1,Msomi,WA,Assist - 2nd Phase,1,0,0,85, 151
2018-11-21 07:40:37 +0000,1,Msomi,WA,Assist - Circle Entry,1,0,0,85, 151
2018-11-21 07:40:37 +0000,1,Nelson,GS,Goal - Score,1,0,0,49, 192
2018-11-21 07:44:19 +0000,0,Moloney,C,Centre Pass,1,0,1,50, 100
2018-11-21 07:44:19 +0000,0,Ingles,WD,Assist - Centre Pass Rec,1,0,1,15, 105
2018-11-21 07:44:21 +0000,0,Phillip,GA,Assist - 2nd Phase,1,0,1,13, 76
2018-11-21 07:44:23 +0000,0,Ingles,WD,Possession,1,0,1,28, 81
2018-11-21 07:44:25 +0000,0,Watson,WA,Possession,1,0,1,12, 51
2018-11-21 07:44:27 +0000,0,Moloney,C,Possession,1,0,1,38, 53
2018-11-21 07:44:29 +0000,0,Watson,WA,Possession,1,0,1,13, 61
2018-11-21 07:44:31 +0000,0,Phillip,GA,Possession,1,0,1,8, 39
2018-11-21 07:44:33 +0000,0,Weston,GD,Possession,1,0,1,42, 94
2018-11-21 07:44:35 +0000,0,Ingles,WD,Possession,1,0,1,55, 72
2018-11-21 07:45:11 +0000,1,Shimmin,GK,Penaly - Contact,1,0,1,70, 32
2018-11-21 07:45:11 +0000,0,Moloney,C,Possession,1,0,1,70, 32
2018-11-21 07:45:16 +0000,0,Moloney,C,Assist - Circle Entry,1,0,1,70, 32
2018-11-21 07:45:16 +0000,0,Phillip,GA,Goal - Score,1,0,1,71, 4
2018-11-21 07:45:29 +0000,1,Bryce,C,Centre Pass,1,1,1,50, 100
2018-11-21 07:45:29 +0000,1,de Bruin,GD,Assist - Centre Pass Rec,1,1,1,63, 90
2018-11-21 07:45:30 +0000,1,Bryce,C,Assist - 2nd Phase,1,1,1,93, 143
2018-11-21 07:45:38 +0000,0,Ingles,WD,Penaly - Obstruction,1,1,1,93, 143
2018-11-21 07:45:38 +0000,1,Bryce,C,Possession,1,1,1,93, 143
2018-11-21 07:45:44 +0000,1,Msomi,WA,Possession,1,1,1,81, 175
2018-11-21 07:45:51 +0000,1,Msomi,WA,Assist - Circle Entry,1,1,1,81, 175
2018-11-21 07:45:52 +0000,1,Hodges,GA,Possession,1,1,1,79, 193
2018-11-21 07:45:57 +0000,0,Dehaney,GK,Penaly - Contact,1,1,1,50, 181
2018-11-21 07:45:57 +0000,1,Hodges,GA,Goal - Score,1,1,1,50, 181
2018-11-21 07:47:34 +0000,0,Moloney,C,Centre Pass,1,1,2,50, 100
2018-11-21 07:47:34 +0000,0,Phillip,GA,Assist - Centre Pass Rec,1,1,2,35, 83
