Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-20 13:57:31 +0000,0,Proud,C,Centre Pass,1,0,0,50, 100
2018-11-20 13:57:31 +0000,0,Turner,GD,Assist - Centre Pass Rec,1,0,0,28, 111
2018-11-20 13:57:48 +0000,0,Housby ,GA,Assist - 2nd Phase,1,0,0,24, 76
2018-11-20 13:57:50 +0000,0,Turner,GD,Possession,1,0,0,67, 120
2018-11-20 13:57:52 +0000,0,Proud,C,Possession,1,0,0,20, 99
2018-11-20 13:57:53 +0000,0,Turner,GD,Possession,1,0,0,71, 109
2018-11-20 13:57:56 +0000,0,Eddy,WD,Possession,1,0,0,40, 88
2018-11-20 13:57:59 +0000,0,Turner,GD,Possession,1,0,0,71, 104
2018-11-20 13:58:08 +0000,0,Proud,C,Possession,1,0,0,92, 79
2018-11-20 13:58:13 +0000,0,Housby ,GA,Possession,1,0,0,74, 49
2018-11-20 13:58:16 +0000,1,Anstiss,WD,Penaly - Contact,1,0,0,74, 49
2018-11-20 13:58:16 +0000,0,Proud,C,Possession,1,0,0,74, 49
2018-11-20 13:58:24 +0000,0,Housby ,GA,Possession,1,0,0,86, 7
2018-11-20 13:58:26 +0000,0,Proud,C,Possession,1,0,0,81, 18
2018-11-20 13:58:29 +0000,0,Proud,C,Assist - Circle Entry,1,0,0,81, 18
2018-11-20 13:58:29 +0000,0,Housby ,GA,Goal - Score,1,0,0,70, 10
2018-11-20 13:58:37 +0000,1,Charles,C,Centre Pass,1,1,0,50, 100
2018-11-20 13:58:37 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,1,0,27, 116
2018-11-20 13:58:40 +0000,1,Medhurst,GA,Assist - 2nd Phase,1,1,0,22, 159
2018-11-20 13:58:44 +0000,1,Medhurst,GA,Assist - Circle Entry,1,1,0,22, 159
2018-11-20 13:58:44 +0000,1,Fowler,GS,Goal - Score,1,1,0,46, 194
2018-11-20 13:58:55 +0000,0,Proud,C,Centre Pass,1,1,1,50, 100
2018-11-20 13:58:55 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,1,1,45, 91
2018-11-20 13:58:57 +0000,1,Anstiss,WD,Penaly - Contact,1,1,1,45, 91
2018-11-20 13:58:57 +0000,0,Eddy,WD,Possession,1,1,1,45, 91
2018-11-20 13:59:08 +0000,0,Hadley,WA,Possession,1,1,1,27, 37
2018-11-20 13:59:10 +0000,0,Proud,C,Possession,1,1,1,20, 17
2018-11-20 13:59:12 +0000,0,Proud,C,Assist - Circle Entry,1,1,1,20, 17
2018-11-20 13:59:12 +0000,0,Wallace,GS,Assist - 2nd Phase,1,1,1,31, 12
2018-11-20 13:59:15 +0000,0,Proud,C,Possession,1,1,1,20, 17
2018-11-20 13:59:34 +0000,0,Proud,C,Assist - Circle Entry,1,1,1,20, 17
2018-11-20 13:59:34 +0000,0,Wallace,GS,Goal - Score,1,1,1,38, 10
2018-11-20 13:59:40 +0000,1,Charles,C,Centre Pass,1,2,1,50, 100
2018-11-20 13:59:40 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,2,1,53, 127
2018-11-20 13:59:42 +0000,1,Colyer ,WA,Assist - 2nd Phase,1,2,1,22, 166
2018-11-20 13:59:44 +0000,1,Anstiss,WD,Possession,1,2,1,18, 125
2018-11-20 13:59:45 +0000,1,Colyer ,WA,Possession,1,2,1,16, 158
2018-11-20 13:59:47 +0000,1,Anstiss,WD,Possession,1,2,1,21, 128
2018-11-20 13:59:50 +0000,1,Medhurst,GA,Possession,1,2,1,41, 149
2018-11-20 13:59:53 +0000,1,Charles,C,Possession,1,2,1,49, 161
2018-11-20 13:59:56 +0000,1,Charles,C,Assist - Circle Entry,1,2,1,49, 161
2018-11-20 13:59:56 +0000,1,Fowler,GS,Goal - Score,1,2,1,52, 188
2018-11-20 14:00:04 +0000,0,Proud,C,Centre Pass,1,2,2,50, 100
2018-11-20 14:00:04 +0000,0,Housby ,GA,Assist - Centre Pass Rec,1,2,2,72, 72
2018-11-20 14:00:06 +0000,1,Bruce,GK,Gain - Inter,1,2,2,77, 39
2018-11-20 14:00:15 +0000,1,Francis,GD,Possession,1,2,2,17, 78
2018-11-20 14:00:16 +0000,1,Charles,C,Possession,1,2,2,16, 111
2018-11-20 14:00:19 +0000,1,Medhurst,GA,Possession,1,2,2,16, 128
2018-11-20 14:00:21 +0000,1,Colyer ,WA,Possession,1,2,2,14, 164
2018-11-20 14:00:24 +0000,1,Colyer ,WA,Assist - Circle Entry,1,2,2,14, 164
2018-11-20 14:00:24 +0000,1,Fowler,GS,Goal - Score,1,2,2,43, 185
2018-11-20 14:00:36 +0000,1,Charles,C,Centre Pass,1,2,3,50, 100
2018-11-20 14:00:36 +0000,1,Anstiss,WD,Assist - Centre Pass Rec,1,2,3,20, 119
2018-11-20 14:00:38 +0000,1,Colyer ,WA,Assist - 2nd Phase,1,2,3,21, 163
2018-11-20 14:00:40 +0000,1,Anstiss,WD,Possession,1,2,3,39, 129
2018-11-20 14:00:42 +0000,1,Charles,C,Possession,1,2,3,52, 148
2018-11-20 14:00:46 +0000,1,Charles,C,Assist - Circle Entry,1,2,3,52, 148
2018-11-20 14:00:46 +0000,1,Fowler,GS,Goal - Score,1,2,3,46, 189
2018-11-20 14:00:54 +0000,0,Proud,C,Centre Pass,1,2,4,50, 100
2018-11-20 14:00:54 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,2,4,36, 85
2018-11-20 14:00:56 +0000,0,Housby ,GA,Assist - 2nd Phase,1,2,4,15, 57
2018-11-20 14:00:59 +0000,0,Hadley,WA,Possession,1,2,4,45, 57
2018-11-20 14:01:01 +0000,0,Wallace,GS,Possession,1,2,4,46, 34
2018-11-20 14:01:03 +0000,0,Hadley,WA,Possession,1,2,4,62, 34
2018-11-20 14:01:07 +0000,0,Hadley,WA,Assist - Circle Entry,1,2,4,62, 34
2018-11-20 14:01:07 +0000,0,Wallace,GS,Possession,1,2,4,59, 17
2018-11-20 14:01:09 +0000,0,Proud,C,Possession,1,2,4,21, 20
2018-11-20 14:01:11 +0000,0,Proud,C,Assist - Circle Entry,1,2,4,21, 20
2018-11-20 14:01:11 +0000,0,Wallace,GS,Possession,1,2,4,63, 9
2018-11-20 14:01:13 +0000,0,Hadley,WA,Possession,1,2,4,68, 31
2018-11-20 14:01:15 +0000,0,Hadley,WA,Assist - Circle Entry,1,2,4,68, 31
2018-11-20 14:01:15 +0000,0,Wallace,GS,Goal - Score,1,2,4,59, 7
2018-11-20 14:01:22 +0000,1,Charles,C,Centre Pass,1,3,4,50, 100
2018-11-20 14:01:23 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,3,4,87, 119
2018-11-20 14:01:26 +0000,1,Medhurst,GA,Assist - 2nd Phase,1,3,4,88, 148
2018-11-20 14:01:28 +0000,1,Charles,C,Possession,1,3,4,87, 185
2018-11-20 14:02:08 +0000,1,Charles,C,Assist - Circle Entry,1,3,4,87, 185
2018-11-20 14:02:08 +0000,0,Klau ,GK,Gain - Tip (Deflect),1,3,4,64, 188
2018-11-20 14:02:18 +0000,0,Proud,C,Possession,1,3,4,67, 129
2018-11-20 14:02:23 +0000,0,Eddy,WD,Possession,1,3,4,62, 98
2018-11-20 14:02:25 +0000,0,Hadley,WA,Possession,1,3,4,86, 71
2018-11-20 14:02:28 +0000,0,Eddy,WD,Possession,1,3,4,67, 70
2018-11-20 14:02:36 +0000,1,Anstiss,WD,Penaly - Contact,1,3,4,67, 54
2018-11-20 14:02:36 +0000,0,Hadley,WA,Possession,1,3,4,67, 54
2018-11-20 14:02:42 +0000,0,Housby ,GA,Possession,1,3,4,56, 35
2018-11-20 14:02:45 +0000,0,Housby ,GA,Assist - Circle Entry,1,3,4,56, 35
2018-11-20 14:02:45 +0000,0,Wallace,GS,Possession,1,3,4,43, 6
2018-11-20 14:06:49 +0000,0,Proud,C,Possession,1,3,4,40, 32
2018-11-20 14:06:53 +0000,0,Proud,C,Assist - Circle Entry,1,3,4,40, 32
2018-11-20 14:06:53 +0000,0,Housby ,GA,Possession,1,3,4,53, 13
2018-11-20 14:06:54 +0000,1,Bruce,GK,Penaly - Obstruction,1,3,4,53, 13
2018-11-20 14:06:54 +0000,0,Housby ,GA,Loss - Other,1,3,4,53, 13
2018-11-20 14:07:06 +0000,1,Bruce,GK,Possession,1,3,4,53, 11
2018-11-20 14:07:09 +0000,1,Francis,GD,Possession,1,3,4,21, 58
2018-11-20 14:07:11 +0000,1,Charles,C,Possession,1,3,4,43, 74
2018-11-20 14:07:13 +0000,1,Medhurst,GA,Possession,1,3,4,75, 118
2018-11-20 14:07:16 +0000,1,Charles,C,Possession,1,3,4,88, 150
2018-11-20 14:07:18 +0000,1,Medhurst,GA,Possession,1,3,4,52, 155
2018-11-20 14:07:58 +0000,1,Medhurst,GA,Assist - Circle Entry,1,3,4,52, 155
2018-11-20 14:07:58 +0000,0,Turner,GD,Gain - Tip (Deflect),1,3,4,58, 185
2018-11-20 14:08:03 +0000,0,Eddy,WD,Possession,1,3,4,30, 168
2018-11-20 14:08:08 +0000,0,Turner,GD,Possession,1,3,4,22, 130
2018-11-20 14:08:13 +0000,0,Proud,C,Deflect,1,3,4,53, 116
2018-11-20 14:08:18 +0000,0,Turner,GD,Possession,1,3,4,45, 132
2018-11-20 14:08:22 +0000,0,Housby ,GA,Possession,1,3,4,42, 72
2018-11-20 14:08:24 +0000,0,Turner,GD,Possession,1,3,4,69, 83
2018-11-20 14:08:26 +0000,0,Hadley,WA,Possession,1,3,4,63, 66
2018-11-20 14:08:33 +0000,0,Proud,C,Possession,1,3,4,86, 39
2018-11-20 14:08:37 +0000,0,Proud,C,Assist - Circle Entry,1,3,4,86, 39
2018-11-20 14:08:37 +0000,0,Wallace,GS,Goal - Score,1,3,4,48, 9
2018-11-20 14:08:47 +0000,0,Proud,C,Centre Pass,1,4,4,50, 100
2018-11-20 14:08:47 +0000,0,Housby ,GA,Assist - Centre Pass Rec,1,4,4,58, 77
2018-11-20 14:08:50 +0000,0,Proud,C,Assist - 2nd Phase,1,4,4,27, 26
2018-11-20 14:08:53 +0000,0,Proud,C,Assist - Circle Entry,1,4,4,27, 26
2018-11-20 14:08:53 +0000,0,Wallace,GS,Goal - Score,1,4,4,51, 11
2018-11-20 14:09:08 +0000,1,Charles,C,Centre Pass,1,5,4,50, 100
2018-11-20 14:09:08 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,5,4,44, 128
2018-11-20 14:09:10 +0000,1,Medhurst,GA,Assist - 2nd Phase,1,5,4,12, 153
2018-11-20 14:09:27 +0000,1,Charles,C,Possession,1,5,4,35, 165
2018-11-20 14:09:31 +0000,0,Klau ,GK,Deflect,1,5,4,50, 181
2018-11-20 14:09:31 +0000,1,Colyer ,WA,Possession,1,5,4,79, 170
2018-11-20 14:09:37 +0000,1,Colyer ,WA,Assist - Circle Entry,1,5,4,79, 170
2018-11-20 14:09:37 +0000,1,Fowler,GS,Possession,1,5,4,58, 194
2018-11-20 14:09:41 +0000,0,Turner,GD,Penaly - Contact,1,5,4,58, 194
2018-11-20 14:09:41 +0000,1,Fowler,GS,Goal - Score,1,5,4,58, 194
2018-11-20 14:09:48 +0000,0,Proud,C,Centre Pass,1,5,5,50, 100
2018-11-20 14:09:48 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,5,5,84, 75
2018-11-20 14:09:51 +0000,0,Wallace,GS,Assist - 2nd Phase,1,5,5,90, 11
2018-11-20 14:09:53 +0000,0,Proud,C,Possession,1,5,5,75, 25
2018-11-20 14:09:55 +0000,0,Proud,C,Assist - Circle Entry,1,5,5,75, 25
2018-11-20 14:09:55 +0000,0,Wallace,GS,Goal - Score,1,5,5,62, 5
2018-11-20 14:10:01 +0000,1,Charles,C,Centre Pass,1,6,5,50, 100
2018-11-20 14:10:01 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,6,5,63, 126
2018-11-20 14:10:04 +0000,1,Fowler,GS,Assist - 2nd Phase,1,6,5,83, 186
2018-11-20 14:10:06 +0000,1,Colyer ,WA,Possession,1,6,5,85, 183
2018-11-20 14:10:09 +0000,1,Colyer ,WA,Assist - Circle Entry,1,6,5,85, 183
2018-11-20 14:10:09 +0000,1,Medhurst,GA,Goal - Miss,1,6,5,71, 190
2018-11-20 14:10:16 +0000,0,Turner,GD,Gain - Def Reb,1,6,5,50, 197
2018-11-20 14:10:17 +0000,0,Klau ,GK,Possession,1,6,5,51, 189
2018-11-20 14:10:21 +0000,0,Eddy,WD,Possession,1,6,5,79, 169
2018-11-20 14:10:25 +0000,0,Proud,C,Possession,1,6,5,46, 151
2018-11-20 14:10:28 +0000,0,Turner,GD,Possession,1,6,5,37, 138
2018-11-20 14:10:32 +0000,0,Hadley,WA,Possession,1,6,5,12, 106
2018-11-20 14:10:34 +0000,0,Turner,GD,Possession,1,6,5,30, 123
2018-11-20 14:10:36 +0000,0,Hadley,WA,Possession,1,6,5,19, 95
2018-11-20 14:10:38 +0000,0,Turner,GD,Possession,1,6,5,84, 93
2018-11-20 14:10:40 +0000,0,Proud,C,Possession,1,6,5,87, 61
2018-11-20 14:10:42 +0000,0,Wallace,GS,Possession,1,6,5,92, 6
2018-11-20 14:10:45 +0000,0,Hadley,WA,Loss - Bad Pass,1,6,5,77, 25
2018-11-20 14:10:49 +0000,1,Bruce,GK,Throw In,1,6,5,82, -3
2018-11-20 14:11:38 +0000,0,Housby ,GA,Gain - Inter,1,6,5,93, 88
2018-11-20 14:11:41 +0000,0,Proud,C,Possession,1,6,5,83, 70
2018-11-20 14:11:45 +0000,0,Hadley,WA,Possession,1,6,5,81, 56
2018-11-20 14:11:49 +0000,1,Anstiss,WD,Penaly - Obstruction,1,6,5,81, 56
2018-11-20 14:11:49 +0000,0,Hadley,WA,Possession,1,6,5,81, 56
2018-11-20 14:11:53 +0000,0,Housby ,GA,Possession,1,6,5,76, 37
2018-11-20 14:11:55 +0000,0,Housby ,GA,Assist - Circle Entry,1,6,5,76, 37
2018-11-20 14:11:55 +0000,0,Wallace,GS,Possession,1,6,5,68, 17
2018-11-20 14:11:57 +0000,0,Proud,C,Possession,1,6,5,58, 35
