Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-22 23:12:03 +0000,0,Bryce,C,Centre Pass,1,0,0,50, 100
2018-11-22 23:12:03 +0000,0,Pitman,WA,Assist - Centre Pass Rec,1,0,0,49, 78
2018-11-22 23:12:18 +0000,0,Bryce,C,Assist - 2nd Phase,1,0,0,65, 83
2018-11-22 23:12:24 +0000,0,Hodges,GA,Possession,1,0,0,82, 37
2018-11-22 23:12:45 +0000,0,Pitman,WA,Possession,1,0,0,82, 12
2018-11-22 23:12:51 +0000,0,Pitman,WA,Assist - Circle Entry,1,0,0,82, 12
2018-11-22 23:12:51 +0000,0,Nelson,GS,Goal - Score,1,0,0,55, 6
2018-11-22 23:13:06 +0000,1,Scherian ,C,Centre Pass,1,1,0,50, 100
2018-11-22 23:13:06 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,1,0,82, 125
2018-11-22 23:13:09 +0000,1,Scherian ,C,Assist - 2nd Phase,1,1,0,66, 122
2018-11-22 23:13:11 +0000,1,Browne,WA,Possession,1,1,0,80, 139
2018-11-22 23:13:17 +0000,1,Wood,GA,Possession,1,1,0,90, 172
2018-11-22 23:13:40 +0000,1,Browne,WA,Possession,1,1,0,27, 169
2018-11-22 23:13:46 +0000,1,Browne,WA,Assist - Circle Entry,1,1,0,27, 169
2018-11-22 23:13:46 +0000,1,Wood,GA,Goal - Score,1,1,0,44, 195
2018-11-22 23:13:57 +0000,0,Bryce,C,Centre Pass,1,1,1,50, 100
2018-11-22 23:13:57 +0000,0,Pitman,WA,Assist - Centre Pass Rec,1,1,1,72, 80
2018-11-22 23:14:03 +0000,0,Hodges,GA,Assist - 2nd Phase,1,1,1,74, 29
2018-11-22 23:14:06 +0000,0,Hodges,GA,Assist - Circle Entry,1,1,1,74, 29
2018-11-22 23:14:07 +0000,0,Nelson,GS,Goal - Score,1,1,1,42, 7
2018-11-22 23:14:16 +0000,1,Scherian ,C,Centre Pass,1,2,1,50, 100
2018-11-22 23:14:17 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,2,1,77, 116
2018-11-22 23:14:18 +0000,1,Browne,WA,Assist - 2nd Phase,1,2,1,86, 128
2018-11-22 23:14:20 +0000,1,Pretorius ,GD,Possession,1,2,1,52, 129
2018-11-22 23:14:24 +0000,1,Scherian ,C,Possession,1,2,1,9, 141
2018-11-22 23:14:27 +0000,1,Pretorius ,GD,Possession,1,2,1,38, 127
2018-11-22 23:14:29 +0000,1,Scherian ,C,Possession,1,2,1,41, 144
2018-11-22 23:14:33 +0000,1,Scherian ,C,Assist - Circle Entry,1,2,1,41, 144
2018-11-22 23:14:33 +0000,1,Bassett,GS,Possession,1,2,1,51, 176
2018-11-22 23:14:36 +0000,1,Browne,WA,Possession,1,2,1,14, 188
2018-11-22 23:14:42 +0000,1,Browne,WA,Assist - Circle Entry,1,2,1,14, 188
2018-11-22 23:14:42 +0000,1,Wood,GA,Goal - Score,1,2,1,45, 176
