Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-21 10:26:14 +0000,0,Ravaillion,C,Centre Pass,1,0,0,50, 100
2018-11-21 10:26:14 +0000,0,Bell,GA,Assist - Centre Pass Rec,1,0,0,31, 76
2018-11-21 10:26:16 +0000,0,Robinson,WA,Assist - 2nd Phase,1,0,0,84, 61
2018-11-21 10:26:18 +0000,0,Thwaites,GS,Possession,1,0,0,86, 12
2018-11-21 10:26:20 +0000,0,Ravaillion,C,Possession,1,0,0,66, 34
2018-11-21 10:26:22 +0000,0,Robinson,WA,Possession,1,0,0,78, 55
2018-11-21 10:26:24 +0000,0,Brandley,GD,Possession,1,0,0,72, 69
2018-11-21 10:26:26 +0000,0,Robinson,WA,Possession,1,0,0,63, 50
2018-11-21 10:26:28 +0000,0,Bell,GA,Possession,1,0,0,18, 24
2018-11-21 10:26:29 +0000,0,Robinson,WA,Possession,1,0,0,16, 11
2018-11-21 10:27:00 +0000,0,Ravaillion,C,Possession,1,0,0,83, 9
2018-11-21 10:27:08 +0000,0,Ravaillion,C,Assist - Circle Entry,1,0,0,83, 9
2018-11-21 10:27:08 +0000,0,Thwaites,GS,Goal - Score,1,0,0,57, 10
2018-11-21 10:27:15 +0000,1,Proud,C,Centre Pass,1,1,0,50, 100
2018-11-21 10:27:15 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,1,0,94, 126
2018-11-21 10:27:17 +0000,1,Turner,GD,Assist - 2nd Phase,1,1,0,81, 102
2018-11-21 10:27:19 +0000,1,Eddy,WD,Possession,1,1,0,16, 128
2018-11-21 10:27:21 +0000,1,Hadley,WA,Possession,1,1,0,25, 150
2018-11-21 10:27:23 +0000,1,Housby ,GA,Possession,1,1,0,34, 168
2018-11-21 10:27:30 +0000,0,Brazill,WD,Penaly - Contact,1,1,0,53, 162
2018-11-21 10:27:30 +0000,1,Proud,C,Possession,1,1,0,53, 162
2018-11-21 10:27:40 +0000,0,Brandley,GD,Deflect,1,1,0,53, 170
2018-11-21 10:28:05 +0000,1,Proud,C,Possession,1,1,0,54, 165
2018-11-21 10:28:08 +0000,1,Proud,C,Assist - Circle Entry,1,1,0,54, 165
2018-11-21 10:28:08 +0000,1,Housby ,GA,Goal - Miss,1,1,0,50, 186
2018-11-21 10:28:12 +0000,1,Wallace,GS,Assist - Attack Rebound,1,1,0,50, 197
2018-11-21 10:28:12 +0000,1,Wallace,GS,Goal - Score,1,1,0,50, 186
2018-11-21 10:28:16 +0000,0,Ravaillion,C,Centre Pass,1,1,1,50, 100
2018-11-21 10:28:16 +0000,0,Brandley,GD,Assist - Centre Pass Rec,1,1,1,35, 81
2018-11-21 10:28:18 +0000,0,Ravaillion,C,Assist - 2nd Phase,1,1,1,82, 74
2018-11-21 10:28:27 +0000,1,Hadley,WA,Gain - Tip (Deflect),1,1,1,67, 73
2018-11-21 10:28:32 +0000,1,Proud,C,Possession,1,1,1,71, 59
2018-11-21 10:29:27 +0000,1,Turner,GD,Possession,1,1,1,32, 96
2018-11-21 10:29:29 +0000,1,Housby ,GA,Possession,1,1,1,40, 124
2018-11-21 10:29:31 +0000,1,Hadley,WA,Loss - Step,1,1,1,16, 145
2018-11-21 10:29:37 +0000,0,Layton,GK,Possession,1,1,1,16, 145
2018-11-21 10:29:42 +0000,0,Brazill,WD,Possession,1,1,1,73, 130
2018-11-21 10:29:44 +0000,0,Ravaillion,C,Possession,1,1,1,59, 111
2018-11-21 10:29:46 +0000,0,Bell,GA,Possession,1,1,1,44, 94
2018-11-21 10:29:48 +0000,0,Robinson,WA,Possession,1,1,1,70, 69
2018-11-21 10:29:50 +0000,0,Thwaites,GS,Possession,1,1,1,88, 44
2018-11-21 10:29:54 +0000,1,Klau ,GK,Gain - Tip (Deflect),1,1,1,83, 38
2018-11-21 10:29:57 +0000,1,Klau ,GK,Possession,1,1,1,93, 7
2018-11-21 10:30:00 +0000,1,Turner,GD,Possession,1,1,1,58, 41
2018-11-21 10:30:03 +0000,1,Proud,C,Possession,1,1,1,63, 76
2018-11-21 10:30:04 +0000,1,Turner,GD,Possession,1,1,1,40, 75
2018-11-21 10:30:08 +0000,1,Eddy,WD,Possession,1,1,1,27, 122
2018-11-21 10:30:13 +0000,1,Proud,C,Possession,1,1,1,17, 165
2018-11-21 10:30:17 +0000,1,Proud,C,Assist - Circle Entry,1,1,1,17, 165
2018-11-21 10:30:17 +0000,1,Wallace,GS,Goal - Score,1,1,1,45, 195
2018-11-21 10:30:26 +0000,1,Proud,C,Centre Pass,1,1,2,50, 100
2018-11-21 10:30:26 +0000,1,Eddy,WD,Assist - Centre Pass Rec,1,1,2,32, 93
2018-11-21 10:30:27 +0000,1,Turner,GD,Assist - 2nd Phase,1,1,2,89, 105
2018-11-21 10:30:29 +0000,1,Hadley,WA,Possession,1,1,2,89, 126
2018-11-21 10:30:31 +0000,1,Turner,GD,Possession,1,1,2,79, 96
