Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-23 12:40:13 +0000,0,Moloney,C,Centre Pass,1,0,0,50, 100
2018-11-23 12:40:13 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,0,0,88, 78
2018-11-23 12:40:16 +0000,0,Moloney,C,Assist - 2nd Phase,1,0,0,52, 61
2018-11-23 12:40:20 +0000,1,Price,WD,Penaly - Contact,1,0,0,52, 61
2018-11-23 12:40:20 +0000,0,Moloney,C,Possession,1,0,0,52, 61
2018-11-23 12:40:26 +0000,0,Kumwenda,GS,Possession,1,0,0,52, 35
2018-11-23 12:40:30 +0000,0,Moloney,C,Possession,1,0,0,52, 35
2018-11-23 12:40:33 +0000,0,Moloney,C,Assist - Circle Entry,1,0,0,52, 35
2018-11-23 12:40:33 +0000,0,Phillip,GA,Goal - Miss,1,0,0,55, 16
2018-11-23 12:40:41 +0000,0,Kumwenda,GS,Assist - Attack Rebound,1,0,0,50, 2
2018-11-23 12:40:44 +0000,0,Watson,WA,Possession,1,0,0,33, 30
2018-11-23 12:40:47 +0000,0,Watson,WA,Assist - Circle Entry,1,0,0,33, 30
2018-11-23 12:40:47 +0000,0,Phillip,GA,Goal - Score,1,0,0,39, 14
2018-11-23 12:43:59 +0000,1,Guthrie,C,Centre Pass,1,1,0,50, 100
2018-11-23 12:43:59 +0000,1,Bulley ,GD,Assist - Centre Pass Rec,1,1,0,82, 123
2018-11-23 12:44:01 +0000,1,Green,WA,Assist - 2nd Phase,1,1,0,87, 177
2018-11-23 12:44:03 +0000,1,Pettitt ,GS,Possession,1,1,0,72, 173
2018-11-23 12:44:12 +0000,1,Guthrie,C,Possession,1,1,0,20, 179
2018-11-23 12:44:15 +0000,1,Green,WA,Possession,1,1,0,81, 186
2018-11-23 12:44:22 +0000,1,Green,WA,Assist - Circle Entry,1,1,0,81, 186
2018-11-23 12:44:22 +0000,0,Dehaney,GK,Gain - Tip (Deflect),1,1,0,54, 188
2018-11-23 12:44:27 +0000,0,Dehaney,GK,Possession,1,1,0,78, 194
2018-11-23 12:44:31 +0000,0,Moloney,C,Possession,1,1,0,77, 177
2018-11-23 12:44:35 +0000,0,Ingles,WD,Possession,1,1,0,16, 162
2018-11-23 12:44:37 +0000,0,Dehaney,GK,Possession,1,1,0,33, 175
2018-11-23 12:44:39 +0000,0,Ingles,WD,Possession,1,1,0,11, 145
2018-11-23 12:44:57 +0000,0,Weston,GD,Possession,1,1,0,11, 126
2018-11-23 12:44:59 +0000,0,Ingles,WD,Possession,1,1,0,27, 125
2018-11-23 12:45:01 +0000,0,Weston,GD,Possession,1,1,0,10, 116
2018-11-23 12:45:05 +0000,0,Phillip,GA,Possession,1,1,0,10, 62
2018-11-23 12:45:07 +0000,0,Moloney,C,Possession,1,1,0,26, 27
2018-11-23 12:45:10 +0000,0,Moloney,C,Assist - Circle Entry,1,1,0,26, 27
2018-11-23 12:45:10 +0000,0,Kumwenda,GS,Goal - Miss,1,1,0,54, 4
2018-11-23 12:45:16 +0000,0,Kumwenda,GS,Assist - Attack Rebound,1,1,0,50, 2
2018-11-23 12:45:17 +0000,1,Bulley ,GD,Penaly - Contact,1,1,0,50, 2
2018-11-23 12:45:17 +0000,0,Phillip,GA,Goal - Score,1,1,0,50, 2
2018-11-23 12:45:33 +0000,0,Moloney,C,Centre Pass,1,2,0,50, 100
2018-11-23 12:45:33 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,2,0,77, 73
2018-11-23 12:45:54 +0000,1,Price,WD,Penaly - Contact,1,2,0,52, 48
2018-11-23 12:45:54 +0000,0,Watson,WA,Assist - 2nd Phase,1,2,0,52, 48
2018-11-23 12:45:59 +0000,0,Moloney,C,Possession,1,2,0,80, 13
2018-11-23 12:46:02 +0000,0,Moloney,C,Assist - Circle Entry,1,2,0,80, 13
2018-11-23 12:46:02 +0000,0,Kumwenda,GS,Goal - Score,1,2,0,55, 4
2018-11-23 12:46:09 +0000,1,Guthrie,C,Centre Pass,1,3,0,50, 100
2018-11-23 12:46:09 +0000,1,Green,WA,Assist - Centre Pass Rec,1,3,0,79, 125
2018-11-23 12:46:11 +0000,1,Pettitt ,GS,Assist - 2nd Phase,1,3,0,79, 171
2018-11-23 12:46:14 +0000,1,Pettitt ,GS,Possession,1,3,0,52, 164
2018-11-23 12:46:16 +0000,1,Pettitt ,GS,Possession,1,3,0,84, 189
2018-11-23 12:46:18 +0000,1,Guthrie,C,Possession,1,3,0,71, 173
2018-11-23 12:46:24 +0000,0,Ingles,WD,Penaly - Obstruction,1,3,0,71, 173
2018-11-23 12:46:24 +0000,1,Guthrie,C,Possession,1,3,0,71, 173
2018-11-23 12:46:29 +0000,1,Guthrie,C,Assist - Circle Entry,1,3,0,71, 173
2018-11-23 12:46:29 +0000,1,Pettitt ,GS,Goal - Score,1,3,0,44, 194
2018-11-23 12:46:38 +0000,0,Moloney,C,Centre Pass,1,3,1,50, 100
2018-11-23 12:46:38 +0000,0,Phillip,GA,Assist - Centre Pass Rec,1,3,1,74, 84
2018-11-23 12:46:39 +0000,0,Watson,WA,Assist - 2nd Phase,1,3,1,74, 48
