Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-21 13:00:49 +0000,0,Charles,C,Centre Pass,1,0,0,50, 100
2018-11-21 13:00:49 +0000,1,Simpson,WD,Penaly - Contact on CP,1,0,0,63, 87
2018-11-21 13:00:49 +0000,0,Anstiss,WD,Possession,1,0,0,63, 87
2018-11-21 13:00:54 +0000,0,Colyer ,WA,Assist - 2nd Phase,1,0,0,74, 47
2018-11-21 13:00:56 +0000,0,Medhurst,GA,Possession,1,0,0,64, 37
2018-11-21 13:00:58 +0000,1,,UNKNOWN,Deflect,1,0,0,55, 9
2018-11-21 13:00:58 +0000,0,Fowler,GS,Goal - Score,1,0,0,55, 9
2018-11-21 13:01:07 +0000,1,Cassidy,C,Centre Pass,1,1,0,50, 100
2018-11-21 13:01:07 +0000,1,Tippett,GA,Assist - Centre Pass Rec,1,1,0,73, 124
2018-11-21 13:01:13 +0000,0,Colyer ,WA,Deflect,1,1,0,68, 108
2018-11-21 13:01:13 +0000,1,Simpson,WD,Possession,1,1,0,71, 103
2018-11-21 13:01:20 +0000,0,Anstiss,WD,Penaly - Contact,1,1,0,82, 138
2018-11-21 13:01:20 +0000,1,Cassidy,C,Possession,1,1,0,82, 138
2018-11-21 13:01:28 +0000,1,Tippett,GA,Possession,1,1,0,60, 164
2018-11-21 13:01:30 +0000,1,Tippett,GA,Assist - Circle Entry,1,1,0,60, 164
2018-11-21 13:01:30 +0000,1,Aiken,GS,Loss - Replay,1,1,0,47, 192
2018-11-21 13:05:01 +0000,0,Bruce,GK,Possession,1,1,0,46, 193
2018-11-21 13:05:05 +0000,0,Anstiss,WD,Possession,1,1,0,17, 177
2018-11-21 13:05:35 +0000,1,Aiken,GS,Penaly - Contact,1,1,0,29, 180
2018-11-21 13:05:35 +0000,0,Bruce,GK,Possession,1,1,0,29, 180
2018-11-21 13:05:41 +0000,0,Anstiss,WD,Possession,1,1,0,50, 151
2018-11-21 13:05:43 +0000,0,Charles,C,Possession,1,1,0,84, 117
2018-11-21 13:05:45 +0000,0,Medhurst,GA,Possession,1,1,0,84, 77
2018-11-21 13:05:47 +0000,0,Anstiss,WD,Possession,1,1,0,70, 81
2018-11-21 13:05:48 +0000,0,Medhurst,GA,Possession,1,1,0,74, 62
2018-11-21 13:05:50 +0000,0,Charles,C,Possession,1,1,0,50, 50
2018-11-21 13:05:53 +0000,0,Charles,C,Assist - Circle Entry,1,1,0,50, 50
2018-11-21 13:05:53 +0000,0,Fowler,GS,Possession,1,1,0,36, 11
2018-11-21 13:05:55 +0000,1,Geitz,GK,Penaly - Contact,1,1,0,36, 11
2018-11-21 13:05:55 +0000,0,Fowler,GS,Goal - Score,1,1,0,36, 11
2018-11-21 13:06:07 +0000,0,Charles,C,Centre Pass,1,2,0,50, 100
2018-11-21 13:06:08 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,2,0,77, 87
2018-11-21 13:07:36 +0000,1,Jenner,GD,Deflect,1,2,0,46, 90
