Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-27 12:26:46 +0000,0,Charles,C,Centre Pass,1,0,0,50, 100
2018-11-27 12:26:46 +0000,0,Anstiss,WD,Assist - Centre Pass Rec,1,0,0,21, 97
2018-11-27 12:26:52 +0000,0,Francis,GD,Assist - 2nd Phase,1,0,0,39, 118
2018-11-27 12:26:55 +0000,0,Charles,C,Possession,1,0,0,64, 89
2018-11-27 12:26:57 +0000,0,Colyer ,WA,Possession,1,0,0,38, 77
2018-11-27 12:26:59 +0000,0,Francis,GD,Possession,1,0,0,24, 111
2018-11-27 12:27:00 +0000,0,Charles,C,Possession,1,0,0,18, 77
2018-11-27 12:27:03 +0000,0,Francis,GD,Possession,1,0,0,68, 105
2018-11-27 12:27:09 +0000,1,Watson,WA,Gain - Inter,1,0,0,59, 106
2018-11-27 12:27:23 +0000,1,Watson,WA,Loss - Replay,1,0,0,67, 113
2018-11-27 12:28:04 +0000,0,Francis,GD,Possession,1,0,0,67, 112
2018-11-27 12:28:42 +0000,0,Charles,C,Possession,1,0,0,81, 84
2018-11-27 12:28:44 +0000,0,Francis,GD,Possession,1,0,0,63, 89
2018-11-27 12:28:46 +0000,0,Medhurst,GA,Possession,1,0,0,50, 57
2018-11-27 12:28:48 +0000,0,Colyer ,WA,Possession,1,0,0,19, 14
2018-11-27 12:28:51 +0000,0,Colyer ,WA,Assist - Circle Entry,1,0,0,19, 14
2018-11-27 12:28:51 +0000,0,Medhurst,GA,Possession,1,0,0,39, 6
2018-11-27 12:28:54 +0000,1,Weston,GD,Penaly - Obstruction,1,0,0,39, 6
2018-11-27 12:28:54 +0000,0,Medhurst,GA,Goal - Score,1,0,0,39, 6
2018-11-27 12:29:03 +0000,1,Moloney,C,Centre Pass,1,1,0,50, 100
2018-11-27 12:29:03 +0000,1,Phillip,GA,Assist - Centre Pass Rec,1,1,0,80, 119
2018-11-27 12:29:05 +0000,1,Moloney,C,Assist - 2nd Phase,1,1,0,92, 167
2018-11-27 12:29:13 +0000,1,Moloney,C,Assist - Circle Entry,1,1,0,92, 167
2018-11-27 12:29:13 +0000,0,Bruce,GK,Gain - Tip (Deflect),1,1,0,60, 185
2018-11-27 12:29:16 +0000,0,Francis,GD,Possession,1,1,0,43, 181
2018-11-27 12:29:19 +0000,0,Anstiss,WD,Possession,1,1,0,19, 144
2018-11-27 12:29:21 +0000,0,Medhurst,GA,Possession,1,1,0,38, 112
2018-11-27 12:29:23 +0000,0,Charles,C,Possession,1,1,0,91, 74
2018-11-27 12:29:25 +0000,0,Colyer ,WA,Possession,1,1,0,92, 54
2018-11-27 12:29:27 +0000,0,Medhurst,GA,Possession,1,1,0,67, 49
2018-11-27 12:29:29 +0000,0,Medhurst,GA,Assist - Circle Entry,1,1,0,67, 49
2018-11-27 12:29:29 +0000,0,Fowler,GS,Goal - Score,1,1,0,57, 18
2018-11-27 12:29:40 +0000,0,Charles,C,Centre Pass,1,2,0,50, 100
2018-11-27 12:29:40 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,2,0,89, 73
2018-11-27 12:29:42 +0000,0,Charles,C,Assist - 2nd Phase,1,2,0,68, 58
2018-11-27 12:29:45 +0000,0,Charles,C,Assist - Circle Entry,1,2,0,68, 58
2018-11-27 12:29:45 +0000,0,Fowler,GS,Possession,1,2,0,46, 10
2018-11-27 12:29:47 +0000,1,Dehaney,GK,Penaly - Obstruction,1,2,0,46, 10
2018-11-27 12:29:47 +0000,0,Fowler,GS,Goal - Score,1,2,0,46, 10
2018-11-27 12:29:57 +0000,1,Moloney,C,Centre Pass,1,3,0,50, 100
2018-11-27 12:29:57 +0000,1,Phillip,GA,Assist - Centre Pass Rec,1,3,0,77, 120
2018-11-27 12:29:59 +0000,1,Watson,WA,Assist - 2nd Phase,1,3,0,52, 148
2018-11-27 12:30:02 +0000,1,Phillip,GA,Possession,1,3,0,22, 167
2018-11-27 12:30:08 +0000,1,Weston,GD,Possession,1,3,0,22, 128
2018-11-27 12:30:10 +0000,1,Watson,WA,Possession,1,3,0,26, 149
2018-11-27 12:31:03 +0000,0,Anstiss,WD,Penaly - Contact,1,3,0,26, 149
2018-11-27 12:31:03 +0000,1,Watson,WA,Possession,1,3,0,26, 149
2018-11-27 12:31:09 +0000,1,Moloney,C,Possession,1,3,0,39, 149
2018-11-27 12:31:11 +0000,1,Phillip,GA,Possession,1,3,0,22, 177
2018-11-27 12:31:14 +0000,1,Moloney,C,Possession,1,3,0,27, 173
2018-11-27 12:31:17 +0000,1,Moloney,C,Assist - Circle Entry,1,3,0,27, 173
2018-11-27 12:31:17 +0000,1,Kumwenda,GS,Possession,1,3,0,59, 192
2018-11-27 12:31:21 +0000,0,Francis,GD,Penaly - Contact,1,3,0,59, 192
2018-11-27 12:31:21 +0000,1,Kumwenda,GS,Goal - Score,1,3,0,59, 192
2018-11-27 12:31:32 +0000,0,Charles,C,Centre Pass,1,3,1,50, 100
2018-11-27 12:31:32 +0000,0,Medhurst,GA,Assist - Centre Pass Rec,1,3,1,47, 81
2018-11-27 12:31:34 +0000,0,Colyer ,WA,Assist - 2nd Phase,1,3,1,22, 63
2018-11-27 12:31:36 +0000,0,Colyer ,WA,Assist - Circle Entry,1,3,1,22, 63
2018-11-27 12:31:36 +0000,0,Fowler,GS,Possession,1,3,1,29, 9
2018-11-27 12:31:39 +0000,0,Medhurst,GA,Possession,1,3,1,78, 7
2018-11-27 12:31:44 +0000,1,Weston,GD,Penaly - Obstruction,1,3,1,78, 7
2018-11-27 12:31:44 +0000,0,Medhurst,GA,Possession,1,3,1,78, 7
2018-11-27 12:31:48 +0000,0,Fowler,GS,Goal - Score,1,3,1,58, 4
2018-11-27 12:31:58 +0000,1,Moloney,C,Centre Pass,1,4,1,50, 100
2018-11-27 12:31:58 +0000,1,Watson,WA,Assist - Centre Pass Rec,1,4,1,35, 116
2018-11-27 12:32:00 +0000,1,Moloney,C,Assist - 2nd Phase,1,4,1,41, 136
2018-11-27 12:35:31 +0000,1,Watson,WA,Possession,1,4,1,51, 156
2018-11-27 12:35:44 +0000,0,Anstiss,WD,Deflect,1,4,1,61, 157
2018-11-27 12:35:44 +0000,1,Watson,WA,Possession,1,4,1,85, 162
2018-11-27 12:35:57 +0000,1,Watson,WA,Assist - Circle Entry,1,4,1,85, 162
2018-11-27 12:35:57 +0000,1,Kumwenda,GS,Possession,1,4,1,44, 187
2018-11-27 12:35:58 +0000,0,Bruce,GK,Penaly - Contact,1,4,1,44, 187
2018-11-27 12:35:58 +0000,1,Kumwenda,GS,Goal - Score,1,4,1,44, 187
2018-11-27 12:37:15 +0000,0,Charles,C,Centre Pass,1,4,2,50, 100
2018-11-27 12:37:15 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,4,2,83, 84
2018-11-27 12:37:16 +0000,0,Medhurst,GA,Assist - 2nd Phase,1,4,2,88, 49
2018-11-27 12:37:19 +0000,1,Moloney,C,Penaly - Contact,1,4,2,76, 25
2018-11-27 12:37:19 +0000,0,Charles,C,Possession,1,4,2,76, 25
2018-11-27 12:37:31 +0000,0,Charles,C,Assist - Circle Entry,1,4,2,76, 25
2018-11-27 12:37:31 +0000,0,Medhurst,GA,Possession,1,4,2,61, 15
2018-11-27 12:37:36 +0000,1,Weston,GD,Penaly - Contact,1,4,2,61, 15
2018-11-27 12:37:36 +0000,0,Medhurst,GA,Goal - Score,1,4,2,61, 15
2018-11-27 12:37:49 +0000,1,Moloney,C,Centre Pass,1,5,2,50, 100
