Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-30 02:51:45 +0000,1,Brown,C,Centre Pass,1,0,0,50, 100
2018-11-30 02:51:45 +0000,0,Jenner,GD,Gain - Tip (Deflect),1,0,0,20, 124
2018-11-30 02:51:55 +0000,0,Jenner,GD,Possession,1,0,0,4, 84
2018-11-30 02:51:57 +0000,1,Bell,GA,Penaly - Contact,1,0,0,4, 84
2018-11-30 02:51:57 +0000,0,Simpson,WD,Possession,1,0,0,4, 84
2018-11-30 02:52:12 +0000,0,Cassidy,C,Possession,1,0,0,11, 61
2018-11-30 02:52:14 +0000,0,Tippett,GA,Possession,1,0,0,11, 34
2018-11-30 02:52:17 +0000,0,Tippett,GA,Assist - Circle Entry,1,0,0,11, 34
2018-11-30 02:52:17 +0000,0,Aiken,GS,Goal - Score,1,0,0,52, 7
2018-11-30 02:52:26 +0000,0,Cassidy,C,Centre Pass,1,1,0,50, 100
2018-11-30 02:52:26 +0000,0,Simpson,WD,Assist - Centre Pass Rec,1,1,0,62, 83
2018-11-30 02:52:27 +0000,0,Nevins,WA,Assist - 2nd Phase,1,1,0,64, 60
2018-11-30 02:52:30 +0000,0,Nevins,WA,Assist - Circle Entry,1,1,0,64, 60
2018-11-30 02:52:30 +0000,0,Aiken,GS,Goal - Score,1,1,0,50, 8
2018-11-30 02:52:39 +0000,1,Brown,C,Centre Pass,1,2,0,50, 100
2018-11-30 02:52:39 +0000,1,Brandley,GD,Assist - Centre Pass Rec,1,2,0,30, 94
2018-11-30 02:52:41 +0000,1,Bell,GA,Assist - 2nd Phase,1,2,0,15, 168
2018-11-30 02:52:44 +0000,1,Brandley,GD,Possession,1,2,0,7, 131
2018-11-30 02:52:46 +0000,1,Robinson,WA,Possession,1,2,0,13, 150
2018-11-30 02:52:47 +0000,1,Thwaites,GS,Possession,1,2,0,9, 182
2018-11-30 02:52:49 +0000,1,Bell,GA,Possession,1,2,0,8, 196
2018-11-30 02:52:52 +0000,1,Robinson,WA,Possession,1,2,0,57, 164
2018-11-30 02:52:56 +0000,0,Simpson,WD,Gain - Inter,1,2,0,49, 164
2018-11-30 02:53:04 +0000,0,Cassidy,C,Possession,1,2,0,47, 137
2018-11-30 02:54:49 +0000,0,Jenner,GD,Possession,1,2,0,8, 94
2018-11-30 02:54:51 +0000,0,Cassidy,C,Possession,1,2,0,25, 90
2018-11-30 02:54:52 +0000,0,Simpson,WD,Possession,1,2,0,67, 116
2018-11-30 02:54:54 +0000,0,Cassidy,C,Possession,1,2,0,71, 85
2018-11-30 02:54:56 +0000,0,Aiken,GS,Possession,1,2,0,78, 31
2018-11-30 02:54:59 +0000,0,Cassidy,C,Possession,1,2,0,51, 71
2018-11-30 02:55:04 +0000,0,Nevins,WA,Possession,1,2,0,36, 34
2018-11-30 02:55:07 +0000,0,Nevins,WA,Assist - Circle Entry,1,2,0,36, 34
2018-11-30 02:55:07 +0000,0,Aiken,GS,Possession,1,2,0,55, 6
2018-11-30 02:55:08 +0000,1,Layton,GK,Penaly - Obstruction,1,2,0,55, 6
2018-11-30 02:55:08 +0000,0,Aiken,GS,Goal - Score,1,2,0,55, 6
2018-11-30 02:55:21 +0000,0,Cassidy,C,Centre Pass,1,3,0,50, 100
2018-11-30 02:55:21 +0000,0,Tippett,GA,Assist - Centre Pass Rec,1,3,0,20, 79
2018-11-30 02:55:23 +0000,0,Jenner,GD,Assist - 2nd Phase,1,3,0,81, 90
2018-11-30 02:55:25 +0000,0,Cassidy,C,Possession,1,3,0,83, 62
2018-11-30 02:55:27 +0000,0,Nevins,WA,Possession,1,3,0,66, 44
2018-11-30 02:55:34 +0000,1,Layton,GK,Deflect,1,3,0,62, 16
2018-11-30 02:55:34 +0000,0,Aiken,GS,Possession,1,3,0,69, 14
2018-11-30 02:55:39 +0000,0,Nevins,WA,Possession,1,3,0,73, 24
2018-11-30 02:55:44 +0000,0,Nevins,WA,Assist - Circle Entry,1,3,0,73, 24
2018-11-30 02:55:44 +0000,0,Aiken,GS,Possession,1,3,0,58, 10
2018-11-30 02:55:46 +0000,0,Nevins,WA,Possession,1,3,0,70, 27
2018-11-30 02:55:48 +0000,0,Nevins,WA,Assist - Circle Entry,1,3,0,70, 27
2018-11-30 02:55:49 +0000,0,Aiken,GS,Goal - Score,1,3,0,50, 4
2018-11-30 02:56:05 +0000,1,Brown,C,Centre Pass,1,4,0,50, 100
2018-11-30 02:56:05 +0000,1,Robinson,WA,Assist - Centre Pass Rec,1,4,0,79, 126
2018-11-30 02:56:08 +0000,0,Jenner,GD,Gain - Inter,1,4,0,80, 156
2018-11-30 02:56:15 +0000,1,Brazill,WD,Gain - Inter,1,4,0,78, 130
2018-11-30 02:56:22 +0000,1,Brandley,GD,Possession,1,4,0,59, 129
2018-11-30 02:56:25 +0000,1,Brown,C,Possession,1,4,0,61, 151
2018-11-30 02:56:27 +0000,1,Brazill,WD,Possession,1,4,0,84, 128
2018-11-30 02:56:30 +0000,1,Brandley,GD,Possession,1,4,0,55, 128
2018-11-30 02:56:32 +0000,0,Tippett,GA,Penaly - Contact,1,4,0,55, 128
2018-11-30 02:56:32 +0000,1,Brandley,GD,Possession,1,4,0,55, 128
2018-11-30 02:56:38 +0000,1,Robinson,WA,Possession,1,4,0,56, 151
2018-11-30 02:56:39 +0000,0,Simpson,WD,Penaly - Contact,1,4,0,56, 151
2018-11-30 02:56:39 +0000,1,Robinson,WA,Possession,1,4,0,56, 151
2018-11-30 02:56:42 +0000,1,Brown,C,Possession,1,4,0,19, 180
2018-11-30 02:56:47 +0000,1,Brown,C,Assist - Circle Entry,1,4,0,19, 180
2018-11-30 02:56:47 +0000,1,Bell,GA,Goal - Score,1,4,0,34, 189
