Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-10-30 02:26:36 +0000,1,Guthrie,C,Centre Pass,1,0,0,50, 100
2018-10-30 02:26:36 +0000,1,Price,WD,Assist - Centre Pass Rec,1,0,0,9, 125
2018-10-30 02:27:34 +0000,0,,UNKNOWN,Penaly - Obstruction,1,0,0,9, 125
2018-10-30 02:27:34 +0000,1,Green,WA,Possession,1,0,0,9, 125
2018-10-30 02:27:43 +0000,1,Green,WA,Possession,1,0,0,22, 151
2018-10-30 02:27:47 +0000,1,Guthrie,C,Possession,1,0,0,78, 174
2018-10-30 02:27:55 +0000,0,Msomi,C,Penaly - Obstruction,1,0,0,78, 174
2018-10-30 02:27:55 +0000,1,Guthrie,C,Possession,1,0,0,78, 174
2018-10-30 02:28:23 +0000,0,de Bruin,GD,Penaly - Obstruction,1,0,0,72, 185
2018-10-30 02:28:23 +0000,1,Pettitt ,GA,Goal - Score,1,0,0,72, 185
2018-10-30 02:28:45 +0000,0,Msomi,C,Centre Pass,1,0,1,50, 100
2018-10-30 02:28:45 +0000,0,de Bruin,GD,Assist - Centre Pass Rec,1,0,1,13, 108
2018-10-30 02:28:48 +0000,0,Msomi,C,Assist - 2nd Phase,1,0,1,10, 77
2018-10-30 02:28:50 +0000,0,Pitman,WA,Possession,1,0,1,30, 61
2018-10-30 02:29:04 +0000,0,Pitman,WA,Assist - Circle Entry,1,0,1,30, 61
2018-10-30 02:29:04 +0000,0,Nelson,GS,Loss - Bad Pass,1,0,1,68, 15
2018-10-30 02:29:15 +0000,1,Poolman ,GK,Throw In,1,0,1,-3, 31
2018-10-30 02:29:21 +0000,1,Bulley ,GD,Possession,1,0,1,7, 93
2018-10-30 02:29:26 +0000,1,Green,WA,Possession,1,0,1,36, 110
2018-10-30 02:29:33 +0000,1,Guthrie,C,Possession,1,0,1,34, 135
2018-10-30 02:29:47 +0000,1,Pettitt ,GA,Possession,1,0,1,9, 178
2018-10-30 02:29:51 +0000,1,Harten ,GS,Assist - Circle Entry,1,0,1,9, 178
2018-10-30 02:29:51 +0000,1,Pettitt ,GA,Possession,1,0,1,50, 178
2018-10-30 02:30:03 +0000,1,Harten ,GS,Goal - Score,1,0,1,57, 193
2018-10-30 02:30:11 +0000,1,Guthrie,C,Centre Pass,1,0,2,50, 100
2018-10-30 02:30:11 +0000,1,Pettitt ,GA,Assist - Centre Pass Rec,1,0,2,84, 122
2018-10-30 02:30:22 +0000,1,Green,WA,Assist - 2nd Phase,1,0,2,80, 177
2018-10-30 02:30:29 +0000,1,Green,WA,Assist - Circle Entry,1,0,2,80, 177
2018-10-30 02:30:29 +0000,1,Harten ,GS,Possession,1,0,2,69, 186
2018-10-30 02:30:34 +0000,1,Green,WA,Possession,1,0,2,79, 177
2018-10-30 02:30:36 +0000,1,Green,WA,Assist - Circle Entry,1,0,2,79, 177
2018-10-30 02:30:36 +0000,1,Harten ,GS,Goal - Score,1,0,2,63, 190
2018-10-30 02:30:47 +0000,0,Msomi,C,Centre Pass,1,0,3,50, 100
2018-10-30 02:30:47 +0000,0,Hodges,GA,Assist - Centre Pass Rec,1,0,3,62, 82
2018-10-30 02:30:50 +0000,0,Pitman,WA,Assist - 2nd Phase,1,0,3,32, 57
2018-10-30 02:30:53 +0000,0,Msomi,C,Possession,1,0,3,55, 52
2018-10-30 02:30:55 +0000,0,Hodges,GA,Possession,1,0,3,79, 19
2018-10-30 02:30:57 +0000,0,Hodges,GA,Assist - Circle Entry,1,0,3,79, 19
2018-10-30 02:30:57 +0000,0,Nelson,GS,Goal - Score,1,0,3,31, 10
2018-10-30 02:31:08 +0000,1,Guthrie,C,Centre Pass,1,1,3,50, 100
2018-10-30 02:31:08 +0000,1,Bulley ,GD,Assist - Centre Pass Rec,1,1,3,83, 108
2018-10-30 02:31:13 +0000,1,Pettitt ,GA,Assist - 2nd Phase,1,1,3,85, 149
2018-10-30 02:31:17 +0000,1,Green,WA,Possession,1,1,3,46, 142
2018-10-30 02:31:20 +0000,1,Harten ,GS,Possession,1,1,3,26, 167
2018-10-30 02:31:43 +0000,0,Fowler,WD,Penaly - Other,1,1,3,31, 174
2018-10-30 02:31:43 +0000,1,Pettitt ,GA,Possession,1,1,3,31, 174
2018-10-30 02:33:12 +0000,1,Green,WA,Possession,1,1,3,28, 170
2018-10-30 02:33:19 +0000,0,Fowler,WD,Penaly - Obstruction,1,1,3,28, 170
2018-10-30 02:33:19 +0000,1,Green,WA,Possession,1,1,3,28, 170
2018-10-30 02:33:25 +0000,1,Green,WA,Assist - Circle Entry,1,1,3,28, 170
2018-10-30 02:33:25 +0000,1,Pettitt ,GA,Goal - Score,1,1,3,52, 180
2018-10-30 02:33:37 +0000,0,Msomi,C,Centre Pass,1,1,4,50, 100
2018-10-30 02:33:37 +0000,0,Pitman,WA,Assist - Centre Pass Rec,1,1,4,19, 83
2018-10-30 02:33:42 +0000,0,Msomi,C,Assist - 2nd Phase,1,1,4,34, 70
2018-10-30 02:33:47 +0000,0,Fowler,WD,Possession,1,1,4,81, 88
2018-10-30 02:33:50 +0000,0,Msomi,C,Possession,1,1,4,52, 83
2018-10-30 02:33:52 +0000,0,Pitman,WA,Possession,1,1,4,87, 69
2018-10-30 02:34:04 +0000,0,Hodges,GA,Possession,1,1,4,34, 31
2018-10-30 02:34:43 +0000,0,Hodges,GA,Assist - Circle Entry,1,1,4,34, 31
2018-10-30 02:34:43 +0000,0,Nelson,GS,Deflect,1,1,4,36, 9
2018-10-30 02:35:01 +0000,1,Poolman ,GK,Possession,1,1,4,51, 12
2018-10-30 02:35:11 +0000,1,Guthrie,C,Possession,1,1,4,86, 13
2018-10-30 02:35:14 +0000,1,Poolman ,GK,Possession,1,1,4,68, 32
2018-10-30 02:35:21 +0000,1,Guthrie,C,Possession,1,1,4,91, 71
2018-10-30 02:35:28 +0000,1,Price,WD,Possession,1,1,4,90, 122
2018-10-30 02:35:33 +0000,1,Green,WA,Possession,1,1,4,57, 124
2018-10-30 02:35:36 +0000,1,Price,WD,Possession,1,1,4,92, 128
2018-10-30 02:35:39 +0000,1,Green,WA,Possession,1,1,4,87, 149
2018-10-30 02:36:52 +0000,1,Green,WA,Assist - Circle Entry,1,1,4,87, 149
2018-10-30 02:36:52 +0000,1,Harten ,GS,Goal - Score,1,1,4,45, 178
2018-10-30 02:36:58 +0000,1,Guthrie,C,Centre Pass,1,1,5,50, 100
2018-10-30 02:36:58 +0000,1,Pettitt ,GA,Assist - Centre Pass Rec,1,1,5,24, 118
2018-10-30 02:37:00 +0000,1,Green,WA,Assist - 2nd Phase,1,1,5,24, 143
2018-10-30 02:37:02 +0000,1,Pettitt ,GA,Possession,1,1,5,15, 161
2018-10-30 02:37:05 +0000,1,Guthrie,C,Possession,1,1,5,37, 163
2018-10-30 02:37:07 +0000,1,Guthrie,C,Assist - Circle Entry,1,1,5,37, 163
2018-10-30 02:37:07 +0000,1,Harten ,GS,Possession,1,1,5,37, 193
2018-10-30 02:37:13 +0000,0,de Bruin,GD,Penaly - Contact,1,1,5,37, 193
2018-10-30 02:37:13 +0000,1,Harten ,GS,Goal - Score,1,1,5,37, 193
2018-10-30 02:37:28 +0000,0,Msomi,C,Centre Pass,1,1,6,50, 100
2018-10-30 02:37:28 +0000,0,Pitman,WA,Assist - Centre Pass Rec,1,1,6,62, 81
2018-10-30 02:37:30 +0000,0,Msomi,C,Assist - 2nd Phase,1,1,6,20, 69
2018-10-30 02:37:34 +0000,0,de Bruin,GD,Possession,1,1,6,30, 68
2018-10-30 02:37:42 +0000,0,Msomi,C,Possession,1,1,6,24, 57
2018-10-30 02:37:46 +0000,1,Guthrie,C,Penaly - Contact,1,1,6,24, 57
2018-10-30 02:37:46 +0000,0,Pitman,WA,Possession,1,1,6,24, 57
2018-10-30 02:37:52 +0000,0,Hodges,GA,Possession,1,1,6,8, 20
2018-10-30 02:38:03 +0000,0,Hodges,GA,Assist - Circle Entry,1,1,6,8, 20
2018-10-30 02:38:03 +0000,0,Nelson,GS,Possession,1,1,6,55, 8
2018-10-30 02:38:06 +0000,0,Msomi,C,Possession,1,1,6,80, 14
2018-10-30 02:38:11 +0000,1,Price,WD,Penaly - Contact,1,1,6,80, 14
2018-10-30 02:38:11 +0000,0,Msomi,C,Possession,1,1,6,80, 14
2018-10-30 02:38:34 +0000,1,Poolman ,GK,Penaly - Contact,1,1,6,56, 7
2018-10-30 02:38:34 +0000,0,Hodges,GA,Goal - Score,1,1,6,56, 7
2018-10-30 02:38:48 +0000,1,Guthrie,C,Centre Pass,1,2,6,50, 100
2018-10-30 02:38:48 +0000,1,Green,WA,Assist - Centre Pass Rec,1,2,6,7, 99
2018-10-30 02:38:50 +0000,1,Green,WA,Assist - 2nd Phase,1,2,6,76, 128
2018-10-30 02:38:52 +0000,1,Green,WA,Possession,1,2,6,38, 127
2018-10-30 02:38:55 +0000,1,Harten ,GS,Possession,1,2,6,73, 150
2018-10-30 02:38:59 +0000,1,Pettitt ,GA,Possession,1,2,6,83, 186
2018-10-30 02:39:04 +0000,1,Pettitt ,GA,Assist - Circle Entry,1,2,6,83, 186
2018-10-30 02:39:04 +0000,1,Harten ,GS,Possession,1,2,6,64, 178
2018-10-30 02:39:08 +0000,1,Guthrie,C,Possession,1,2,6,17, 185
2018-10-30 02:39:18 +0000,0,Shimmin,GK,Deflect,1,2,6,46, 189
2018-10-30 02:39:18 +0000,1,Guthrie,C,Possession,1,2,6,16, 181
2018-10-30 02:39:32 +0000,1,Harten ,GS,Possession,1,2,6,41, 163
2018-10-30 02:39:38 +0000,0,Fowler,WD,Penaly - Contact,1,2,6,41, 163
2018-10-30 02:39:38 +0000,1,Green,WA,Possession,1,2,6,41, 163
2018-10-30 02:39:51 +0000,1,Green,WA,Assist - Circle Entry,1,2,6,41, 163
2018-10-30 02:39:51 +0000,1,Pettitt ,GA,Goal - Score,1,2,6,37, 180
2018-10-30 02:40:00 +0000,0,Msomi,C,Centre Pass,1,2,7,50, 100
2018-10-30 02:40:00 +0000,0,Pitman,WA,Assist - Centre Pass Rec,1,2,7,8, 73
2018-10-30 02:40:03 +0000,0,Hodges,GA,Assist - 2nd Phase,1,2,7,26, 48
2018-10-30 02:40:05 +0000,0,Hodges,GA,Assist - Circle Entry,1,2,7,26, 48
2018-10-30 02:40:05 +0000,0,Nelson,GS,Goal - Score,1,2,7,47, 11
2018-10-30 02:40:15 +0000,1,Guthrie,C,Centre Pass,1,3,7,50, 100
2018-10-30 02:40:15 +0000,1,Pettitt ,GA,Assist - Centre Pass Rec,1,3,7,5, 125
2018-10-30 02:40:17 +0000,1,Guthrie,C,Assist - 2nd Phase,1,3,7,33, 144
2018-10-30 02:40:19 +0000,1,Guthrie,C,Assist - Circle Entry,1,3,7,33, 144
2018-10-30 02:40:19 +0000,1,Harten ,GS,Possession,1,3,7,29, 186
2018-10-30 02:40:41 +0000,1,Green,WA,Possession,1,3,7,82, 183
2018-10-30 02:40:43 +0000,0,Fowler,WD,Penaly - Contact,1,3,7,82, 183
2018-10-30 02:40:43 +0000,1,Green,WA,Possession,1,3,7,82, 183
2018-10-30 02:40:50 +0000,1,Green,WA,Assist - Circle Entry,1,3,7,82, 183
