Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-10-31 08:29:13 +0000,1,Proud,C,Centre Pass,1,0,0,50, 100
2018-10-31 08:29:13 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,0,0,19, 105
2018-10-31 08:29:21 +0000,1,Housby ,GA,Assist - 2nd Phase,1,0,0,91, 139
2018-10-31 08:29:26 +0000,1,Hadley,WA,Possession,1,0,0,95, 181
2018-10-31 08:29:41 +0000,0,Weston,GD,Deflect,1,0,0,32, 196
2018-10-31 08:29:41 +0000,1,Housby ,GA,Throw In,1,0,0,27, 205
2018-10-31 08:29:55 +0000,1,Proud,C,Possession,1,0,0,18, 185
2018-10-31 08:29:57 +0000,0,Moloney,C,Penaly - Contact,1,0,0,18, 185
2018-10-31 08:29:57 +0000,1,Proud,C,Possession,1,0,0,18, 185
2018-10-31 08:30:04 +0000,0,Weston,GD,Penaly - Contact,1,0,0,40, 185
2018-10-31 08:30:04 +0000,1,Housby ,GA,Possession,1,0,0,40, 185
2018-10-31 08:30:19 +0000,1,Wallace,GS,Goal - Score,1,0,0,40, 194
2018-10-31 08:30:30 +0000,0,Moloney,C,Centre Pass,1,0,1,50, 100
2018-10-31 08:30:30 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,0,1,80, 89
2018-10-31 08:30:32 +0000,0,Phillip,GA,Assist - 2nd Phase,1,0,1,93, 62
2018-10-31 08:30:36 +0000,0,Moloney,C,Possession,1,0,1,91, 22
2018-10-31 08:30:41 +0000,0,Watson,WA,Possession,1,0,1,70, 30
2018-10-31 08:30:43 +0000,0,Watson,WA,Possession,1,0,1,19, 21
2018-10-31 08:30:48 +0000,1,Klau ,GK,Deflect,1,0,1,49, 8
2018-10-31 08:30:48 +0000,0,Phillip,GA,Throw In,1,0,1,45, -5
2018-10-31 08:31:01 +0000,1,Klau ,GK,Deflect,1,0,1,56, 6
2018-10-31 08:31:02 +0000,0,Phillip,GA,Throw In,1,0,1,61, -4
2018-10-31 08:31:07 +0000,0,Watson,WA,Possession,1,0,1,86, 8
2018-10-31 08:31:13 +0000,0,Watson,WA,Assist - Circle Entry,1,0,1,86, 8
2018-10-31 08:31:13 +0000,1,Klau ,GK,Gain - Inter,1,0,1,50, 10
2018-10-31 08:31:21 +0000,1,Proud,C,Possession,1,0,1,29, 52
2018-10-31 08:31:27 +0000,1,Klau ,GK,Possession,1,0,1,18, 34
2018-10-31 08:31:29 +0000,1,Turner,GD,Possession,1,0,1,81, 48
2018-10-31 08:31:32 +0000,1,Hadley,WA,Possession,1,0,1,88, 76
2018-10-31 08:31:37 +0000,0,Watson,WD,Penaly - Contact,1,0,1,88, 76
2018-10-31 08:31:37 +0000,1,Turner,GD,Possession,1,0,1,88, 76
2018-10-31 08:31:44 +0000,1,Hadley,WA,Possession,1,0,1,92, 122
2018-10-31 08:31:47 +0000,1,McCulloch,WD,Possession,1,0,1,67, 127
2018-10-31 08:31:49 +0000,1,Hadley,WA,Possession,1,0,1,88, 156
2018-10-31 08:31:55 +0000,1,Hadley,WA,Assist - Circle Entry,1,0,1,88, 156
2018-10-31 08:31:56 +0000,1,Wallace,GS,Goal - Score,1,0,1,46, 193
2018-10-31 08:32:23 +0000,1,Proud,C,Centre Pass,1,0,2,50, 100
2018-10-31 08:32:23 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,0,2,85, 119
2018-10-31 08:32:32 +0000,1,Hadley,WA,Assist - 2nd Phase,1,0,2,81, 180
2018-10-31 08:32:35 +0000,1,Hadley,WA,Assist - Circle Entry,1,0,2,81, 180
2018-10-31 08:32:35 +0000,1,Wallace,GS,Goal - Score,1,0,2,56, 192
2018-10-31 08:32:47 +0000,0,Moloney,C,Centre Pass,1,0,3,50, 100
