Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-02 03:36:36 +0000,0,Moloney,C,Centre Pass,1,0,0,50, 100
2018-11-02 03:36:36 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,0,0,83, 82
2018-11-02 03:36:41 +0000,0,Kumwenda,GS,Assist - 2nd Phase,1,0,0,86, 30
2018-11-02 03:36:44 +0000,0,Kumwenda,GS,Assist - Circle Entry,1,0,0,86, 30
2018-11-02 03:36:44 +0000,0,Phillip,GA,Possession,1,0,0,41, 4
2018-11-02 03:36:47 +0000,1,Hinchliffe,GD,Penaly - Obstruction,1,0,0,41, 4
2018-11-02 03:36:47 +0000,0,Phillip,GA,Goal - Score,1,0,0,41, 4
2018-11-02 03:37:01 +0000,1,Cassidy,C,Centre Pass,1,1,0,50, 100
2018-11-02 03:37:01 +0000,1,Simpson,WD,Assist - Centre Pass Rec,1,1,0,79, 110
2018-11-02 03:37:10 +0000,1,Tippett,GA,Assist - 2nd Phase,1,1,0,83, 171
2018-11-02 03:37:15 +0000,1,Tippett,GA,Assist - Circle Entry,1,1,0,83, 171
2018-11-02 03:37:15 +0000,1,Aiken,GS,Possession,1,1,0,53, 180
2018-11-02 03:37:17 +0000,1,Cassidy,C,Possession,1,1,0,18, 179
2018-11-02 03:37:19 +0000,1,Cassidy,C,Assist - Circle Entry,1,1,0,18, 179
2018-11-02 03:37:19 +0000,1,Tippett,GA,Goal - Score,1,1,0,52, 195
2018-11-02 03:37:29 +0000,0,Moloney,C,Centre Pass,1,1,1,50, 100
2018-11-02 03:37:29 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,1,1,71, 74
2018-11-02 03:37:32 +0000,0,Watson,WD,Assist - 2nd Phase,1,1,1,81, 98
2018-11-02 03:37:36 +0000,0,Watson,WA,Possession,1,1,1,84, 76
2018-11-02 03:37:39 +0000,0,Moloney,C,Possession,1,1,1,48, 75
2018-11-02 03:37:41 +0000,0,Phillip,GA,Possession,1,1,1,21, 57
2018-11-02 03:37:45 +0000,1,Simpson,WD,Gain - Inter,1,1,1,14, 41
2018-11-02 03:37:50 +0000,1,Nevins,WA,Possession,1,1,1,12, 83
2018-11-02 03:38:02 +0000,1,Geitz,GK,Possession,1,1,1,11, 57
2018-11-02 03:38:05 +0000,1,Simpson,WD,Possession,1,1,1,8, 69
2018-11-02 03:38:18 +0000,1,Cassidy,C,Possession,1,1,1,33, 83
2018-11-02 03:38:20 +0000,1,Hinchliffe,GD,Possession,1,1,1,81, 114
2018-11-02 03:38:22 +0000,1,Nevins,WA,Possession,1,1,1,85, 135
2018-11-02 03:38:24 +0000,1,Tippett,GA,Possession,1,1,1,60, 143
2018-11-02 03:38:31 +0000,1,Tippett,GA,Assist - Circle Entry,1,1,1,60, 143
2018-11-02 03:38:31 +0000,1,Aiken,GS,Goal - Score,1,1,1,49, 191
2018-11-02 03:38:39 +0000,1,Cassidy,C,Centre Pass,1,1,2,50, 100
2018-11-02 03:38:39 +0000,1,Nevins,WA,Assist - Centre Pass Rec,1,1,2,8, 122
2018-11-02 03:39:11 +0000,0,Moloney,C,Penaly - Contact,1,1,2,8, 122
2018-11-02 03:39:11 +0000,1,Nevins,WA,Possession,1,1,2,8, 122
2018-11-02 03:39:19 +0000,1,Cassidy,C,Possession,1,1,2,46, 140
2018-11-02 03:39:34 +0000,1,Cassidy,C,Assist - Circle Entry,1,1,2,46, 140
2018-11-02 03:39:34 +0000,1,Tippett,GA,Assist - 2nd Phase,1,1,2,51, 170
2018-11-02 03:39:42 +0000,1,Aiken,GS,Deflect,1,1,2,57, 189
2018-11-02 03:39:56 +0000,0,Weston,GD,Deflect,1,1,2,52, 181
2018-11-02 03:39:56 +0000,1,Tippett,GA,Possession,1,1,2,48, 193
2018-11-02 03:40:05 +0000,0,Mannix,GK,Penaly - Obstruction,1,1,2,48, 193
2018-11-02 03:40:05 +0000,1,Tippett,GA,Goal - Miss,1,1,2,48, 193
2018-11-02 03:40:16 +0000,1,Tippett,GA,Assist - Attack Rebound,1,1,2,50, 197
2018-11-02 03:40:20 +0000,1,Tippett,GA,Goal - Score,1,1,2,52, 178
2018-11-02 03:40:25 +0000,0,Moloney,C,Centre Pass,1,1,3,50, 100
2018-11-02 03:40:25 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,1,3,75, 79
2018-11-02 03:40:35 +0000,0,Phillip,GA,Assist - 2nd Phase,1,1,3,93, 55
2018-11-02 03:40:36 +0000,1,,UNKNOWN,Penaly - Contact,1,1,3,93, 55
2018-11-02 03:40:36 +0000,0,Phillip,GA,Possession,1,1,3,93, 55
2018-11-02 03:40:56 +0000,1,Cassidy,C,Penaly - Contact,1,1,3,50, 53
2018-11-02 03:40:56 +0000,0,Watson,WA,Possession,1,1,3,50, 53
2018-11-02 03:41:06 +0000,0,Watson,WA,Assist - Circle Entry,1,1,3,50, 53
2018-11-02 03:41:06 +0000,0,Kumwenda,GS,Possession,1,1,3,36, 23
2018-11-02 03:41:10 +0000,0,Watson,WA,Possession,1,1,3,27, 24
2018-11-02 03:41:14 +0000,0,Watson,WA,Assist - Circle Entry,1,1,3,27, 24
2018-11-02 03:41:14 +0000,0,Phillip,GA,Possession,1,1,3,30, 3
2018-11-02 03:41:19 +0000,1,Hinchliffe,GD,Penaly - Obstruction,1,1,3,30, 3
2018-11-02 03:41:19 +0000,0,Phillip,GA,Goal - Score,1,1,3,30, 3
2018-11-02 03:41:35 +0000,1,Cassidy,C,Centre Pass,1,2,3,50, 100
2018-11-02 03:41:35 +0000,1,Nevins,WA,Assist - Centre Pass Rec,1,2,3,11, 123
2018-11-02 03:41:37 +0000,1,Simpson,WD,Assist - 2nd Phase,1,2,3,15, 124
2018-11-02 03:41:48 +0000,1,Nevins,WA,Possession,1,2,3,35, 145
2018-11-02 03:41:53 +0000,1,Nevins,WA,Assist - Circle Entry,1,2,3,35, 145
2018-11-02 03:41:53 +0000,1,Aiken,GS,Possession,1,2,3,33, 174
2018-11-02 03:41:56 +0000,1,Cassidy,C,Possession,1,2,3,13, 189
2018-11-02 03:42:00 +0000,1,Cassidy,C,Assist - Circle Entry,1,2,3,13, 189
2018-11-02 03:42:00 +0000,1,Aiken,GS,Possession,1,2,3,49, 192
2018-11-02 03:42:02 +0000,0,Mannix,GK,Penaly - Obstruction,1,2,3,49, 192
2018-11-02 03:42:03 +0000,1,Aiken,GS,Goal - Score,1,2,3,49, 192
2018-11-02 03:42:12 +0000,0,Moloney,C,Centre Pass,1,2,4,50, 100
2018-11-02 03:42:12 +0000,0,Phillip,GA,Assist - Centre Pass Rec,1,2,4,75, 82
2018-11-02 03:42:16 +0000,0,Watson,WD,Assist - 2nd Phase,1,2,4,87, 123
2018-11-02 03:42:19 +0000,0,Moloney,C,Possession,1,2,4,46, 83
2018-11-02 03:42:21 +0000,0,Watson,WA,Possession,1,2,4,82, 48
2018-11-02 03:42:26 +0000,0,Watson,WA,Assist - Circle Entry,1,2,4,82, 48
2018-11-02 03:42:26 +0000,0,Kumwenda,GS,Possession,1,2,4,68, 13
2018-11-02 03:42:29 +0000,0,Watson,WA,Possession,1,2,4,81, 16
2018-11-02 03:42:34 +0000,1,Hinchliffe,GD,Penaly - Contact,1,2,4,65, 12
2018-11-02 03:42:35 +0000,0,Phillip,GA,Possession,1,2,4,65, 12
2018-11-02 03:42:41 +0000,1,Geitz,GK,Penaly - Contact,1,2,4,44, 5
2018-11-02 03:42:41 +0000,0,Kumwenda,GS,Goal - Score,1,2,4,44, 5
2018-11-02 03:43:25 +0000,1,Cassidy,C,Centre Pass,1,3,4,50, 100
2018-11-02 03:43:25 +0000,1,Tippett,GA,Assist - Centre Pass Rec,1,3,4,23, 124
2018-11-02 03:43:48 +0000,0,Watson,WD,Deflect,1,3,4,33, 126
2018-11-02 03:43:48 +0000,1,Nevins,WA,Throw In,1,3,4,107, 136
2018-11-02 03:44:05 +0000,1,Tippett,GA,Possession,1,3,4,30, 144
2018-11-02 03:44:08 +0000,1,Tippett,GA,Assist - Circle Entry,1,3,4,30, 144
2018-11-02 03:44:08 +0000,1,Aiken,GS,Goal - Score,1,3,4,50, 191
2018-11-02 03:44:27 +0000,0,Moloney,C,Centre Pass,1,3,5,50, 100
2018-11-02 03:44:27 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,3,5,56, 69
2018-11-02 03:44:29 +0000,0,Moloney,C,Assist - 2nd Phase,1,3,5,19, 57
2018-11-02 03:44:34 +0000,0,Weston,GD,Possession,1,3,5,21, 70
2018-11-02 03:44:45 +0000,1,Tippett,GA,Loss - Offside,1,3,5,23, 68
2018-11-02 03:44:57 +0000,0,Moloney,C,Possession,1,3,5,20, 64
2018-11-02 03:45:02 +0000,0,Phillip,GA,Possession,1,3,5,39, 45
2018-11-02 03:45:04 +0000,0,Watson,WA,Possession,1,3,5,51, 34
2018-11-02 03:45:07 +0000,0,Watson,WA,Assist - Circle Entry,1,3,5,51, 34
2018-11-02 03:45:07 +0000,0,Kumwenda,GS,Possession,1,3,5,49, 21
2018-11-02 03:45:09 +0000,1,Geitz,GK,Penaly - Contact,1,3,5,49, 21
2018-11-02 03:45:09 +0000,0,Phillip,GA,Possession,1,3,5,49, 21
2018-11-02 03:45:18 +0000,0,Kumwenda,GS,Possession,1,3,5,41, 8
2018-11-02 03:45:19 +0000,1,Hinchliffe,GD,Penaly - Contact,1,3,5,41, 8
2018-11-02 03:45:19 +0000,0,Kumwenda,GS,Goal - Score,1,3,5,41, 8
2018-11-02 03:45:32 +0000,1,Cassidy,C,Centre Pass,1,4,5,50, 100
2018-11-02 03:45:32 +0000,1,Nevins,WA,Assist - Centre Pass Rec,1,4,5,52, 113
2018-11-02 03:45:34 +0000,1,Tippett,GA,Assist - 2nd Phase,1,4,5,80, 150
2018-11-02 03:45:38 +0000,1,Tippett,GA,Assist - Circle Entry,1,4,5,80, 150
2018-11-02 03:45:38 +0000,1,Aiken,GS,Goal - Score,1,4,5,42, 191
2018-11-02 03:45:47 +0000,0,Moloney,C,Centre Pass,1,4,6,50, 100
2018-11-02 03:45:47 +0000,0,Watson,WA,Assist - Centre Pass Rec,1,4,6,65, 78
2018-11-02 03:45:48 +0000,0,Watson,WA,Assist - 2nd Phase,1,4,6,80, 45
2018-11-02 03:45:50 +0000,0,Kumwenda,GS,Possession,1,4,6,84, 9
2018-11-02 03:46:00 +0000,0,Watson,WA,Possession,1,4,6,14, 4
2018-11-02 03:46:05 +0000,0,Watson,WA,Assist - Circle Entry,1,4,6,14, 4
2018-11-02 03:46:05 +0000,0,Kumwenda,GS,Possession,1,4,6,24, 6
2018-11-02 03:46:10 +0000,0,Watson,WA,Possession,1,4,6,13, 4
2018-11-02 03:46:16 +0000,0,Watson,WA,Assist - Circle Entry,1,4,6,13, 4
2018-11-02 03:46:16 +0000,0,Kumwenda,GS,Possession,1,4,6,27, 5
2018-11-02 03:46:19 +0000,0,Moloney,C,Possession,1,4,6,76, 23
