Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-03 03:37:42 +0000,1,Guthrie,C,Centre Pass,1,0,0,50, 100
2018-11-03 03:37:42 +0000,1,Green,WA,Assist - Centre Pass Rec,1,0,0,93, 115
2018-11-03 03:38:36 +0000,1,Pettitt ,GA,Assist - 2nd Phase,1,0,0,52, 129
2018-11-03 03:38:38 +0000,1,Price,WD,Possession,1,0,0,22, 131
2018-11-03 03:38:43 +0000,1,Guthrie,C,Possession,1,0,0,29, 152
2018-11-03 03:38:46 +0000,1,Harten ,GS,Possession,1,0,0,19, 183
2018-11-03 03:38:54 +0000,0,Klau ,GK,Penaly - Obstruction,1,0,0,19, 183
2018-11-03 03:38:54 +0000,1,Harten ,GS,Possession,1,0,0,19, 183
2018-11-03 03:39:00 +0000,1,Green,WA,Assist - Circle Entry,1,0,0,19, 183
2018-11-03 03:39:00 +0000,1,Harten ,GS,Goal - Score,1,0,0,39, 188
2018-11-03 03:42:18 +0000,0,Hadley,UNKNOWN,Interchange - O’Brien,1,0,1,
2018-11-03 03:42:18 +0000,0,Proud,UNKNOWN,Interchange - Hadley,1,0,1,
2018-11-03 03:42:37 +0000,0,Hadley,C,Centre Pass,1,0,1,50, 100
2018-11-03 03:42:37 +0000,0,Housby ,GA,Assist - Centre Pass Rec,1,0,1,10, 78
2018-11-03 03:42:39 +0000,0,O’Brien,WA,Assist - 2nd Phase,1,0,1,11, 11
2018-11-03 03:42:42 +0000,0,O’Brien,WA,Assist - Circle Entry,1,0,1,11, 11
2018-11-03 03:42:42 +0000,0,Garbin,GS,Possession,1,0,1,42, 8
2018-11-03 03:42:45 +0000,1,Poolman ,GK,Penaly - Contact,1,0,1,42, 8
2018-11-03 03:42:45 +0000,0,Garbin,GS,Possession,1,0,1,42, 8
2018-11-03 03:42:48 +0000,1,Bulley ,GD,Penaly - Obstruction,1,0,1,42, 8
2018-11-03 03:42:48 +0000,0,Garbin,GS,Goal - Score,1,0,1,42, 8
2018-11-03 03:42:57 +0000,1,Guthrie,C,Centre Pass,1,1,1,50, 100
2018-11-03 03:42:57 +0000,1,Bulley ,GD,Assist - Centre Pass Rec,1,1,1,17, 98
2018-11-03 03:42:59 +0000,1,Pettitt ,GA,Assist - 2nd Phase,1,1,1,14, 131
2018-11-03 03:43:01 +0000,1,Green,WA,Possession,1,1,1,37, 131
2018-11-03 03:43:09 +0000,1,Bulley ,GD,Possession,1,1,1,81, 131
2018-11-03 03:43:14 +0000,1,Harten ,GS,Possession,1,1,1,85, 188
2018-11-03 03:43:38 +0000,1,Green,WA,Possession,1,1,1,16, 191
2018-11-03 03:43:40 +0000,1,Green,WA,Assist - Circle Entry,1,1,1,16, 191
2018-11-03 03:43:40 +0000,1,Harten ,GS,Goal - Score,1,1,1,62, 193
