Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-02 07:32:37 +0000,1,Charles,C,Centre Pass,1,0,0,50, 100
2018-11-02 07:32:37 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,0,0,86, 126
2018-11-02 07:32:39 +0000,1,Charles,C,Assist - 2nd Phase,1,0,0,62, 126
2018-11-02 07:32:44 +0000,1,Anstiss,WD,Possession,1,0,0,44, 121
2018-11-02 07:32:46 +0000,1,Colyer ,WA,Possession,1,0,0,32, 142
2018-11-02 07:32:51 +0000,1,Charles,C,Possession,1,0,0,63, 158
2018-11-02 07:32:55 +0000,1,Charles,C,Assist - Circle Entry,1,0,0,63, 158
2018-11-02 07:32:55 +0000,1,Fowler,GS,Goal - Score,1,0,0,53, 195
2018-11-02 07:33:04 +0000,0,Scherian ,C,Centre Pass,1,0,1,50, 100
2018-11-02 07:33:04 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,0,1,75, 75
2018-11-02 07:33:10 +0000,0,Browne,WA,Assist - 2nd Phase,1,0,1,5, 49
2018-11-02 07:33:15 +0000,0,Wood,GA,Possession,1,0,1,45, 53
2018-11-02 07:33:17 +0000,0,Browne,WA,Possession,1,0,1,70, 27
2018-11-02 07:33:20 +0000,0,Browne,WA,Assist - Circle Entry,1,0,1,70, 27
2018-11-02 07:33:20 +0000,0,Wood,GA,Goal - Score,1,0,1,56, 6
2018-11-02 07:33:28 +0000,1,Charles,C,Centre Pass,1,1,1,50, 100
2018-11-02 07:33:28 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,1,1,79, 116
2018-11-02 07:33:30 +0000,1,Charles,C,Assist - 2nd Phase,1,1,1,52, 127
2018-11-02 07:34:02 +0000,1,Medhurst,GA,Possession,1,1,1,89, 143
2018-11-02 07:34:11 +0000,0,Pretorius ,GD,Penaly - Contact,1,1,1,89, 143
2018-11-02 07:34:11 +0000,1,Charles,C,Possession,1,1,1,89, 143
2018-11-02 07:34:19 +0000,1,Charles,C,Assist - Circle Entry,1,1,1,89, 143
2018-11-02 07:34:20 +0000,1,Fowler,GS,Goal - Score,1,1,1,62, 188
2018-11-02 07:34:30 +0000,0,Scherian ,C,Centre Pass,1,1,2,50, 100
2018-11-02 07:34:31 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,1,2,69, 77
2018-11-02 07:34:32 +0000,0,McAuliffe,WD,Assist - 2nd Phase,1,1,2,84, 81
2018-11-02 07:34:35 +0000,0,McAuliffe,WD,Possession,1,1,2,63, 70
2018-11-02 07:34:36 +0000,0,Browne,WA,Possession,1,1,2,73, 50
2018-11-02 07:34:39 +0000,0,Wood,GA,Possession,1,1,2,43, 46
2018-11-02 07:34:49 +0000,0,Wood,GA,Assist - Circle Entry,1,1,2,43, 46
2018-11-02 07:34:49 +0000,0,Bassett,GS,Possession,1,1,2,56, 14
2018-11-02 07:34:55 +0000,1,Bruce,GK,Penaly - Contact,1,1,2,56, 14
2018-11-02 07:34:55 +0000,0,Wood,GA,Possession,1,1,2,56, 14
2018-11-02 07:35:02 +0000,0,Bassett,GS,Goal - Score,1,1,2,43, 5
2018-11-02 07:36:09 +0000,1,Charles,C,Centre Pass,1,2,2,50, 100
2018-11-02 07:36:09 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,2,2,17, 125
2018-11-02 07:36:14 +0000,1,Colyer ,WA,Assist - 2nd Phase,1,2,2,8, 143
2018-11-02 07:36:16 +0000,1,Anstiss,WD,Possession,1,2,2,10, 128
2018-11-02 07:36:18 +0000,1,Colyer ,WA,Possession,1,2,2,35, 152
2018-11-02 07:36:21 +0000,1,Charles,C,Possession,1,2,2,84, 189
2018-11-02 07:37:04 +0000,1,Charles,C,Assist - Circle Entry,1,2,2,84, 189
2018-11-02 07:37:04 +0000,1,Medhurst,GA,Possession,1,2,2,69, 187
2018-11-02 07:37:08 +0000,1,Fowler,GS,Goal - Score,1,2,2,46, 194
2018-11-02 07:37:22 +0000,0,Scherian ,C,Centre Pass,1,2,3,50, 100
2018-11-02 07:37:22 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,2,3,31, 80
2018-11-02 07:37:25 +0000,0,Scherian ,C,Assist - 2nd Phase,1,2,3,51, 69
2018-11-02 07:37:29 +0000,0,Browne,WA,Possession,1,2,3,83, 10
2018-11-02 07:37:33 +0000,0,Browne,WA,Assist - Circle Entry,1,2,3,83, 10
2018-11-02 07:37:33 +0000,0,Bassett,GS,Possession,1,2,3,60, 10
2018-11-02 07:37:36 +0000,0,Browne,WA,Possession,1,2,3,85, 7
2018-11-02 07:37:40 +0000,0,Browne,WA,Assist - Circle Entry,1,2,3,85, 7
2018-11-02 07:37:40 +0000,0,Bassett,GS,Goal - Score,1,2,3,57, 4
2018-11-02 07:37:55 +0000,1,Charles,C,Centre Pass,1,3,3,50, 100
2018-11-02 07:37:55 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,3,3,77, 111
2018-11-02 07:37:57 +0000,1,Francis,GD,Assist - 2nd Phase,1,3,3,67, 85
2018-11-02 07:37:59 +0000,1,Anstiss,WD,Possession,1,3,3,28, 90
2018-11-02 07:38:01 +0000,1,Francis,GD,Possession,1,3,3,71, 91
2018-11-02 07:38:03 +0000,1,Colyer ,WA,Possession,1,3,3,77, 120
2018-11-02 07:38:08 +0000,1,Anstiss,WD,Possession,1,3,3,57, 128
2018-11-02 07:38:11 +0000,1,Charles,C,Possession,1,3,3,64, 148
2018-11-02 07:38:14 +0000,0,Scherian ,C,Penaly - Contact,1,3,3,64, 148
2018-11-02 07:38:14 +0000,1,Charles,C,Possession,1,3,3,64, 148
2018-11-02 07:38:22 +0000,1,Charles,C,Assist - Circle Entry,1,3,3,64, 148
2018-11-02 07:38:22 +0000,1,Medhurst,GA,Possession,1,3,3,62, 182
2018-11-02 07:38:25 +0000,1,Charles,C,Possession,1,3,3,59, 165
2018-11-02 07:38:29 +0000,1,Charles,C,Assist - Circle Entry,1,3,3,59, 165
2018-11-02 07:38:29 +0000,1,Fowler,GS,Possession,1,3,3,45, 187
2018-11-02 07:38:32 +0000,0,Pretorius ,GD,Penaly - Contact,1,3,3,45, 187
2018-11-02 07:38:32 +0000,1,Fowler,GS,Goal - Score,1,3,3,45, 187
2018-11-02 07:38:40 +0000,0,Scherian ,C,Centre Pass,1,3,4,50, 100
2018-11-02 07:38:40 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,3,4,24, 100
2018-11-02 07:38:44 +0000,0,Wood,GA,Assist - Circle Entry,1,3,4,24, 100
2018-11-02 07:38:44 +0000,0,Bassett,GS,Goal - Score,1,3,4,46, 8
2018-11-02 07:38:53 +0000,1,Charles,C,Centre Pass,1,4,4,50, 100
2018-11-02 07:38:53 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,4,4,75, 123
2018-11-02 07:38:56 +0000,1,Anstiss,WD,Assist - 2nd Phase,1,4,4,46, 115
2018-11-02 07:38:59 +0000,1,Francis,GD,Possession,1,4,4,85, 108
2018-11-02 07:39:01 +0000,1,Colyer ,WA,Possession,1,4,4,86, 127
2018-11-02 07:39:02 +0000,1,Charles,C,Possession,1,4,4,56, 153
2018-11-02 07:39:44 +0000,1,Charles,C,Assist - Circle Entry,1,4,4,56, 153
2018-11-02 07:39:44 +0000,0,Mentor,GK,Gain - Tip (Deflect),1,4,4,47, 184
2018-11-02 07:39:58 +0000,0,Mentor,GK,Possession,1,4,4,29, 172
2018-11-02 07:40:06 +0000,0,Scherian ,C,Possession,1,4,4,30, 132
2018-11-02 07:40:10 +0000,0,Wood,GA,Possession,1,4,4,10, 107
2018-11-02 07:40:17 +0000,0,Scherian ,C,Possession,1,4,4,17, 73
2018-11-02 07:40:21 +0000,0,Browne,WA,Possession,1,4,4,18, 15
2018-11-02 07:40:27 +0000,1,Francis,GD,Deflect,1,4,4,50, 19
2018-11-02 07:40:27 +0000,0,Scherian ,C,Throw In,1,4,4,101, 43
2018-11-02 07:40:39 +0000,0,McAuliffe,WD,Possession,1,4,4,79, 68
2018-11-02 07:40:42 +0000,0,Browne,WA,Possession,1,4,4,84, 54
2018-11-02 07:40:46 +0000,1,Anstiss,WD,Penaly - Contact,1,4,4,84, 54
2018-11-02 07:40:46 +0000,0,Browne,WA,Possession,1,4,4,84, 54
2018-11-02 07:40:53 +0000,0,Wood,GA,Possession,1,4,4,48, 37
2018-11-02 07:41:05 +0000,1,Anstiss,WD,Penaly - Contact,1,4,4,58, 47
2018-11-02 07:41:05 +0000,0,Browne,WA,Possession,1,4,4,58, 47
2018-11-02 07:41:11 +0000,0,Browne,WA,Assist - Circle Entry,1,4,4,58, 47
2018-11-02 07:41:11 +0000,0,Wood,GA,Possession,1,4,4,56, 21
2018-11-02 07:41:17 +0000,0,Scherian ,C,Possession,1,4,4,79, 16
2018-11-02 07:41:19 +0000,0,Scherian ,C,Assist - Circle Entry,1,4,4,79, 16
2018-11-02 07:41:20 +0000,0,Wood,GA,Goal - Score,1,4,4,58, 3
2018-11-02 07:41:30 +0000,0,Scherian ,C,Centre Pass,1,5,4,50, 100
2018-11-02 07:41:30 +0000,0,Wood,GA,Assist - Centre Pass Rec,1,5,4,49, 79
2018-11-02 07:41:32 +0000,0,Browne,WA,Assist - 2nd Phase,1,5,4,13, 12
2018-11-02 07:41:36 +0000,0,Browne,WA,Assist - Circle Entry,1,5,4,13, 12
2018-11-02 07:41:36 +0000,0,Bassett,GS,Possession,1,5,4,53, 5
2018-11-02 07:41:38 +0000,1,Francis,GD,Penaly - Contact,1,5,4,53, 5
2018-11-02 07:41:38 +0000,0,Bassett,GS,Goal - Score,1,5,4,53, 5
2018-11-02 07:41:46 +0000,1,Charles,C,Centre Pass,1,6,4,50, 100
2018-11-02 07:41:46 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,6,4,27, 102
2018-11-02 07:41:49 +0000,1,Francis,GD,Assist - 2nd Phase,1,6,4,49, 108
2018-11-02 07:41:51 +0000,1,Colyer ,WA,Possession,1,6,4,9, 175
2018-11-02 07:41:55 +0000,1,Colyer ,WA,Assist - Circle Entry,1,6,4,9, 175
2018-11-02 07:41:55 +0000,1,Fowler,GS,Goal - Score,1,6,4,53, 193
2018-11-02 07:42:03 +0000,0,Scherian ,C,Centre Pass,1,6,5,50, 100
2018-11-02 07:42:03 +0000,0,Browne,WA,Assist - Centre Pass Rec,1,6,5,53, 83
2018-11-02 07:42:05 +0000,0,Scherian ,C,Assist - 2nd Phase,1,6,5,60, 80
2018-11-02 07:42:08 +0000,0,Browne,WA,Possession,1,6,5,43, 79
2018-11-02 07:42:10 +0000,0,Wood,GA,Possession,1,6,5,7, 54
2018-11-02 07:42:17 +0000,0,Wood,GA,Assist - Circle Entry,1,6,5,7, 54
