Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-03 06:46:00 +0000,0,Guthrie,C,Centre Pass,1,0,0,50, 100
2018-11-03 06:46:00 +0000,0,Green,WA,Assist - Centre Pass Rec,1,0,0,82, 73
2018-11-03 06:46:02 +0000,0,Pettitt ,GA,Assist - 2nd Phase,1,0,0,85, 26
2018-11-03 06:46:05 +0000,0,Guthrie,C,Possession,1,0,0,65, 40
2018-11-03 06:46:07 +0000,0,Guthrie,C,Assist - Circle Entry,1,0,0,65, 40
2018-11-03 06:46:07 +0000,0,Harten ,GS,Possession,1,0,0,63, 16
2018-11-03 06:46:09 +0000,0,Green,WA,Possession,1,0,0,17, 12
2018-11-03 06:46:11 +0000,1,Simpson,WD,Penaly - Contact,1,0,0,17, 12
2018-11-03 06:46:11 +0000,0,Green,WA,Possession,1,0,0,17, 12
2018-11-03 06:46:16 +0000,0,Green,WA,Assist - Circle Entry,1,0,0,17, 12
2018-11-03 06:46:16 +0000,0,Harten ,GS,Goal - Score,1,0,0,33, 8
2018-11-03 06:46:24 +0000,1,Cassidy,C,Centre Pass,1,1,0,50, 100
2018-11-03 06:46:24 +0000,1,Hinchliffe,GD,Assist - Centre Pass Rec,1,1,0,14, 112
2018-11-03 06:46:26 +0000,1,Nevins,WA,Assist - 2nd Phase,1,1,0,12, 131
2018-11-03 06:46:30 +0000,1,Hinchliffe,GD,Possession,1,1,0,18, 114
2018-11-03 06:46:34 +0000,1,Simpson,WD,Possession,1,1,0,52, 80
2018-11-03 06:46:36 +0000,1,Tippett,GA,Possession,1,1,0,89, 128
2018-11-03 06:46:38 +0000,1,Simpson,WD,Possession,1,1,0,75, 128
2018-11-03 06:46:43 +0000,1,Tippett,GA,Possession,1,1,0,82, 185
2018-11-03 06:46:48 +0000,1,Tippett,GA,Assist - Circle Entry,1,1,0,82, 185
2018-11-03 06:46:48 +0000,1,Aiken,GS,Possession,1,1,0,56, 183
2018-11-03 06:46:50 +0000,1,Cassidy,C,Possession,1,1,0,29, 167
2018-11-03 06:46:53 +0000,1,Cassidy,C,Assist - Circle Entry,1,1,0,29, 167
2018-11-03 06:46:53 +0000,1,Aiken,GS,Goal - Score,1,1,0,49, 190
2018-11-03 07:10:19 +0000,0,Guthrie,C,Centre Pass,1,1,1,50, 100
2018-11-03 07:10:19 +0000,0,Green,WA,Assist - Centre Pass Rec,1,1,1,71, 77
2018-11-03 07:10:21 +0000,0,Pettitt ,GA,Assist - 2nd Phase,1,1,1,85, 49
2018-11-03 07:10:24 +0000,0,Guthrie,C,Possession,1,1,1,81, 16
2018-11-03 07:10:38 +0000,0,Price,WD,Loss - Offside,1,1,1,21, 63
2018-11-03 07:10:47 +0000,1,Geitz,GK,Possession,1,1,1,20, 63
2018-11-03 07:10:53 +0000,1,Simpson,WD,Possession,1,1,1,28, 81
2018-11-03 07:11:00 +0000,1,Simpson,WD,Possession,1,1,1,22, 118
2018-11-03 07:11:03 +0000,1,Aiken,GS,Possession,1,1,1,28, 151
2018-11-03 07:11:06 +0000,1,Aiken,GS,Assist - Circle Entry,1,1,1,28, 151
2018-11-03 07:11:06 +0000,1,Tippett,GA,Goal - Score,1,1,1,46, 192
2018-11-03 07:11:29 +0000,1,Cassidy,C,Centre Pass,1,1,2,50, 100
2018-11-03 07:11:29 +0000,1,Tippett,GA,Loss - Other,1,1,2,14, 131
2018-11-03 07:13:52 +0000,0,Bulley ,GD,Possession,1,1,2,13, 135
2018-11-03 07:14:00 +0000,0,Guthrie,C,Possession,1,1,2,81, 82
