Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-04 01:05:34 +0000,0,Brown,C,Centre Pass,1,0,0,50, 100
2018-11-04 01:05:34 +0000,0,Bell,GA,Assist - Centre Pass Rec,1,0,0,95, 81
2018-11-04 01:05:36 +0000,0,Brandley,GD,Assist - 2nd Phase,1,0,0,69, 94
2018-11-04 01:05:53 +0000,0,Robinson,WA,Possession,1,0,0,16, 72
2018-11-04 01:06:13 +0000,0,Thwaites,GS,Possession,1,0,0,17, 22
2018-11-04 01:06:15 +0000,0,Bell,GA,Possession,1,0,0,16, 7
2018-11-04 01:06:19 +0000,0,Robinson,WA,Possession,1,0,0,86, 13
2018-11-04 01:06:22 +0000,0,Robinson,WA,Assist - Circle Entry,1,0,0,86, 13
2018-11-04 01:06:22 +0000,0,Thwaites,GS,Possession,1,0,0,67, 12
2018-11-04 01:06:25 +0000,0,Brown,C,Possession,1,0,0,46, 36
2018-11-04 01:06:29 +0000,0,Brown,C,Assist - Circle Entry,1,0,0,46, 36
2018-11-04 01:06:29 +0000,0,Bell,GA,Possession,1,0,0,32, 14
2018-11-04 01:06:31 +0000,1,Pretorius ,GD,Penaly - Contact,1,0,0,53, 17
2018-11-04 01:06:31 +0000,0,Thwaites,GS,Goal - Score,1,0,0,53, 17
2018-11-04 01:06:45 +0000,1,Scherian ,C,Centre Pass,1,1,0,50, 100
2018-11-04 01:06:45 +0000,1,Pretorius ,GD,Assist - Centre Pass Rec,1,1,0,18, 104
2018-11-04 01:06:48 +0000,1,Wood,GA,Assist - 2nd Phase,1,1,0,17, 138
2018-11-04 01:06:50 +0000,0,Brandley,GD,Penaly - Contact,1,1,0,17, 138
2018-11-04 01:06:50 +0000,1,Browne,WA,Possession,1,1,0,17, 138
2018-11-04 01:07:00 +0000,1,Wood,GA,Possession,1,1,0,12, 192
2018-11-04 01:07:02 +0000,1,Wood,GA,Assist - Circle Entry,1,1,0,12, 192
2018-11-04 01:07:02 +0000,1,Bassett,GS,Goal - Score,1,1,0,40, 196
2018-11-04 01:07:11 +0000,0,Brown,C,Centre Pass,1,1,1,50, 100
2018-11-04 01:07:11 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,1,1,9, 96
2018-11-04 01:07:13 +0000,0,Bell,GA,Assist - 2nd Phase,1,1,1,15, 52
2018-11-04 01:07:15 +0000,0,Brown,C,Possession,1,1,1,84, 21
2018-11-04 01:07:18 +0000,0,Brown,C,Assist - Circle Entry,1,1,1,84, 21
2018-11-04 01:07:18 +0000,0,Thwaites,GS,Goal - Score,1,1,1,57, 9
2018-11-04 01:07:25 +0000,1,Scherian ,C,Centre Pass,1,2,1,50, 100
2018-11-04 01:07:25 +0000,1,Wood,GA,Assist - Centre Pass Rec,1,2,1,51, 126
2018-11-04 01:07:27 +0000,1,Browne,WA,Assist - 2nd Phase,1,2,1,83, 138
2018-11-04 01:07:29 +0000,1,Wood,GA,Possession,1,2,1,26, 158
2018-11-04 01:07:31 +0000,1,Browne,WA,Possession,1,2,1,22, 181
2018-11-04 01:07:35 +0000,0,Brandley,GD,Penaly - Contact,1,2,1,41, 184
2018-11-04 01:07:35 +0000,1,Wood,GA,Possession,1,2,1,41, 184
2018-11-04 01:07:41 +0000,0,Layton,GK,Penaly - Contact,1,2,1,53, 188
2018-11-04 01:07:42 +0000,1,Wood,GA,Goal - Score,1,2,1,53, 188
2018-11-04 01:07:51 +0000,0,Brown,C,Centre Pass,1,2,2,50, 100
2018-11-04 01:07:51 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,2,2,11, 95
2018-11-04 01:07:53 +0000,0,Brazill,WD,Assist - 2nd Phase,1,2,2,35, 72
2018-11-04 01:07:55 +0000,0,Thwaites,GS,Possession,1,2,2,22, 47
2018-11-04 01:07:58 +0000,0,Thwaites,GS,Assist - Circle Entry,1,2,2,22, 47
2018-11-04 01:07:58 +0000,0,Bell,GA,Goal - Miss,1,2,2,38, 9
2018-11-04 01:08:06 +0000,1,Mentor,GK,Gain - Def Reb,1,2,2,50, 2
2018-11-04 01:08:19 +0000,1,Scherian ,C,Possession,1,2,2,95, 63
