Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-06 00:49:27 +0000,0,Charles,C,Centre Pass,1,0,0,50, 100
2018-11-06 00:49:27 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,0,0,28, 86
2018-11-06 00:49:30 +0000,0,Charles,C,Assist - 2nd Phase,1,0,0,89, 10
2018-11-06 00:49:33 +0000,0,Charles,C,Assist - Circle Entry,1,0,0,89, 10
2018-11-06 00:49:33 +0000,0,Fowler,GS,Goal - Score,1,0,0,65, 9
2018-11-06 00:49:42 +0000,1,Proud,C,Centre Pass,1,1,0,50, 100
2018-11-06 00:49:42 +0000,1,Housby ,GA,Assist - Centre Pass Rec,1,1,0,93, 121
2018-11-06 00:49:44 +0000,1,Turner,GD,Assist - 2nd Phase,1,1,0,76, 99
2018-11-06 00:49:48 +0000,1,Hadley,WA,Possession,1,1,0,18, 124
2018-11-06 00:49:52 +0000,1,Proud,C,Possession,1,1,0,15, 154
2018-11-06 00:49:57 +0000,1,Turner,GD,Possession,1,1,0,18, 130
2018-11-06 00:49:59 +0000,1,Housby ,GA,Possession,1,1,0,38, 152
2018-11-06 00:50:05 +0000,1,Proud,C,Possession,1,1,0,14, 194
2018-11-06 00:50:11 +0000,1,Proud,C,Assist - Circle Entry,1,1,0,14, 194
2018-11-06 00:50:11 +0000,0,Bruce,GK,Gain - Tip (Deflect),1,1,0,52, 178
2018-11-06 00:50:17 +0000,0,Charles,C,Possession,1,1,0,51, 165
2018-11-06 00:50:21 +0000,0,Anstiss,WD,Possession,1,1,0,21, 153
2018-11-06 00:50:25 +0000,0,Medhurst,GA,Possession,1,1,0,10, 84
2018-11-06 00:50:51 +0000,0,Medhurst,GA,Assist - Circle Entry,1,1,0,10, 84
2018-11-06 00:50:51 +0000,0,Fowler,GS,Goal - Score,1,1,0,53, 10
2018-11-06 00:51:16 +0000,0,Charles,C,Centre Pass,1,2,0,50, 100
2018-11-06 00:51:16 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,2,0,73, 92
2018-11-06 00:51:18 +0000,0,Colyer ,WA,Assist - 2nd Phase,1,2,0,54, 74
2018-11-06 00:51:20 +0000,0,Charles,C,Possession,1,2,0,24, 34
2018-11-06 00:51:23 +0000,0,Charles,C,Assist - Circle Entry,1,2,0,24, 34
2018-11-06 00:51:23 +0000,0,Fowler,GS,Goal - Score,1,2,0,57, 7
2018-11-06 00:51:32 +0000,1,Proud,C,Centre Pass,1,3,0,50, 100
2018-11-06 00:51:32 +0000,1,Hadley,WA,Assist - Centre Pass Rec,1,3,0,17, 126
2018-11-06 00:51:34 +0000,1,Proud,C,Assist - 2nd Phase,1,3,0,15, 152
