Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-07 09:52:21 +0000,1,Ravaillion,C,Centre Pass,1,0,0,50, 100
2018-11-07 09:52:21 +0000,1,Bell,GA,Assist - Centre Pass Rec,1,0,0,80, 130
2018-11-07 09:52:27 +0000,1,Brazill,WD,Assist - 2nd Phase,1,0,0,26, 130
2018-11-07 09:52:29 +0000,1,Ravaillion,C,Possession,1,0,0,24, 150
2018-11-07 09:52:31 +0000,1,Brazill,WD,Loss - Held Ball,1,0,0,23, 131
2018-11-07 09:52:36 +0000,0,McCulloch,WD,Possession,1,0,0,23, 132
2018-11-07 09:52:43 +0000,0,Proud,C,Possession,1,0,0,46, 120
2018-11-07 09:52:46 +0000,0,Turner,GD,Possession,1,0,0,92, 73
2018-11-07 09:52:48 +0000,0,Proud,C,Possession,1,0,0,82, 23
2018-11-07 09:52:51 +0000,0,Proud,C,Assist - Circle Entry,1,0,0,82, 23
2018-11-07 09:52:51 +0000,0,Housby ,GA,Possession,1,0,0,55, 29
2018-11-07 09:52:54 +0000,0,Proud,C,Possession,1,0,0,73, 28
2018-11-07 09:52:55 +0000,0,Proud,C,Assist - Circle Entry,1,0,0,73, 28
2018-11-07 09:52:56 +0000,0,Housby ,GA,Possession,1,0,0,56, 24
2018-11-07 09:53:08 +0000,1,Brazill,WD,Deflect,1,0,0,18, 9
2018-11-07 09:53:08 +0000,0,Housby ,GA,Throw In,1,0,0,24, -4
2018-11-07 09:53:19 +0000,1,Garrett,GD,Penaly - Contact,1,0,0,49, 13
2018-11-07 09:53:19 +0000,0,Wallace,GS,Goal - Score,1,0,0,49, 13
2018-11-07 09:53:32 +0000,0,Proud,C,Centre Pass,1,1,0,50, 100
2018-11-07 09:53:32 +0000,0,Turner,GD,Assist - Centre Pass Rec,1,1,0,28, 115
2018-11-07 09:53:34 +0000,0,Hadley,WA,Assist - 2nd Phase,1,1,0,14, 89
2018-11-07 09:53:36 +0000,0,Housby ,GA,Loss - Bad Pass,1,1,0,74, 77
2018-11-07 09:53:41 +0000,1,Brazill,WD,Throw In,1,1,0,-6, 76
2018-11-07 09:53:50 +0000,1,Layton,GK,Possession,1,1,0,15, 64
2018-11-07 09:53:52 +0000,1,Robinson,WA,Possession,1,1,0,82, 80
2018-11-07 09:53:54 +0000,1,Ravaillion,C,Possession,1,1,0,60, 114
2018-11-07 09:53:58 +0000,1,Garrett,GD,Possession,1,1,0,57, 92
2018-11-07 09:54:01 +0000,1,Ravaillion,C,Possession,1,1,0,34, 108
2018-11-07 09:54:03 +0000,1,Robinson,WA,Possession,1,1,0,13, 144
2018-11-07 09:54:05 +0000,1,Bell,GA,Possession,1,1,0,39, 151
2018-11-07 09:54:08 +0000,1,Ravaillion,C,Possession,1,1,0,48, 165
2018-11-07 09:54:09 +0000,0,McCulloch,WD,Penaly - Contact,1,1,0,48, 165
2018-11-07 09:54:09 +0000,1,Ravaillion,C,Possession,1,1,0,48, 165
2018-11-07 09:54:15 +0000,0,Turner,GD,Penaly - Contact,1,1,0,39, 177
2018-11-07 09:54:15 +0000,1,Bell,GA,Goal - Score,1,1,0,39, 177
2018-11-07 09:54:30 +0000,1,Ravaillion,C,Centre Pass,1,1,1,50, 100
2018-11-07 09:54:30 +0000,1,Robinson,WA,Assist - Centre Pass Rec,1,1,1,21, 127
2018-11-07 09:54:32 +0000,1,Bell,GA,Assist - 2nd Phase,1,1,1,21, 178
2018-11-07 09:54:35 +0000,1,Ravaillion,C,Possession,1,1,1,26, 162
2018-11-07 09:54:37 +0000,1,Ravaillion,C,Assist - Circle Entry,1,1,1,26, 162
2018-11-07 09:54:37 +0000,1,Thwaites,GS,Goal - Score,1,1,1,54, 193
2018-11-07 09:54:43 +0000,0,Proud,C,Centre Pass,1,1,2,50, 100
2018-11-07 09:54:43 +0000,0,Housby ,GA,Assist - Centre Pass Rec,1,1,2,13, 76
2018-11-07 09:54:45 +0000,0,Hadley,WA,Assist - 2nd Phase,1,1,2,30, 72
2018-11-07 09:54:47 +0000,0,Housby ,GA,Possession,1,1,2,14, 18
2018-11-07 09:54:49 +0000,0,Housby ,GA,Assist - Circle Entry,1,1,2,14, 18
2018-11-07 09:54:49 +0000,0,Wallace,GS,Goal - Score,1,1,2,54, 8
2018-11-07 09:54:58 +0000,1,Ravaillion,C,Centre Pass,1,2,2,50, 100
2018-11-07 09:54:58 +0000,1,Brazill,WD,Assist - Centre Pass Rec,1,2,2,13, 126
2018-11-07 09:55:01 +0000,0,Klau ,GK,Penaly - Contact,1,2,2,27, 175
2018-11-07 09:55:01 +0000,1,Robinson,WA,Assist - 2nd Phase,1,2,2,27, 175
2018-11-07 09:55:12 +0000,1,Robinson,WA,Assist - Circle Entry,1,2,2,27, 175
2018-11-07 09:55:12 +0000,1,Thwaites,GS,Possession,1,2,2,38, 186
2018-11-07 09:55:14 +0000,0,Turner,GD,Penaly - Contact,1,2,2,38, 186
2018-11-07 09:55:14 +0000,1,Thwaites,GS,Possession,1,2,2,38, 186
2018-11-07 09:55:22 +0000,0,Klau ,GK,Penaly - Obstruction,1,2,2,38, 186
2018-11-07 09:55:22 +0000,1,Thwaites,GS,Goal - Score,1,2,2,38, 186
2018-11-07 09:55:37 +0000,0,Proud,C,Centre Pass,1,2,3,50, 100
2018-11-07 09:55:37 +0000,0,Housby ,GA,Assist - Centre Pass Rec,1,2,3,52, 90
2018-11-07 09:55:39 +0000,0,McCulloch,WD,Assist - 2nd Phase,1,2,3,35, 110
2018-11-07 09:55:41 +0000,0,Turner,GD,Possession,1,2,3,51, 119
2018-11-07 09:55:43 +0000,0,Proud,C,Possession,1,2,3,88, 78
2018-11-07 09:55:45 +0000,0,Housby ,GA,Possession,1,2,3,54, 74
2018-11-07 09:55:47 +0000,0,McCulloch,WD,Possession,1,2,3,20, 73
2018-11-07 09:55:49 +0000,0,Hadley,WA,Possession,1,2,3,19, 55
2018-11-07 09:55:50 +0000,0,Wallace,GS,Possession,1,2,3,40, 59
2018-11-07 09:55:52 +0000,0,Proud,C,Possession,1,2,3,52, 39
2018-11-07 09:55:54 +0000,0,Proud,C,Assist - Circle Entry,1,2,3,52, 39
2018-11-07 09:55:54 +0000,0,Wallace,GS,Possession,1,2,3,61, 20
2018-11-07 09:55:57 +0000,0,Hadley,WA,Possession,1,2,3,21, 22
2018-11-07 09:55:59 +0000,1,Brazill,WD,Penaly - Contact,1,2,3,21, 22
2018-11-07 09:55:59 +0000,0,Hadley,WA,Possession,1,2,3,21, 22
2018-11-07 09:56:04 +0000,0,Hadley,WA,Assist - Circle Entry,1,2,3,21, 22
2018-11-07 09:56:04 +0000,0,Housby ,GA,Possession,1,2,3,25, 4
2018-11-07 09:56:06 +0000,0,Hadley,WA,Possession,1,2,3,20, 22
2018-11-07 09:56:13 +0000,0,Hadley,WA,Assist - Circle Entry,1,2,3,20, 22
2018-11-07 09:56:13 +0000,0,Housby ,GA,Possession,1,2,3,35, 8
2018-11-07 09:56:17 +0000,1,Garrett,GD,Penaly - Obstruction,1,2,3,35, 8
2018-11-07 09:56:17 +0000,0,Housby ,GA,Goal - Score,1,2,3,35, 8
2018-11-07 09:56:31 +0000,1,Ravaillion,C,Centre Pass,1,3,3,50, 100
2018-11-07 09:56:31 +0000,0,Proud,C,Gain - Inter,1,3,3,14, 121
2018-11-07 09:56:38 +0000,0,McCulloch,WD,Possession,1,3,3,37, 123
2018-11-07 09:56:44 +0000,0,Turner,GD,Possession,1,3,3,39, 107
2018-11-07 09:56:46 +0000,0,Housby ,GA,Possession,1,3,3,50, 71
2018-11-07 09:56:49 +0000,0,Hadley,WA,Possession,1,3,3,24, 67
2018-11-07 09:56:53 +0000,0,Proud,C,Possession,1,3,3,23, 27
2018-11-07 09:56:57 +0000,0,Proud,C,Assist - Circle Entry,1,3,3,23, 27
2018-11-07 09:56:57 +0000,0,Wallace,GS,Goal - Score,1,3,3,53, 13
2018-11-07 09:57:07 +0000,0,Proud,C,Centre Pass,1,4,3,50, 100
2018-11-07 09:57:08 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,4,3,89, 83
2018-11-07 09:57:11 +0000,0,Proud,C,Assist - 2nd Phase,1,4,3,67, 61
2018-11-07 09:57:13 +0000,0,Housby ,GA,Possession,1,4,3,30, 35
2018-11-07 09:57:18 +0000,0,Housby ,GA,Assist - Circle Entry,1,4,3,30, 35
2018-11-07 09:57:18 +0000,0,Wallace,GS,Possession,1,4,3,56, 14
2018-11-07 09:57:25 +0000,1,Layton,GK,Penaly - Obstruction,1,4,3,56, 14
2018-11-07 09:57:25 +0000,0,Wallace,GS,Goal - Score,1,4,3,56, 14
2018-11-07 09:57:39 +0000,1,Ravaillion,C,Centre Pass,1,5,3,50, 100
2018-11-07 09:57:39 +0000,1,Robinson,WA,Assist - Centre Pass Rec,1,5,3,82, 112
2018-11-07 09:57:41 +0000,1,Garrett,GD,Assist - 2nd Phase,1,5,3,51, 113
2018-11-07 09:57:43 +0000,1,Robinson,WA,Possession,1,5,3,82, 113
2018-11-07 09:57:46 +0000,1,Ravaillion,C,Possession,1,5,3,92, 163
2018-11-07 09:57:49 +0000,1,Robinson,WA,Possession,1,5,3,70, 172
2018-11-07 09:57:53 +0000,0,Klau ,GK,Penaly - Contact,1,5,3,63, 181
2018-11-07 09:57:53 +0000,1,Thwaites,GS,Possession,1,5,3,63, 181
2018-11-07 09:57:59 +0000,1,Bell,GA,Goal - Score,1,5,3,43, 194
2018-11-07 09:58:08 +0000,0,Proud,C,Centre Pass,1,5,4,50, 100
2018-11-07 09:58:08 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,5,4,14, 80
2018-11-07 09:58:11 +0000,0,Turner,GD,Assist - 2nd Phase,1,5,4,18, 102
2018-11-07 09:58:15 +0000,0,Hadley,WA,Possession,1,5,4,13, 71
2018-11-07 09:58:18 +0000,0,Proud,C,Possession,1,5,4,10, 51
2018-11-07 09:58:22 +0000,0,Wallace,GS,Possession,1,5,4,13, 9
2018-11-07 09:58:24 +0000,0,Hadley,WA,Possession,1,5,4,27, 29
2018-11-07 09:58:28 +0000,1,Ravaillion,C,Penaly - Contact,1,5,4,27, 29
2018-11-07 09:58:28 +0000,0,Hadley,WA,Possession,1,5,4,27, 29
2018-11-07 09:58:33 +0000,0,Hadley,WA,Assist - Circle Entry,1,5,4,27, 29
2018-11-07 09:58:33 +0000,0,Wallace,GS,Possession,1,5,4,33, 15
2018-11-07 09:58:36 +0000,1,Garrett,GD,Penaly - Contact,1,5,4,33, 15
2018-11-07 09:58:36 +0000,0,Housby ,GA,Possession,1,5,4,33, 15
2018-11-07 09:58:44 +0000,0,Wallace,GS,Goal - Score,1,5,4,55, 9
2018-11-07 09:58:53 +0000,1,Ravaillion,C,Centre Pass,1,6,4,50, 100
2018-11-07 09:58:53 +0000,1,Bell,GA,Assist - Centre Pass Rec,1,6,4,83, 126
2018-11-07 09:59:00 +0000,0,Turner,GD,Deflect,1,6,4,90, 181
2018-11-07 09:59:00 +0000,1,Robinson,WA,Throw In,1,6,4,93, 207
2018-11-07 09:59:11 +0000,1,Ravaillion,C,Possession,1,6,4,20, 183
2018-11-07 09:59:23 +0000,0,Klau ,GK,Penaly - Contact,1,6,4,32, 185
2018-11-07 09:59:24 +0000,1,Thwaites,GS,Goal - Score,1,6,4,32, 185
2018-11-07 09:59:39 +0000,0,Proud,C,Centre Pass,1,6,5,50, 100
2018-11-07 09:59:39 +0000,0,Hadley,WA,Assist - Centre Pass Rec,1,6,5,12, 76
2018-11-07 09:59:41 +0000,0,Housby ,GA,Assist - 2nd Phase,1,6,5,37, 61
2018-11-07 09:59:43 +0000,0,Hadley,WA,Possession,1,6,5,14, 45
