Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-15 14:10:06 +0000,1,Cassidy,C,Centre Pass,1,0,0,50, 100
2018-11-15 14:10:06 +0000,1,Simpson,WD,Assist - Centre Pass Rec,1,0,0,84, 122
2018-11-15 14:10:20 +0000,1,Tippett,GA,Assist - 2nd Phase,1,0,0,87, 177
2018-11-15 14:10:24 +0000,1,Tippett,GA,Assist - Circle Entry,1,0,0,87, 177
2018-11-15 14:10:24 +0000,1,Aiken,GS,Possession,1,0,0,44, 175
2018-11-15 14:10:27 +0000,1,Cassidy,C,Possession,1,0,0,50, 163
2018-11-15 14:10:29 +0000,1,Cassidy,C,Assist - Circle Entry,1,0,0,50, 163
2018-11-15 14:10:29 +0000,1,Tippett,GA,Possession,1,0,0,20, 189
2018-11-15 14:10:31 +0000,1,Aiken,GS,Possession,1,0,0,48, 178
2018-11-15 14:10:32 +0000,1,Tippett,GA,Goal - Score,1,0,0,52, 192
2018-11-15 14:10:40 +0000,0,Bryce,C,Centre Pass,1,0,1,50, 100
2018-11-15 14:10:40 +0000,0,Hodges,GA,Assist - Centre Pass Rec,1,0,1,11, 77
2018-11-15 14:10:43 +0000,0,Fowler,WD,Assist - 2nd Phase,1,0,1,63, 100
2018-11-15 14:10:45 +0000,0,Pitman,WA,Possession,1,0,1,17, 82
2018-11-15 14:10:47 +0000,0,Fowler,WD,Possession,1,0,1,20, 97
2018-11-15 14:10:55 +0000,1,Simpson,WD,Penaly - Contact,1,0,1,20, 97
2018-11-15 14:10:55 +0000,0,Fowler,WD,Possession,1,0,1,20, 97
2018-11-15 14:11:01 +0000,0,Pitman,WA,Possession,1,0,1,66, 43
2018-11-15 14:11:04 +0000,0,Pitman,WA,Assist - Circle Entry,1,0,1,66, 43
2018-11-15 14:11:04 +0000,0,Hodges,GA,Goal - Score,1,0,1,47, 17
2018-11-15 14:11:11 +0000,1,Cassidy,C,Centre Pass,1,1,1,50, 100
2018-11-15 14:11:11 +0000,1,Nevins,WA,Assist - Centre Pass Rec,1,1,1,65, 126
2018-11-15 14:11:13 +0000,1,Nevins,WA,Assist - Circle Entry,1,1,1,65, 126
2018-11-15 14:11:14 +0000,1,Aiken,GS,Assist - 2nd Phase,1,1,1,52, 168
2018-11-15 14:11:15 +0000,1,Tippett,GA,Possession,1,1,1,58, 193
