Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-16 10:49:25 +0000,1,Scherian ,C,Centre Pass,1,0,0,50, 100
2018-11-16 10:49:25 +0000,1,Browne,WA,Assist - Centre Pass Rec,1,0,0,36, 123
2018-11-16 10:49:27 +0000,1,Wood,GA,Assist - 2nd Phase,1,0,0,48, 127
2018-11-16 10:49:29 +0000,1,Browne,WA,Possession,1,0,0,63, 142
2018-11-16 10:49:31 +0000,1,Browne,WA,Possession,1,0,0,42, 152
2018-11-16 10:49:33 +0000,1,Scherian ,C,Possession,1,0,0,56, 161
2018-11-16 10:49:37 +0000,1,Scherian ,C,Assist - Circle Entry,1,0,0,56, 161
2018-11-16 10:49:37 +0000,1,Bassett,GS,Goal - Score,1,0,0,50, 190
2018-11-16 10:49:47 +0000,0,Proud,C,Centre Pass,1,0,1,50, 100
2018-11-16 10:49:47 +0000,1,McAuliffe,WD,Penaly - Contact on CP,1,0,1,47, 73
2018-11-16 10:49:47 +0000,0,McCulloch,WD,Possession,1,0,1,47, 73
2018-11-16 10:49:52 +0000,0,Hadley,WA,Assist - 2nd Phase,1,0,1,18, 37
2018-11-16 10:49:54 +0000,0,Housby ,GA,Possession,1,0,1,12, 13
2018-11-16 10:50:00 +0000,0,Housby ,GA,Assist - Circle Entry,1,0,1,12, 13
2018-11-16 10:50:00 +0000,0,Wallace,GS,Possession,1,0,1,49, 9
2018-11-16 10:50:06 +0000,1,Mentor,GK,Penaly - Contact,1,0,1,49, 9
2018-11-16 10:50:06 +0000,0,Wallace,GS,Goal - Score,1,0,1,49, 9
2018-11-16 10:50:27 +0000,1,Scherian ,C,Centre Pass,1,1,1,50, 100
2018-11-16 10:50:27 +0000,1,Wood,GA,Loss - Break,1,1,1,56, 132
2018-11-16 10:50:30 +0000,0,Turner,GD,Possession,1,1,1,55, 133
2018-11-16 10:50:35 +0000,0,Proud,C,Possession,1,1,1,83, 120
2018-11-16 10:50:37 +0000,0,Turner,GD,Possession,1,1,1,55, 115
2018-11-16 10:50:39 +0000,0,McCulloch,WD,Possession,1,1,1,19, 93
2018-11-16 10:50:47 +0000,1,Pretorius ,GD,Penaly - Contact,1,1,1,28, 72
2018-11-16 10:50:47 +0000,0,Turner,GD,Possession,1,1,1,28, 72
