Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-17 14:19:29 +0000,0,Cassidy,C,Centre Pass,1,0,0,50, 100
2018-11-17 14:19:29 +0000,0,Tippett,GA,Assist - Centre Pass Rec,1,0,0,81, 74
2018-11-17 14:19:35 +0000,1,Klau ,GK,Deflect,1,0,0,78, 18
2018-11-17 14:19:35 +0000,0,Cassidy,C,Throw In,1,0,0,104, 24
2018-11-17 14:19:45 +0000,0,Tippett,GA,Possession,1,0,0,88, 35
2018-11-17 14:19:47 +0000,0,Tippett,GA,Assist - Circle Entry,1,0,0,88, 35
2018-11-17 14:19:47 +0000,0,Aiken,GS,Goal - Score,1,0,0,48, 9
2018-11-17 14:19:58 +0000,1,Proud,C,Centre Pass,1,1,0,50, 100
2018-11-17 14:19:58 +0000,1,Turner,GD,Assist - Centre Pass Rec,1,1,0,93, 120
2018-11-17 14:20:00 +0000,1,McCulloch,WD,Assist - 2nd Phase,1,1,0,71, 93
2018-11-17 14:21:20 +0000,1,Proud,C,Possession,1,1,0,42, 104
2018-11-17 14:21:22 +0000,1,Hadley,WA,Possession,1,1,0,13, 137
2018-11-17 14:21:24 +0000,1,Wallace,GS,Possession,1,1,0,17, 184
2018-11-17 14:21:26 +0000,1,Hadley,WA,Possession,1,1,0,14, 139
2018-11-17 14:21:28 +0000,1,Housby ,GA,Possession,1,1,0,29, 168
2018-11-17 14:21:30 +0000,1,Proud,C,Possession,1,1,0,15, 193
2018-11-17 14:21:32 +0000,1,Proud,C,Assist - Circle Entry,1,1,0,15, 193
2018-11-17 14:21:32 +0000,1,Wallace,GS,Possession,1,1,0,35, 192
2018-11-17 14:21:34 +0000,1,Housby ,GA,Possession,1,1,0,48, 182
2018-11-17 14:21:35 +0000,1,Hadley,WA,Possession,1,1,0,73, 172
2018-11-17 14:21:38 +0000,1,Hadley,WA,Assist - Circle Entry,1,1,0,73, 172
2018-11-17 14:21:38 +0000,1,Housby ,GA,Possession,1,1,0,54, 179
