Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-17 06:57:10 +0000,1,Bryce,C,Centre Pass,1,0,0,50, 100
2018-11-17 06:57:10 +0000,1,de Bruin,GD,Assist - Centre Pass Rec,1,0,0,33, 99
2018-11-17 06:57:11 +0000,1,Pitman,WA,Assist - 2nd Phase,1,0,0,24, 125
2018-11-17 06:57:13 +0000,0,Charles,C,Penaly - Obstruction,1,0,0,24, 125
2018-11-17 06:57:13 +0000,1,de Bruin,GD,Possession,1,0,0,24, 125
2018-11-17 06:57:18 +0000,1,Pitman,WA,Possession,1,0,0,19, 172
2018-11-17 06:57:20 +0000,1,Pitman,WA,Assist - Circle Entry,1,0,0,19, 172
2018-11-17 06:57:20 +0000,1,Hodges,GA,Possession,1,0,0,35, 184
2018-11-17 06:57:22 +0000,1,Pitman,WA,Possession,1,0,0,20, 180
2018-11-17 06:57:25 +0000,1,Pitman,WA,Assist - Circle Entry,1,0,0,20, 180
2018-11-17 06:57:25 +0000,1,Nelson,GS,Possession,1,0,0,56, 196
2018-11-17 06:57:36 +0000,1,Bryce,C,Possession,1,0,0,68, 168
2018-11-17 06:57:41 +0000,0,Anstiss,WD,Penaly - Contact,1,0,0,68, 168
2018-11-17 06:57:41 +0000,1,Bryce,C,Possession,1,0,0,68, 168
2018-11-17 06:57:47 +0000,1,Bryce,C,Assist - Circle Entry,1,0,0,68, 168
2018-11-17 06:57:47 +0000,1,Hodges,GA,Possession,1,0,0,47, 178
2018-11-17 06:57:49 +0000,1,Nelson,GS,Goal - Score,1,0,0,59, 190
2018-11-17 06:57:57 +0000,0,Charles,C,Centre Pass,1,0,1,50, 100
2018-11-17 06:57:57 +0000,0,Medhurst,GA,Assist - Centre Pass Rec,1,0,1,90, 73
2018-11-17 06:58:13 +0000,1,Fowler,WD,Penaly - Obstruction,1,0,1,66, 64
2018-11-17 06:58:13 +0000,0,Colyer ,WA,Assist - 2nd Phase,1,0,1,66, 64
2018-11-17 06:58:18 +0000,0,Charles,C,Possession,1,0,1,58, 44
2018-11-17 06:58:20 +0000,0,Charles,C,Assist - Circle Entry,1,0,1,58, 44
2018-11-17 06:58:20 +0000,0,Fowler,GS,Goal - Score,1,0,1,52, 10
2018-11-17 06:58:30 +0000,1,Bryce,C,Centre Pass,1,1,1,50, 100
2018-11-17 06:58:30 +0000,1,Fowler,WD,Assist - Centre Pass Rec,1,1,1,65, 89
2018-11-17 06:58:32 +0000,1,Bryce,C,Assist - 2nd Phase,1,1,1,93, 118
2018-11-17 06:58:34 +0000,0,Bruce,GK,Gain - Inter,1,1,1,90, 166
2018-11-17 06:58:39 +0000,0,Charles,C,Possession,1,1,1,71, 155
2018-11-17 06:58:41 +0000,0,Anstiss,WD,Possession,1,1,1,79, 143
2018-11-17 06:58:44 +0000,0,Bruce,GK,Possession,1,1,1,42, 180
2018-11-17 06:58:46 +0000,0,Francis,GD,Possession,1,1,1,23, 157
2018-11-17 06:58:48 +0000,0,Charles,C,Possession,1,1,1,55, 129
2018-11-17 06:58:49 +0000,0,Charles,C,Possession,1,1,1,84, 104
2018-11-17 06:58:51 +0000,0,Francis,GD,Possession,1,1,1,72, 118
2018-11-17 06:58:53 +0000,0,Anstiss,WD,Possession,1,1,1,21, 106
2018-11-17 06:58:55 +0000,0,Medhurst,GA,Possession,1,1,1,49, 83
2018-11-17 06:58:58 +0000,0,Medhurst,GA,Assist - Circle Entry,1,1,1,49, 83
2018-11-17 06:58:58 +0000,0,Fowler,GS,Goal - Score,1,1,1,48, 6
2018-11-17 06:59:07 +0000,0,Charles,C,Centre Pass,1,2,1,50, 100
2018-11-17 06:59:07 +0000,0,Colyer ,WA,Assist - Centre Pass Rec,1,2,1,86, 78
2018-11-17 06:59:09 +0000,0,Medhurst,GA,Assist - 2nd Phase,1,2,1,90, 42
2018-11-17 06:59:12 +0000,0,Medhurst,GA,Assist - Circle Entry,1,2,1,90, 42
2018-11-17 06:59:12 +0000,0,Fowler,GS,Goal - Score,1,2,1,66, 12
2018-11-17 06:59:29 +0000,1,Bryce,C,Centre Pass,1,3,1,50, 100
2018-11-17 06:59:29 +0000,1,Hodges,GA,Assist - Centre Pass Rec,1,3,1,43, 118
2018-11-17 06:59:32 +0000,1,Pitman,WA,Assist - 2nd Phase,1,3,1,20, 183
2018-11-17 06:59:34 +0000,0,Bruce,GK,Penaly - Contact,1,3,1,20, 183
2018-11-17 06:59:34 +0000,1,Pitman,WA,Possession,1,3,1,20, 183
2018-11-17 06:59:45 +0000,1,Pitman,WA,Assist - Circle Entry,1,3,1,20, 183
