Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-19 07:39:21 +0000,1,Petty,C,Centre Pass,1,0,0,50, 100
2018-11-19 07:39:21 +0000,1,Pitman,WA,Assist - Centre Pass Rec,1,0,0,88, 72
2018-11-19 07:40:00 +0000,1,de Bruin,GD,Assist - 2nd Phase,1,0,0,17, 116
2018-11-19 07:40:02 +0000,1,Petty,C,Possession,1,0,0,30, 143
2018-11-19 07:40:04 +0000,1,Pitman,WA,Possession,1,0,0,36, 163
2018-11-19 07:40:50 +0000,1,Pitman,WA,Assist - Circle Entry,1,0,0,36, 163
2018-11-19 07:40:50 +0000,1,Nelson,GS,Goal - Miss,1,0,0,47, 188
2018-11-19 07:40:56 +0000,1,Nelson,GS,Assist - Attack Rebound,1,0,0,50, 197
2018-11-19 07:40:59 +0000,1,Nelson,GS,Goal - Score,1,0,0,47, 188
2018-11-19 07:44:02 +0000,0,Guthrie,C,Centre Pass,1,0,1,50, 100
2018-11-19 07:44:02 +0000,0,Austin,WA,Loss - Break,1,0,1,50, 67
2018-11-19 07:44:07 +0000,1,Petty,C,Possession,1,0,1,51, 67
2018-11-19 08:06:35 +0000,1,Pitman,WA,Possession,1,0,1,5, 113
2018-11-19 08:06:37 +0000,1,Hodges,GA,Possession,1,0,1,8, 148
2018-11-19 08:06:40 +0000,1,Hodges,GA,Assist - Circle Entry,1,0,1,8, 148
2018-11-19 08:06:40 +0000,1,Nelson,GS,Possession,1,0,1,50, 180
2018-11-19 08:06:43 +0000,0,Poolman ,GK,Penaly - Contact,1,0,1,50, 180
2018-11-19 08:06:43 +0000,1,Hodges,GA,Possession,1,0,1,50, 180
2018-11-19 08:06:48 +0000,1,Nelson,GS,Goal - Miss,1,0,1,51, 190
2018-11-19 08:06:49 +0000,0,Poolman ,GK,Gain - Def Reb,1,0,1,50, 197
2018-11-19 08:06:51 +0000,1,Shimmin,GK,Penaly - Contact,1,0,1,50, 197
2018-11-19 08:06:51 +0000,0,Poolman ,GK,Possession,1,0,1,50, 197
2018-11-19 08:06:55 +0000,0,Bulley ,GD,Possession,1,0,1,86, 148
2018-11-19 08:06:57 +0000,0,Guthrie,C,Possession,1,0,1,86, 104
2018-11-19 08:06:59 +0000,0,Bulley ,GD,Possession,1,0,1,50, 127
2018-11-19 08:07:01 +0000,0,Austin,WA,Possession,1,0,1,11, 75
2018-11-19 08:07:03 +0000,0,Pettitt ,GS,Possession,1,0,1,8, 20
2018-11-19 08:07:06 +0000,0,Pettitt ,GS,Assist - Circle Entry,1,0,1,8, 20
2018-11-19 08:07:06 +0000,0,Harten ,GA,Goal - Score,1,0,1,34, 12
2018-11-19 08:07:14 +0000,1,Petty,C,Centre Pass,1,1,1,50, 100
2018-11-19 08:07:14 +0000,1,Pitman,WA,Assist - Centre Pass Rec,1,1,1,85, 124
2018-11-19 08:07:18 +0000,1,Pitman,WA,Assist - Circle Entry,1,1,1,85, 124
2018-11-19 08:07:18 +0000,1,Nelson,GS,Loss - Step,1,1,1,43, 191
2018-11-19 08:07:22 +0000,0,Poolman ,GK,Possession,1,1,1,44, 190
2018-11-19 08:07:27 +0000,0,Price,WD,Possession,1,1,1,13, 183
2018-11-19 08:07:30 +0000,0,Austin,WA,Possession,1,1,1,3, 83
2018-11-19 08:07:32 +0000,0,Guthrie,C,Possession,1,1,1,84, 44
2018-11-19 08:07:35 +0000,0,Pettitt ,GS,Possession,1,1,1,79, 16
2018-11-19 08:07:37 +0000,0,Guthrie,C,Possession,1,1,1,77, 23
2018-11-19 08:07:42 +0000,0,Guthrie,C,Assist - Circle Entry,1,1,1,77, 23
2018-11-19 08:07:42 +0000,0,Harten ,GA,Possession,1,1,1,62, 18
2018-11-19 08:07:44 +0000,1,Shimmin,GK,Penaly - Obstruction,1,1,1,62, 18
2018-11-19 08:07:44 +0000,0,Harten ,GA,Goal - Score,1,1,1,62, 18
2018-11-19 08:07:58 +0000,0,Guthrie,C,Centre Pass,1,2,1,50, 100
2018-11-19 08:07:58 +0000,0,Bulley ,GD,Assist - Centre Pass Rec,1,2,1,20, 107
2018-11-19 08:08:00 +0000,0,Harten ,GA,Assist - 2nd Phase,1,2,1,58, 79
2018-11-19 08:08:04 +0000,0,Harten ,GA,Assist - Circle Entry,1,2,1,58, 79
2018-11-19 08:08:04 +0000,0,Pettitt ,GS,Possession,1,2,1,21, 9
2018-11-19 08:08:07 +0000,0,Harten ,GA,Goal - Score,1,2,1,51, 6
2018-11-19 08:08:32 +0000,1,Petty,C,Centre Pass,1,3,1,50, 100
2018-11-19 08:08:32 +0000,1,Hodges,GA,Assist - Centre Pass Rec,1,3,1,91, 120
2018-11-19 08:08:34 +0000,1,de Bruin,GD,Assist - 2nd Phase,1,3,1,79, 101
2018-11-19 08:08:37 +0000,1,Petty,C,Possession,1,3,1,41, 126
2018-11-19 08:08:41 +0000,1,Pitman,WA,Possession,1,3,1,56, 145
2018-11-19 08:08:45 +0000,1,Petty,C,Possession,1,3,1,15, 189
2018-11-19 08:08:47 +0000,0,Guthrie,C,Penaly - Contact,1,3,1,15, 189
2018-11-19 08:08:47 +0000,1,Petty,C,Possession,1,3,1,15, 189
2018-11-19 08:08:56 +0000,0,Bulley ,GD,Penaly - Contact,1,3,1,37, 182
2018-11-19 08:08:56 +0000,1,Hodges,GA,Goal - Miss,1,3,1,37, 182
2018-11-19 08:09:03 +0000,1,Nelson,GS,Assist - Attack Rebound,1,3,1,50, 197
2018-11-19 08:09:05 +0000,1,Nelson,GS,Goal - Score,1,3,1,37, 182
2018-11-19 08:09:15 +0000,0,Guthrie,C,Centre Pass,1,3,2,50, 100
2018-11-19 08:09:15 +0000,0,Harten ,GA,Assist - Centre Pass Rec,1,3,2,52, 72
2018-11-19 08:09:18 +0000,0,Pettitt ,GS,Assist - 2nd Phase,1,3,2,83, 15
2018-11-19 08:09:21 +0000,0,Austin,WA,Possession,1,3,2,74, 25
2018-11-19 08:09:48 +0000,0,Austin,WA,Assist - Circle Entry,1,3,2,74, 25
2018-11-19 08:09:48 +0000,0,Pettitt ,GS,Possession,1,3,2,67, 5
2018-11-19 08:09:51 +0000,0,Guthrie,C,Possession,1,3,2,59, 31
2018-11-19 08:09:52 +0000,1,Petty,C,Penaly - Contact,1,3,2,59, 31
2018-11-19 08:09:52 +0000,0,Guthrie,C,Possession,1,3,2,59, 31
2018-11-19 08:09:59 +0000,0,Guthrie,C,Assist - Circle Entry,1,3,2,59, 31
2018-11-19 08:09:59 +0000,0,Pettitt ,GS,Goal - Miss,1,3,2,62, 5
2018-11-19 08:10:07 +0000,1,de Bruin,GD,Gain - Def Reb,1,3,2,50, 2
2018-11-19 08:10:10 +0000,1,Petty,C,Possession,1,3,2,35, 33
2018-11-19 08:10:12 +0000,1,Fowler,WD,Possession,1,3,2,47, 54
2018-11-19 08:10:20 +0000,1,Shimmin,GK,Possession,1,3,2,11, 61
2018-11-19 08:10:23 +0000,1,Fowler,WD,Possession,1,3,2,10, 91
2018-11-19 08:10:28 +0000,1,Shimmin,GK,Loss - Drop,1,3,2,27, 153
2018-11-19 08:10:30 +0000,0,Poolman ,GK,Throw In,1,3,2,-5, 164
2018-11-19 08:10:39 +0000,0,Bulley ,GD,Possession,1,3,2,44, 176
2018-11-19 08:10:40 +0000,0,Price,WD,Possession,1,3,2,18, 135
2018-11-19 08:10:56 +0000,0,Poolman ,GK,Possession,1,3,2,48, 150
2018-11-19 08:10:58 +0000,0,Guthrie,C,Possession,1,3,2,77, 106
2018-11-19 08:11:03 +0000,0,Austin,WA,Possession,1,3,2,56, 90
2018-11-19 08:11:07 +0000,0,Guthrie,C,Possession,1,3,2,82, 42
2018-11-19 08:11:10 +0000,0,Harten ,GA,Possession,1,3,2,56, 33
2018-11-19 08:11:12 +0000,0,Harten ,GA,Assist - Circle Entry,1,3,2,56, 33
2018-11-19 08:11:12 +0000,0,Pettitt ,GS,Possession,1,3,2,21, 6
2018-11-19 08:11:14 +0000,0,Harten ,GA,Goal - Miss,1,3,2,48, 11
2018-11-19 08:11:27 +0000,0,Harten ,GA,Assist - Attack Rebound,1,3,2,68, 22
2018-11-19 08:11:38 +0000,0,Austin,WA,Possession,1,3,2,43, 33
2018-11-19 08:11:39 +0000,1,Fowler,WD,Penaly - Contact,1,3,2,43, 33
2018-11-19 08:11:39 +0000,0,Austin,WA,Possession,1,3,2,43, 33
2018-11-19 08:11:43 +0000,0,Austin,WA,Assist - Circle Entry,1,3,2,43, 33
2018-11-19 08:11:43 +0000,0,Pettitt ,GS,Goal - Score,1,3,2,51, 15
2018-11-19 08:11:54 +0000,1,Petty,C,Centre Pass,1,4,2,50, 100
2018-11-19 08:11:54 +0000,1,Hodges,GA,Assist - Centre Pass Rec,1,4,2,22, 130
2018-11-19 08:11:57 +0000,0,Guthrie,C,Penaly - Contact,1,4,2,36, 142
2018-11-19 08:11:57 +0000,1,Petty,C,Assist - 2nd Phase,1,4,2,36, 142
2018-11-19 08:12:04 +0000,1,Pitman,WA,Possession,1,4,2,19, 180
2018-11-19 08:12:13 +0000,1,Pitman,WA,Assist - Circle Entry,1,4,2,19, 180
2018-11-19 08:12:13 +0000,1,Nelson,GS,Loss - Drop,1,4,2,50, 188
2018-11-19 08:12:52 +0000,0,Poolman ,GK,Gain - Inter,1,4,2,49, 187
2018-11-19 08:13:04 +0000,0,Bulley ,GD,Possession,1,4,2,65, 163
2018-11-19 08:13:07 +0000,0,Price,WD,Possession,1,4,2,55, 76
2018-11-19 08:13:09 +0000,0,Bulley ,GD,Possession,1,4,2,83, 71
2018-11-19 08:13:12 +0000,0,Austin,WA,Possession,1,4,2,56, 55
2018-11-19 08:13:14 +0000,0,Guthrie,C,Possession,1,4,2,66, 38
2018-11-19 08:13:19 +0000,0,Austin,WA,Possession,1,4,2,17, 8
2018-11-19 08:13:26 +0000,0,Austin,WA,Assist - Circle Entry,1,4,2,17, 8
2018-11-19 08:13:26 +0000,0,Pettitt ,GS,Possession,1,4,2,54, 3
2018-11-19 08:13:28 +0000,1,Shimmin,GK,Penaly - Obstruction,1,4,2,54, 3
2018-11-19 08:13:28 +0000,0,Pettitt ,GS,Goal - Score,1,4,2,54, 3
2018-11-19 08:13:36 +0000,0,Guthrie,C,Centre Pass,1,5,2,50, 100
2018-11-19 08:13:36 +0000,0,Austin,WA,Assist - Centre Pass Rec,1,5,2,11, 73
2018-11-19 08:13:52 +0000,0,Bulley ,GD,Assist - 2nd Phase,1,5,2,47, 86
2018-11-19 08:13:54 +0000,0,Guthrie,C,Possession,1,5,2,17, 59
2018-11-19 08:13:56 +0000,0,Harten ,GA,Possession,1,5,2,50, 40
2018-11-19 08:14:23 +0000,1,Fowler,WD,Loss - Offside,1,5,2,64, 27
2018-11-19 08:14:23 +0000,0,Pettitt ,GS,Possession,1,5,2,64, 27
2018-11-19 08:14:36 +0000,0,Harten ,GA,Possession,1,5,2,52, 4
2018-11-19 08:14:40 +0000,1,de Bruin,GD,Penaly - Obstruction,1,5,2,52, 4
2018-11-19 08:14:40 +0000,0,Harten ,GA,Goal - Score,1,5,2,52, 4
