Timestamp,Team,Player,Role,Event,Period,ScoreA,ScoreB,XCoord,YCoord
2018-11-18 13:42:27 +0000,1,Charles,C,Centre Pass,1,0,0,50, 100
2018-11-18 13:42:27 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,0,0,42, 75
2018-11-18 13:42:30 +0000,1,Charles,C,Assist - 2nd Phase,1,0,0,63, 89
2018-11-18 13:42:32 +0000,1,Medhurst,GA,Possession,1,0,0,47, 115
2018-11-18 13:42:34 +0000,1,Colyer ,WA,Possession,1,0,0,9, 142
2018-11-18 13:42:36 +0000,1,Francis,GD,Possession,1,0,0,19, 93
2018-11-18 13:42:38 +0000,1,Anstiss,WD,Possession,1,0,0,50, 118
2018-11-18 13:42:42 +0000,1,Medhurst,GA,Possession,1,0,0,51, 145
2018-11-18 13:42:46 +0000,1,Medhurst,GA,Assist - Circle Entry,1,0,0,51, 145
2018-11-18 13:42:46 +0000,1,Fowler,GS,Possession,1,0,0,47, 177
2018-11-18 13:42:48 +0000,1,Charles,C,Possession,1,0,0,43, 162
2018-11-18 13:42:51 +0000,1,Medhurst,GA,Possession,1,0,0,73, 173
2018-11-18 13:42:53 +0000,1,Medhurst,GA,Assist - Circle Entry,1,0,0,73, 173
2018-11-18 13:42:53 +0000,1,Fowler,GS,Goal - Score,1,0,0,52, 188
2018-11-18 13:42:57 +0000,0,Ravaillion,C,Centre Pass,1,0,1,50, 100
2018-11-18 13:42:57 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,0,1,9, 75
2018-11-18 13:42:59 +0000,0,Bell,GA,Assist - 2nd Phase,1,0,1,3, 48
2018-11-18 13:43:01 +0000,0,Brazill,WD,Possession,1,0,1,14, 71
2018-11-18 13:43:03 +0000,0,Ravaillion,C,Possession,1,0,1,10, 48
2018-11-18 13:43:05 +0000,0,Thwaites,GS,Possession,1,0,1,51, 47
2018-11-18 13:43:07 +0000,0,Ravaillion,C,Possession,1,0,1,75, 50
2018-11-18 13:43:09 +0000,0,Robinson,WA,Possession,1,0,1,30, 52
2018-11-18 13:43:12 +0000,0,Ravaillion,C,Possession,1,0,1,24, 27
2018-11-18 13:43:15 +0000,0,Ravaillion,C,Assist - Circle Entry,1,0,1,24, 27
2018-11-18 13:43:15 +0000,0,Thwaites,GS,Goal - Score,1,0,1,38, 4
2018-11-18 13:43:23 +0000,1,Charles,C,Centre Pass,1,1,1,50, 100
2018-11-18 13:43:23 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,1,1,74, 124
2018-11-18 13:43:26 +0000,1,Colyer ,WA,Assist - Circle Entry,1,1,1,74, 124
2018-11-18 13:43:26 +0000,1,Fowler,GS,Assist - 2nd Phase,1,1,1,55, 185
2018-11-18 13:43:29 +0000,1,Fowler,GS,Goal - Score,1,1,1,55, 185
2018-11-18 13:43:39 +0000,0,Ravaillion,C,Centre Pass,1,1,2,50, 100
2018-11-18 13:43:39 +0000,0,Bell,GA,Assist - Centre Pass Rec,1,1,2,31, 74
2018-11-18 13:43:43 +0000,0,Robinson,WA,Assist - 2nd Phase,1,1,2,18, 55
2018-11-18 13:43:45 +0000,0,Thwaites,GS,Possession,1,1,2,11, 13
2018-11-18 13:43:47 +0000,0,Brandley,GD,Possession,1,1,2,21, 69
2018-11-18 13:43:49 +0000,0,Ravaillion,C,Possession,1,1,2,20, 47
2018-11-18 13:43:53 +0000,0,Bell,GA,Possession,1,1,2,49, 48
2018-11-18 13:43:56 +0000,0,Robinson,WA,Possession,1,1,2,79, 18
2018-11-18 13:44:00 +0000,0,Ravaillion,C,Possession,1,1,2,13, 12
2018-11-18 13:44:02 +0000,0,Ravaillion,C,Assist - Circle Entry,1,1,2,13, 12
2018-11-18 13:44:02 +0000,0,Thwaites,GS,Goal - Miss,1,1,2,38, 8
2018-11-18 13:44:09 +0000,0,Bell,GA,Assist - Attack Rebound,1,1,2,50, 2
2018-11-18 13:44:14 +0000,0,Bell,GA,Goal - Score,1,1,2,38, 8
2018-11-18 13:44:23 +0000,1,Charles,C,Centre Pass,1,2,2,50, 100
2018-11-18 13:44:23 +0000,0,Brazill,WD,Penaly - Contact on CP,1,2,2,47, 126
2018-11-18 13:44:23 +0000,1,Anstiss,WD,Possession,1,2,2,47, 126
2018-11-18 13:44:30 +0000,1,Colyer ,WA,Assist - 2nd Phase,1,2,2,77, 169
2018-11-18 13:44:32 +0000,1,Colyer ,WA,Assist - Circle Entry,1,2,2,77, 169
2018-11-18 13:44:32 +0000,1,Medhurst,GA,Possession,1,2,2,74, 193
2018-11-18 13:44:36 +0000,1,Fowler,GS,Possession,1,2,2,55, 192
2018-11-18 13:44:37 +0000,0,Garrett,GK,Penaly - Contact,1,2,2,55, 192
2018-11-18 13:44:37 +0000,1,Fowler,GS,Goal - Score,1,2,2,55, 192
2018-11-18 13:44:44 +0000,0,Ravaillion,C,Centre Pass,1,2,3,50, 100
2018-11-18 13:44:44 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,2,3,37, 79
2018-11-18 13:44:45 +0000,0,Bell,GA,Assist - 2nd Phase,1,2,3,77, 34
2018-11-18 13:44:49 +0000,0,Ravaillion,C,Possession,1,2,3,29, 29
2018-11-18 13:44:51 +0000,0,Thwaites,GS,Possession,1,2,3,11, 4
2018-11-18 13:44:54 +0000,0,Thwaites,GS,Assist - Circle Entry,1,2,3,11, 4
2018-11-18 13:44:54 +0000,0,Bell,GA,Goal - Miss,1,2,3,30, 5
2018-11-18 13:45:03 +0000,0,Thwaites,GS,Assist - Attack Rebound,1,2,3,50, 2
2018-11-18 13:45:05 +0000,0,Thwaites,GS,Goal - Score,1,2,3,56, 4
2018-11-18 13:45:12 +0000,1,Charles,C,Centre Pass,1,3,3,50, 100
2018-11-18 13:45:12 +0000,1,Francis,GD,Deflect,1,3,3,21, 72
2018-11-18 13:45:25 +0000,0,Brandley,GD,Throw In,1,3,3,-3, 117
2018-11-18 13:45:37 +0000,0,Ravaillion,C,Possession,1,3,3,26, 123
2018-11-18 13:45:43 +0000,0,Brazill,WD,Possession,1,3,3,48, 112
2018-11-18 13:45:46 +0000,0,Robinson,WA,Possession,1,3,3,74, 77
2018-11-18 13:45:48 +0000,0,Bell,GA,Possession,1,3,3,79, 45
2018-11-18 13:45:50 +0000,0,Brandley,GD,Possession,1,3,3,51, 70
2018-11-18 13:45:52 +0000,0,Robinson,WA,Possession,1,3,3,69, 31
2018-11-18 13:45:56 +0000,0,Robinson,WA,Assist - Circle Entry,1,3,3,69, 31
2018-11-18 13:45:56 +0000,0,Thwaites,GS,Possession,1,3,3,21, 9
2018-11-18 13:45:59 +0000,0,Ravaillion,C,Possession,1,3,3,59, 34
2018-11-18 13:46:01 +0000,0,Ravaillion,C,Assist - Circle Entry,1,3,3,59, 34
2018-11-18 13:46:01 +0000,0,Bell,GA,Goal - Score,1,3,3,49, 16
2018-11-18 13:46:11 +0000,0,Ravaillion,C,Centre Pass,1,4,3,50, 100
2018-11-18 13:46:12 +0000,0,Bell,GA,Assist - Centre Pass Rec,1,4,3,11, 72
2018-11-18 13:46:13 +0000,0,Robinson,WA,Assist - 2nd Phase,1,4,3,11, 30
2018-11-18 13:46:15 +0000,0,Robinson,WA,Assist - Circle Entry,1,4,3,11, 30
2018-11-18 13:46:15 +0000,0,Thwaites,GS,Possession,1,4,3,33, 11
2018-11-18 13:46:17 +0000,0,Robinson,WA,Possession,1,4,3,21, 23
2018-11-18 13:46:20 +0000,0,Robinson,WA,Assist - Circle Entry,1,4,3,21, 23
2018-11-18 13:46:20 +0000,0,Thwaites,GS,Goal - Score,1,4,3,34, 5
2018-11-18 13:46:24 +0000,1,Charles,C,Centre Pass,1,5,3,50, 100
2018-11-18 13:46:24 +0000,1,Colyer ,WA,Assist - Centre Pass Rec,1,5,3,16, 125
2018-11-18 13:46:25 +0000,1,Medhurst,GA,Assist - 2nd Phase,1,5,3,8, 163
2018-11-18 13:46:28 +0000,1,Medhurst,GA,Assist - Circle Entry,1,5,3,8, 163
2018-11-18 13:46:28 +0000,1,Fowler,GS,Possession,1,5,3,22, 190
2018-11-18 13:46:30 +0000,0,Brazill,WD,Penaly - Contact,1,5,3,19, 179
2018-11-18 13:46:30 +0000,1,Colyer ,WA,Possession,1,5,3,19, 179
2018-11-18 13:46:35 +0000,1,Medhurst,GA,Possession,1,5,3,49, 164
2018-11-18 13:46:40 +0000,1,Medhurst,GA,Assist - Circle Entry,1,5,3,49, 164
2018-11-18 13:46:40 +0000,1,Fowler,GS,Possession,1,5,3,45, 191
2018-11-18 13:46:44 +0000,0,Garrett,GK,Penaly - Contact,1,5,3,45, 191
2018-11-18 13:46:44 +0000,1,Fowler,GS,Goal - Score,1,5,3,45, 191
2018-11-18 13:46:55 +0000,0,Ravaillion,C,Centre Pass,1,5,4,50, 100
2018-11-18 13:46:55 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,5,4,84, 74
2018-11-18 13:46:57 +0000,0,Thwaites,GS,Assist - 2nd Phase,1,5,4,81, 25
2018-11-18 13:46:59 +0000,0,Robinson,WA,Possession,1,5,4,28, 35
2018-11-18 13:47:02 +0000,0,Brazill,WD,Possession,1,5,4,69, 72
2018-11-18 13:47:03 +0000,0,Robinson,WA,Possession,1,5,4,53, 58
2018-11-18 13:47:06 +0000,0,Ravaillion,C,Possession,1,5,4,80, 19
2018-11-18 13:47:07 +0000,0,Robinson,WA,Possession,1,5,4,52, 47
2018-11-18 13:47:18 +0000,0,Robinson,WA,Assist - Circle Entry,1,5,4,52, 47
2018-11-18 13:47:19 +0000,0,Bell,GA,Possession,1,5,4,42, 27
2018-11-18 13:47:20 +0000,1,Bruce,GK,Penaly - Contact,1,5,4,42, 27
2018-11-18 13:47:20 +0000,0,Bell,GA,Goal - Miss,1,5,4,42, 27
2018-11-18 13:47:29 +0000,0,Thwaites,GS,Assist - Attack Rebound,1,5,4,50, 2
2018-11-18 13:47:30 +0000,1,Francis,GD,Penaly - Contact,1,5,4,50, 2
2018-11-18 13:47:30 +0000,0,Thwaites,GS,Goal - Score,1,5,4,50, 2
2018-11-18 13:47:44 +0000,1,Charles,C,Centre Pass,1,6,4,50, 100
2018-11-18 13:47:44 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,6,4,58, 129
2018-11-18 13:47:45 +0000,1,Fowler,GS,Loss - Bad Pass,1,6,4,77, 177
2018-11-18 13:47:48 +0000,0,Garrett,GK,Throw In,1,6,4,-5, 175
2018-11-18 13:47:56 +0000,0,Ravaillion,C,Possession,1,6,4,71, 138
2018-11-18 13:47:58 +0000,0,Garrett,GK,Possession,1,6,4,47, 138
2018-11-18 13:48:00 +0000,1,Fowler,GS,Penaly - Contact,1,6,4,47, 138
2018-11-18 13:48:00 +0000,0,Garrett,GK,Possession,1,6,4,47, 138
2018-11-18 13:48:04 +0000,0,Robinson,WA,Possession,1,6,4,45, 115
2018-11-18 13:48:06 +0000,0,Brandley,GD,Possession,1,6,4,83, 96
2018-11-18 13:48:07 +0000,0,Ravaillion,C,Possession,1,6,4,76, 72
2018-11-18 13:48:09 +0000,0,Robinson,WA,Possession,1,6,4,75, 28
2018-11-18 13:48:11 +0000,0,Thwaites,GS,Possession,1,6,4,83, 7
2018-11-18 13:48:13 +0000,0,Robinson,WA,Possession,1,6,4,73, 25
2018-11-18 13:48:15 +0000,0,Robinson,WA,Assist - Circle Entry,1,6,4,73, 25
2018-11-18 13:48:15 +0000,0,Bell,GA,Possession,1,6,4,58, 17
2018-11-18 13:48:17 +0000,0,Ravaillion,C,Possession,1,6,4,31, 29
2018-11-18 13:48:22 +0000,0,Ravaillion,C,Assist - Circle Entry,1,6,4,31, 29
2018-11-18 13:48:22 +0000,0,Bell,GA,Possession,1,6,4,22, 5
2018-11-18 13:48:24 +0000,0,Robinson,WA,Possession,1,6,4,38, 31
2018-11-18 13:49:52 +0000,0,Robinson,WA,Assist - Circle Entry,1,6,4,38, 31
2018-11-18 13:49:53 +0000,0,Thwaites,GS,Loss - Drop,1,6,4,43, 23
2018-11-18 13:49:58 +0000,1,Bruce,GK,Gain - Pick-up,1,6,4,46, 24
2018-11-18 13:50:08 +0000,1,Anstiss,WD,Possession,1,6,4,42, 59
2018-11-18 13:50:10 +0000,1,Colyer ,WA,Possession,1,6,4,49, 110
2018-11-18 13:50:12 +0000,1,Medhurst,GA,Possession,1,6,4,84, 149
2018-11-18 13:50:19 +0000,0,Garrett,GK,Gain - Inter,1,6,4,82, 182
2018-11-18 13:50:28 +0000,1,Colyer ,WA,Penaly - Contact,1,6,4,82, 182
2018-11-18 13:50:28 +0000,0,Garrett,GK,Possession,1,6,4,82, 182
2018-11-18 13:50:32 +0000,0,Brandley,GD,Possession,1,6,4,53, 161
2018-11-18 13:50:36 +0000,0,Ravaillion,C,Possession,1,6,4,77, 140
2018-11-18 13:50:38 +0000,0,Brandley,GD,Possession,1,6,4,80, 100
2018-11-18 13:50:54 +0000,0,Brandley,GD,Assist - Circle Entry,1,6,4,80, 100
2018-11-18 13:50:54 +0000,1,Bruce,GK,Gain - Tip (Deflect),1,6,4,49, 22
2018-11-18 13:50:58 +0000,1,Francis,GD,Possession,1,6,4,43, 35
2018-11-18 13:51:02 +0000,1,Anstiss,WD,Possession,1,6,4,67, 56
2018-11-18 13:51:04 +0000,1,Colyer ,WA,Possession,1,6,4,79, 102
2018-11-18 13:51:06 +0000,1,Medhurst,GA,Possession,1,6,4,83, 126
2018-11-18 13:51:09 +0000,0,Garrett,GK,Deflect,1,6,4,93, 169
2018-11-18 13:51:09 +0000,1,Charles,C,Throw In,1,6,4,107, 169
2018-11-18 13:51:18 +0000,1,Charles,C,Assist - Circle Entry,1,6,4,107, 169
2018-11-18 13:51:18 +0000,1,Fowler,GS,Goal - Miss,1,6,4,46, 186
2018-11-18 13:51:35 +0000,1,Fowler,GS,Deflect,1,6,4,50, 197
2018-11-18 13:51:50 +0000,0,Brazill,WD,Loss - Offside,1,6,4,49, 167
2018-11-18 13:52:00 +0000,1,Medhurst,GA,Possession,1,6,4,50, 168
2018-11-18 13:52:12 +0000,1,Charles,C,Possession,1,6,4,71, 170
2018-11-18 13:52:14 +0000,1,Charles,C,Assist - Circle Entry,1,6,4,71, 170
2018-11-18 13:52:14 +0000,1,Medhurst,GA,Possession,1,6,4,60, 187
2018-11-18 13:52:16 +0000,1,Charles,C,Possession,1,6,4,74, 172
2018-11-18 13:52:18 +0000,1,Charles,C,Assist - Circle Entry,1,6,4,74, 172
2018-11-18 13:52:18 +0000,1,Medhurst,GA,Possession,1,6,4,57, 191
2018-11-18 13:52:20 +0000,0,Brandley,GD,Penaly - Obstruction,1,6,4,57, 191
2018-11-18 13:52:20 +0000,1,Medhurst,GA,Goal - Score,1,6,4,57, 191
2018-11-18 13:52:29 +0000,0,Ravaillion,C,Centre Pass,1,6,5,50, 100
2018-11-18 13:52:29 +0000,0,Robinson,WA,Assist - Centre Pass Rec,1,6,5,75, 70
2018-11-18 13:52:31 +0000,0,Bell,GA,Assist - 2nd Phase,1,6,5,82, 11
2018-11-18 13:52:33 +0000,0,Ravaillion,C,Possession,1,6,5,71, 28
2018-11-18 13:52:35 +0000,0,Bell,GA,Possession,1,6,5,84, 9
2018-11-18 13:52:37 +0000,0,Bell,GA,Assist - Circle Entry,1,6,5,84, 9
2018-11-18 13:52:37 +0000,0,Thwaites,GS,Goal - Score,1,6,5,39, 12
2018-11-18 13:53:07 +0000,1,Charles,C,Centre Pass,1,7,5,50, 100
2018-11-18 13:53:07 +0000,0,Brazill,WD,Loss - Break,1,7,5,34, 130
2018-11-18 13:53:14 +0000,1,Anstiss,WD,Possession,1,7,5,34, 131
2018-11-18 13:53:19 +0000,1,Charles,C,Possession,1,7,5,62, 141
2018-11-18 13:53:25 +0000,1,Charles,C,Assist - Circle Entry,1,7,5,62, 141
2018-11-18 13:53:25 +0000,1,Fowler,GS,Assist - 2nd Phase,1,7,5,45, 184
2018-11-18 13:53:27 +0000,0,Garrett,GK,Penaly - Contact,1,7,5,45, 184
2018-11-18 13:53:27 +0000,1,Fowler,GS,Goal - Score,1,7,5,45, 184
2018-11-18 13:53:37 +0000,0,Ravaillion,C,Centre Pass,1,7,6,50, 100
2018-11-18 13:53:37 +0000,0,Robinson,WA,Loss - Drop,1,7,6,70, 73
2018-11-18 13:53:49 +0000,1,Anstiss,WD,Gain - Pick-up,1,7,6,76, 108
2018-11-18 13:53:55 +0000,1,Medhurst,GA,Possession,1,7,6,55, 118
2018-11-18 13:53:58 +0000,1,Charles,C,Possession,1,7,6,53, 137
2018-11-18 13:54:02 +0000,1,Charles,C,Assist - Circle Entry,1,7,6,53, 137
2018-11-18 13:54:02 +0000,1,Fowler,GS,Goal - Score,1,7,6,45, 189
2018-11-18 13:54:14 +0000,1,Charles,C,Centre Pass,1,7,7,50, 100
2018-11-18 13:54:14 +0000,1,Francis,GD,Assist - Centre Pass Rec,1,7,7,48, 78
2018-11-18 13:54:16 +0000,1,Charles,C,Assist - 2nd Phase,1,7,7,79, 99
2018-11-18 13:54:22 +0000,0,Ravaillion,C,Gain - Inter,1,7,7,80, 157
2018-11-18 13:54:27 +0000,0,Ravaillion,C,Loss - Replay,1,7,7,80, 158
2018-11-18 13:54:33 +0000,1,Colyer ,WA,Possession,1,7,7,79, 157
2018-11-18 13:54:42 +0000,1,Colyer ,WA,Assist - Circle Entry,1,7,7,79, 157
2018-11-18 13:54:42 +0000,1,Fowler,GS,Possession,1,7,7,60, 184
2018-11-18 13:54:44 +0000,1,Charles,C,Possession,1,7,7,16, 181
2018-11-18 13:54:47 +0000,1,Charles,C,Assist - Circle Entry,1,7,7,16, 181
2018-11-18 13:54:47 +0000,1,Fowler,GS,Goal - Score,1,7,7,55, 186
2018-11-18 13:54:56 +0000,0,Ravaillion,C,Centre Pass,1,7,8,50, 100
2018-11-18 13:54:56 +0000,0,Brazill,WD,Assist - Centre Pass Rec,1,7,8,51, 77
2018-11-18 13:54:59 +0000,0,Bell,GA,Assist - 2nd Phase,1,7,8,80, 72
2018-11-18 13:55:01 +0000,0,Robinson,WA,Possession,1,7,8,66, 67
2018-11-18 13:55:05 +0000,0,Bell,GA,Possession,1,7,8,82, 25
2018-11-18 13:55:07 +0000,0,Ravaillion,C,Possession,1,7,8,82, 9
2018-11-18 13:55:21 +0000,0,Bell,GA,Deflect,1,7,8,15, 14
2018-11-18 13:55:21 +0000,1,Bruce,GK,Throw In,1,7,8,-7, 13
2018-11-18 13:55:34 +0000,1,Francis,GD,Possession,1,7,8,16, 23
2018-11-18 13:55:36 +0000,1,Bruce,GK,Possession,1,7,8,3, 35
2018-11-18 13:55:38 +0000,1,Francis,GD,Possession,1,7,8,49, 27
2018-11-18 13:55:39 +0000,1,Anstiss,WD,Possession,1,7,8,79, 35
2018-11-18 13:55:41 +0000,1,Bruce,GK,Possession,1,7,8,51, 45
2018-11-18 13:55:43 +0000,1,Charles,C,Possession,1,7,8,83, 62
2018-11-18 13:55:45 +0000,1,Colyer ,WA,Possession,1,7,8,91, 114
2018-11-18 13:55:47 +0000,1,Francis,GD,Possession,1,7,8,69, 98
2018-11-18 13:55:49 +0000,1,Charles,C,Possession,1,7,8,54, 111
2018-11-18 13:55:51 +0000,1,Colyer ,WA,Possession,1,7,8,89, 142
2018-11-18 13:55:54 +0000,1,Colyer ,WA,Assist - Circle Entry,1,7,8,89, 142
2018-11-18 13:55:54 +0000,1,Fowler,GS,Possession,1,7,8,71, 178
2018-11-18 13:55:59 +0000,0,Garrett,GK,Penaly - Contact,1,7,8,71, 178
2018-11-18 13:55:59 +0000,1,Medhurst,GA,Possession,1,7,8,71, 178
2018-11-18 13:56:04 +0000,1,Fowler,GS,Goal - Score,1,7,8,47, 190
2018-11-18 13:56:18 +0000,1,Charles,C,Centre Pass,1,7,9,50, 100
2018-11-18 13:56:18 +0000,1,Medhurst,GA,Assist - Centre Pass Rec,1,7,9,18, 124
2018-11-18 13:56:22 +0000,1,Medhurst,GA,Assist - Circle Entry,1,7,9,18, 124
2018-11-18 13:56:22 +0000,1,Fowler,GS,Goal - Miss,1,7,9,55, 183
2018-11-18 13:56:36 +0000,0,Brandley,GD,Gain - Tip (Deflect),1,7,9,50, 197
2018-11-18 13:56:46 +0000,1,Fowler,GS,Deflect,1,7,9,55, 181
2018-11-18 13:56:46 +0000,0,Garrett,GK,Throw In,1,7,9,91, 201
2018-11-18 13:57:00 +0000,0,Brandley,GD,Possession,1,7,9,57, 148
2018-11-18 13:57:03 +0000,0,Ravaillion,C,Possession,1,7,9,47, 139
2018-11-18 13:57:06 +0000,0,Brazill,WD,Possession,1,7,9,27, 120
2018-11-18 13:57:09 +0000,0,Brandley,GD,Possession,1,7,9,48, 115
2018-11-18 13:57:12 +0000,1,Anstiss,WD,Gain - Inter,1,7,9,8, 42
2018-11-18 13:57:18 +0000,1,Bruce,GK,Possession,1,7,9,23, 31
2018-11-18 13:57:22 +0000,1,Medhurst,GA,Possession,1,7,9,85, 93
2018-11-18 13:57:25 +0000,1,Colyer ,WA,Possession,1,7,9,76, 168
