GS_1,GS_2,GS_3,GS_4,GS_5,GS_6,GS_7,GS_8,GS_9,GS_10,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,GA_8,GA_9,GA_11,GA_10,WA_1,WA_2,WA_3,WA_4,WA_5,WA_6,WA_7,WA_8,WA_9,WA_10,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,WD_1,WD_2,WD_3,WD_4,WD_5,WD_6,WD_7,WD_8,WD_9,WD_10,GD_1,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GD_10,GK_1,GK_2,GK_3,GK_4,GK_5,GK_6,GK_7,GK_8,GK_9
,,,3,2,,,,1,,,,,2,,1,,3,,,,,,,3,,,2,,,1,,,3,,,,,2,1,,,,3,2,,,,1,,,,,3,,,2,,,1,,,2,,,,,,1,3,
,2,,3,1,,,,,,,,3,2,,,,1,,,,,,,1,,,3,,,2,,,,2,,3,,1,,,,,3,2,,1,,,,,,,,,,3,1,,2,,,1,,,,,,2,3,
,3,1,,,,2,,,,,,1,,,2,,3,,,,,,,3,,,2,,1,,,,2,,,1,,,3,,,,1,2,,,,3,,,,3,1,,,,,,2,,,3,,,,,,1,2,
,2,,3,,,1,,,,,,3,,,2,,1,,,,,,,,,,2,1,3,,,,1,2,,,,,3,,,,3,,1,,,2,,,,3,1,,,,,,2,,,,1,,,,,3,2,
,,,2,,,3,,1,,,,1,,,3,,2,,,,,,,,,,3,,2,1,,,3,1,,2,,,,,,1,3,,,,,2,,,,2,3,,,,,,1,,,1,,,,,,2,3,
,,3,1,,,2,,,,,,1,,,2,3,,,,,,,,2,,,1,,,3,,,1,,,2,,,,,3,,1,2,,,,,,3,,,3,,,1,,,2,,,3,,,,,,2,1,
,,,3,2,,1,,,,,,2,3,,1,,,,,,,,1,2,,,3,,,,,,3,,,2,,1,,,,,2,3,,,,,,1,,,3,,,2,,,1,,,,,,,,1,2,3,
,2,,3,1,,,,,,,,3,2,,1,,,,,,,,,,,,3,,1,2,,,3,1,,2,,,,,,,3,2,,,,1,,,,,3,,,,,,2,1,,2,,,,,,1,3,
,1,,2,3,,,,,,,,1,,,3,,2,,,,,,,2,,,1,,3,,,,,,,2,,1,3,,,1,3,2,,,,,,,,,2,,,,3,,1,,,1,,,,,,2,3,
,2,,3,,,,,1,,,,3,2,,1,,,,,,,,,2,,,3,,,1,,,,2,,3,,1,,,,,,3,1,,,2,,,,,1,,,3,,,2,,,2,,,,,,1,3,
